소속 ,국회 ,직위 ,국회의원 ,성명 ,경대수 ,,
,,,,,,,
(단위 : 천원) ,,,,,,,
,,,,,,,
본인과의 관계 ,재산의 종류 ,소재지 면적 등 권리의 명세 ,종전가액 ,변동액(천원) ,현재가액 ,변동사유 ,
,,,,,,,
증가액 (실거래액) ,감소액 (실거래액) ,,,,,,
,,,,,,,
▶ 토지(소계) ,"155,093",32,0,"155,125",,,
,,,,,,,
본인 ,전 ,경기도 안양시 만안구 안양동 466-25번지 19.00m² 중 9.50m² ,"5,093",32,0,"5,125",가액변동 
,,,,,,,
배우자 ,임야 ,"경기도 양평군 양서면 복포리 산 39-1번지 20,760.00m² 중 4,958.60m² ","150,000",0,0,"150,000",가액변동 없음 
,,,,,,,
▶ 건물(소계) ,"2,069,000","176,000",0,"2,245,000",,,
,,,,,,,
본인 ,아파트 ,서울특별시 강남구 압구정동 구현대아파트 건물 117.91m² ,"1,344,000","176,000",0,"1,520,000",가액변동 
,,,,,,,
본인 ,아파트 전세(임차)권 ,충청북도 음성군 금왕읍 무극리 유수장미아파트 건물 59.34m² ,"10,000",0,0,"10,000",변동없음 
,,,,,,,
배우자 ,아파트 전세(임차)권 ,서울특별시 강남구 압구정동 신현대아파트 건물 183.41m² ,"100,000",0,0,"100,000",변동없음 
,,,,,,,
차녀 ,다세대주택 ,서울특별시 서초구 방배동 건물 77.96m² ,"615,000",0,0,"615,000",가액변동 없음 
,,,,,,,
▶ 부동산에 관한 규정이 준용되는 권리와 자동차 건설기계 선박 및 항공기(소계) ,"20,294",0,"2,050","18,244",,,
,,,,,,,
본인 ,자동차 ,"2012년식 YF쏘나타 2.0(하이브리드) 배기량(1,999cc) ","16,850",0,"2,050","14,800",가액변동 
,,,,,,,
본인 ,자동차 ,"2016년식 제네시스 배기량(3,778cc) ","3,444",- ,- ,"3,444",가액변동 없음 
,,,,,,,
▶ 예금(소계) ,"650,128","42,543","66,050","626,621",,,
,,,,,,,
본인 ,,"신한은행 10,017(10,697 감소), 삼성생명보험 14,000(2,400 증가), 농협은행 1,190(5,551 감소), (주)KEB하나은행 110,606(6,880 증가), 국민은행 11,039(344 증가), 케이디비생명보험 30,000(500 증가), 스탠다드차타드은행 3 ","182,979","11,315","17,439","176,855",급여저축 증가와 생활비 지출로 인한 감소 
,,,,,,,
배우자 ,,"(주)KEB하나은행 51(490 감소), DB손해보험(주) 202(143 증가), 스탠다드차타드은행 4,040(3,564 감소), 국민은행 10, 삼성화재해상보험 54,953(11,754 증가), 현대해상화재보험 1,301, 신한은행 8, 삼성생명보험 272,958(6,599 증 ","434,542","26,961","48,454","413,049",
,,,,,,,
,,"가), (주)KB손해보험 4,150(600 증가), 증평 63(2 증가), AIA생명보험주식회사 760(570 증가), 한화손해보험 949(949 증가), 우리은행 2,531(295 감소), 한화생명보험주식회사 60,452(39,299 감소), 신한금융투자(주) 207, 라이나생명보험 10,414(1,538 증가) ",,,,,
,,,,,,,
차녀 ,,"씨티은행 22, 스탠다드차타드은행 37, 신한생명보험 6,011(829 증가), (주)KEB하나은행 1,481(1,143 증가), 우리은행 3,709(1,021 증가), 신영증권 3,440(817 증가) ","10,890","3,867",57,"14,700",
,,,,,,,
장남 ,,"신한은행 32, KB증권 765, 삼성생명보험 20,790, (주)KEB하나은행 420(400 증가), 국민은행 10(100 감소) ","21,717",400,100,"22,017",
,,,,,,,
▶ 정치자금법에 따른 정치자금의 수입 및 지출을 위한 예금계좌의 예금(소계) ,"174,953",0,"24,523","150,430",,,
,,,,,,,
본인 ,,"농협은행 150,430(24,523 감소) ","174,953",0,"24,523","150,430",정치자금 지출로 인한 감소 
,,,,,,,
▶ 유가증권(소계) ,"2,219",672,0,"2,891",,,
,,,,,,,
차녀 ,상장주식 ,삼성증권 79주(9주 증가) ,"2,219",672,0,"2,891",평가액 변동 
,,,,,,,
▶ 채무(소계) ,"2,121,961","325,102",0,"2,447,063",,,
,,,,,,,
본인 ,금융기관채무 ,"농협은행 893,310(43,310 증가), (주)KEB하나은행 90,000(90,000 증가) ","850,000","133,310",0,"983,310",생활비 대출로 인한 증가 
,,,,,,,
본인 ,건물임대채무 ,서울특별시 강남구 압구정동 구현대아파트 임대보증금 ,"620,000",0,0,"620,000",변동없음 
,,,,,,,
배우자 ,금융기관채무 ,"스탠다드차타드은행 16,907(16,907 증가), 삼성생명보험 178,080(128,080 증가), 씨티은행 19,323(19,323 증가), 한화생명보험주식회사 23,000(23,000 증가) ","50,000","187,310",0,"237,310",생활비 대출로 인한 증가 
,,,,,,,
차녀 ,,사인간채무 ,"110,000",0,0,"110,000",변동없음 
,,,,,,,
차녀 ,금융기관채무 ,"(주)KEB하나은행 96,443(4,482 증가) ","91,961","4,482",0,"96,443",추가 대출로 인한 증가 
,,,,,,,
차녀 ,건물임대채무 ,서울특별시 서초구 방배동 부광빌라 임대보증금 ,"400,000",0,0,"400,000",변동없음 
,,,,,,,
총계 ,"949,726","-105,855","92,623","751,248","증 감 액 : -198,478천원 (가액변동: 173,982천원) ",,
,,,,,,,
