소속 ,국회 ,직위 ,국회의원 ,성명 ,고용진 ,,
,,,,,,,
(단위 : 천원) ,,,,,,,
,,,,,,,
본인과의 관계 ,재산의 종류 ,소재지 면적 등 권리의 명세 ,종전가액 ,변동액(천원) ,현재가액 ,변동사유 ,
,,,,,,,
증가액 (실거래액) ,감소액 (실거래액) ,,,,,,
,,,,,,,
▶ 토지(소계) ,"62,362","8,389","3,182","67,569",,,
,,,,,,,
부 ,임야 ,"전라남도 담양군 창평면 삼천리 산 1번지 29,851.00m² ","23,104","3,224",0,"26,328",가액변동 
,,,,,,,
부 ,임야 ,"전라남도 담양군 창평면 외동리 산 21번지 41,454.00m² ","16,996","2,653",0,"19,649",가액변동 
,,,,,,,
부 ,임야 ,"전라남도 담양군 대덕면 매산리 산 94번지 7,537.00m² ","17,335","1,808",0,"19,143",가액변동 
,,,,,,,
부 ,임야 ,"전라남도 담양군 대덕면 매산리 산 97-1번지 1,170.00m² ",945,91,0,"1,036",가액변동 
,,,,,,,
부 ,임야 ,전라남도 담양군 창평면 오강리 600번지 109.00m² 중 54.50m² ,730,76,0,806,가액변동 
,,,,,,,
부 ,임야 ,전라남도 담양군 창평면 의항리 42-4번지 0.00m² (172.00m² 감소) ,"3,182",0,"3,182",0,매도 
,,,,,"-10,000",,
,,,,,,,
부 ,전 ,전라남도 담양군 창평면 의항리 60-1번지 26.00m² 중 13.00m² ,70,392,0,462,가액변동 
,,,,,,,
부 ,도로 ,"전라남도 담양군 창평면 의항리 60-6번지 30.00m² 중 15.00m² (총면적 30.00m² 증가, 지분면적 15.00m² 증가) ",- ,145 (145) ,0,145,추가신고 
,,,,,,,
▶ 건물(소계) ,"782,156","8,481","19,516","771,121",,,
,,,,,,,
본인 ,아파트 ,서울특별시 노원구 공릉동 효성화운트빌 건물 99.92m² ,"368,000","8,000",0,"376,000",가액변동 
,,,,,,,
부 ,상가 ,경기도 부천시 괴안동 동신상가 대지 49.50m² 건물 70.95m² ,"112,843",0,"3,014","109,829",가액변동 
,,,,,,,
부 ,아파트 ,경기도 남양주시 별내동 우미린 건물 101.95m² 중 112.14m² ,"173,792",0,"7,792","166,000",가액변동 
,,,,,,,
모 ,숙박시설 ,강원도 홍천군 서면 반곡리 건물 300.34m² ,"70,880",0,"8,710","62,170",가액변동 
,,,,,,,
모 ,오피스텔 ,경기도 남양주시 별내동 백상앨리츠오피스텔2차 대지 4.37m² 건물 50.52m² ,"56,641",481,0,"57,122",가액변동 
,,,,,,,
▶ 부동산에 관한 규정이 준용되는 권리와 자동차 건설기계 선박 및 항공기(소계) ,"6,760",0,840,"5,920",,,
,,,,,,,
배우자 ,자동차 ,"2012년식 i30 배기량(1,500cc) ","6,760",0,840,"5,920",가액변동 
,,,,,,,
▶ 예금(소계) ,"426,578","352,873","261,595","517,856",,,
,,,,,,,
본인 ,,"우리은행 2,475(1,040 증가), 우체국 1,152, 농협은행 32,039(32,039 증가), AIA생명보험주식회사 41,158(3,228 증가), (주)KEB하나은행 14,095(13,683 증가), 한화생명보험주식회사 2,629, 국민은행 54,367(31,586 증가), 농협중앙회 39(39 증가) ","66,339","104,393","22,778","147,954",급여저축으로 인한 예금 증가 및 평가금액 증가 등 
,,,,,,,
배우자 ,,"국민은행 21,165(155 증가), SK증권 221(5 증가), 우리은행 3,222(3,973 감소), DB생명보험(주) 10,983(813 증가), 한화생명보험주식회사 1,236, 농협은행 7(7 증가), 교보생명보험 30,932(1,350 증가), 한국투자증권 340 ","69,749","22,415","24,058","68,106",
,,,,,,,
부 ,,"국민은행 18,640(5,291 증가), 신한은행 119,597(6,007 감소), (주)KEB하나은행 691(848 감소), 우리은행 8(8 증가) ","140,492","96,008","97,564","138,936",
,,,,,,,
모 ,,"국민은행 301, 새마을금고 0(23,300 감소), 농협중앙회 79,004(276 증가), 우체국 1,020, 신한은행 288(591 감소), 유안타증권 45,611(12,035 증가), 별내 0(3,500 감소), (주)KEB하나은행 2,887(1,921 증가), 별내 ","142,270","129,489","113,144","158,615",
,,,,,,,
,,"29,504(29,504 증가) ",,,,,
,,,,,,,
차남 ,,"농협은행 45, 신한은행 1,220 ","1,265",0,0,"1,265",
,,,,,,,
장남 ,,"신한은행 1,948(4,051 감소), 국민은행 1,019(555 증가), (주)KEB하나은행 13(13 증가) ","6,463",568,"4,051","2,980",
,,,,,,,
▶ 정치자금법에 따른 정치자금의 수입 및 지출을 위한 예금계좌의 예금(소계) ,"3,609","164,072","2,383","165,298",,,
,,,,,,,
본인 ,,"농협은행 165,298(161,689 증가) ","3,609","164,072","2,383","165,298",후원금 증가 
,,,,,,,
▶ 유가증권(소계) ,"10,099","10,636","10,099","10,636",,,
,,,,,,,
배우자 ,상장주식 ,"대우조선해양보 4주(4주 증가), 두산인프라코어 34주(34주 증가) ",0,350,0,350,"상장주식 및 비상장주식 추가, 평가금액 변동 및 일부매도 "
,,,,,,,
배우자 ,비상장주식 ,"대우중공업1우선 9주(9주 증가), 대우중공업보통 109주(109주 증가), MOASNS 186주(186주 증가) ",0,683,0,683,
,,,,,,,
모 ,상장주식 ,"한진칼보통주 0주(200주 감소), 강소양농화학 240주, 대진철도 2,500주, 중국신화에너지 200주, 내몽고이리실업그룹 600주 ","10,099","9,603","10,099","9,603",
,,,,,,,
▶ 채무(소계) ,"415,592",0,"61,256","354,336",,,
,,,,,,,
본인 ,금융기관채무 ,"국민은행 295,836(61,256 감소) ","357,092",0,"61,256","295,836",급여로 일부상환 
,,,,,,,
모 ,금융기관채무 ,"(주)KEB하나은행 53,500 ","53,500",0,0,"53,500",변동없음 
,,,,,,,
모 ,건물임대채무 ,경기도 남양주시 별내동 백상앨리츠오피스텔2차 임대보증금 ,"5,000",0,0,"5,000",변동없음 
,,,,,,,
총계 ,"875,972","544,451","236,359","1,184,064","증 감 액 : 308,092천원 (가액변동: -3,631천원) ",,
,,,,,,,
