소속 ,국회 ,직위 ,국회의원 ,성명 ,곽대훈 ,,
,,,,,,,
(단위 : 천원) ,,,,,,,
,,,,,,,
본인과의 관계 ,재산의 종류 ,소재지 면적 등 권리의 명세 ,종전가액 ,변동액(천원) ,현재가액 ,변동사유 ,
,,,,,,,
증가액 (실거래액) ,감소액 (실거래액) ,,,,,,
,,,,,,,
▶ 토지(소계) ,"526,567","1,172","516,067","11,672",,,
,,,,,,,
본인 ,전 ,대구광역시 달성군 구지면 내리 156-4번지 0.00m² (582.00m² 감소) ,"45,978",0,"45,978",0,보상 
,,,,,"-92,360",,
,,,,,,,
본인 ,전 ,"경상북도 고령군 우곡면 속리 397-1번지 1,002.00m² ","4,619",531,0,"5,150",가액변동 
,,,,,,,
본인 ,임야 ,[소재지 오기정정]경상북도 고령군 우곡면 속리 397-2번지 529.00m² ,"2,242",254,0,"2,496",가액변동 
,,,,,,,
본인 ,임야 ,경상북도 고령군 우곡면 속리 산 397-2번지 0.00m² (0.00m² 감소) ,0,0,0,0,소재지오기정정 
,,,,,,,
본인 ,대지 ,대구광역시 중구 봉산동 235-15번지 19.80m² 중 6.60m² ,"3,639",387,0,"4,026",가액변동 
,,,,,,,
본인 ,묘지 ,"대구광역시 달성군 구지면 내리 241번지 0.00m² 중 0.00m² (총면적 11,901.00m² 감소, 지분면적 5,950.50m² 감소) ","470,089",0,"470,089",0,보상 
,,,,,"-371,133",,
,,,,,,,
▶ 건물(소계) ,"536,442","434,842","50,000","921,284",,,
,,,,,,,
본인 ,단독주택 ,대구광역시 중구 봉산동 대지 175.20m² 건물 52.56m² ,"84,600","7,500",0,"92,100",가액변동 
,,,,,,,
본인 ,아파트 ,대구광역시 달서구 도원동 강산타운아파트 건물 117.62m² ,"240,000",0,"10,000","230,000",가액변동 
,,,,,,,
본인 ,아파트 전세(임차)권 ,대구광역시 달서구 장기동 장기초록나라 건물 0.00m² (건물 84.98m² 감소) ,"20,000",0,"20,000",0,계약만료 
,,,,,"-20,000",,
,,,,,,,
본인 ,아파트 전세(임차)권 ,서울특별시 마포구 도화동 한화오벨리스크 건물 0.00m² (건물 38.88m² 감소) ,"10,000",0,"10,000",0,계약만료 
,,,,,"-10,000",,
,,,,,,,
본인 ,사무실 전세(임차)권 ,대구광역시 달서구 용산동 8층 건물 0.00m² (건물 247.93m² 감소) ,"10,000",0,"10,000",0,계약만료 
,,,,,"-10,000",,
,,,,,,,
본인 ,아파트 전세(임차)권 ,대구광역시 달서구 용산동 용산롯데캐슬그랜드 건물 123.41m² (건물 123.41m² 증가) ,- ,"400,000",0,"400,000",신규 임대차 계약 
,,,,"-400,000",,,
,,,,,,,
본인 ,아파트 전세(임차)권 ,서울특별시 마포구 도화동 마포한화오벨리스크 건물 38.88m² (건물 38.88m² 증가) ,- ,"10,000",0,"10,000",신규 임대차 계약 
,,,,"-10,000",,,
,,,,,,,
본인 ,사무실 전세(임차)권 ,대구광역시 달서구 이곡동 건물 132.00m² (건물 132.00m² 증가) ,- ,"10,000",0,"10,000",신규 임대차 계약 
,,,,"-10,000",,,
,,,,,,,
배우자 ,근린생활시설 ,대구광역시 달서구 도원동 상가 건물 119.68m² ,"171,842","7,342",0,"179,184",가액변동 
,,,,,,,
▶ 부동산에 관한 규정이 준용되는 권리와 자동차 건설기계 선박 및 항공기(소계) ,"6,750",0,"1,040","5,710",,,
,,,,,,,
본인 ,자동차 ,"2006년식 쏘나타 배기량(1,998cc) ","6,750",0,"1,040","5,710",가액변동 
,,,,,,,
▶ 예금(소계) ,"615,276","543,678","345,941","813,013",,,
,,,,,,,
본인 ,,"중소기업은행 4, 삼성생명보험 32,750, 대구은행 128,767(124,675 증가), 신용협동조합중앙회 632(3 증가), 대신증권 158(9 증가), 농협은행 183(183 증가), 국민은행 8,595(1,122 감소), 삼성화재해상보험 0(5,533 감소) ","52,874","137,043","18,828","171,089",보상 및 급여저축 등 
,,,,,,,
배우자 ,,"국민은행 133,897(3,090 증가), 신한은행 166,869(2,781 증가), 삼성생명보험 30,000(3,000 증가), 대구은행 168,298(20,910 증가), 교보생명보험 16,800 ","486,083","278,671","248,890","515,864",
,,,,,,,
모 ,,국민은행 10(153 감소) ,163,0,153,10,
,,,,,,,
장남 ,,"신한은행 9, 하나금융투자 4,726(4,726 증가), 대구은행 25,699(12,361 감소), 씨티은행 36(34 증가), (주)KEB하나은행 41,668(39,846 증가), 한국교직원공제회 515(364 증가) ","40,044","71,375","38,766","72,653",
,,,,,,,
장녀 ,,"대구은행 50,412(15,915 증가), 국민은행 0(115 감소), 신한은행 2,100(600 증가), 메리츠화재해상보험(보험) 885(885 증가) ","36,112","56,589","39,304","53,397",
,,,,,,,
▶ 정치자금법에 따른 정치자금의 수입 및 지출을 위한 예금계좌의 예금(소계) ,"7,853","38,494",0,"46,347",,,
,,,,,,,
본인 ,,"농협은행 46,347(38,494 증가) ","7,853","38,494",0,"46,347",후원금 증가 
,,,,,,,
▶ 유가증권(소계) ,332,"8,741",0,"9,073",,,
,,,,,,,
본인 ,상장주식 ,DGB금융지주 34주 ,332,26,0,358,신규 매입 
,,,,,,,
장남 ,상장주식 ,"SK하이닉스 14주(14주 증가), 삼성전자 3주(3주 증가) ",0,"8,715",0,"8,715",
,,,,,,,
▶ 채권(소계) ,"55,000","14,000",0,"69,000",,,
,,,,,,,
본인 ,,사인간채권 증가 ,"55,000","14,000",0,"69,000",정치자금으로 대출 
,,,,,,,
▶ 채무(소계) ,"46,530","124,939","36,530","134,939",,,
,,,,,,,
본인 ,금융기관채무 ,"대구은행 80,000(80,000 증가), 농협은행 44,939(44,939 증가), 농협중앙회 0(36,530 감소) ","36,530","124,939","36,530","124,939",신규대출(가계자금) 
,,,,,,,
배우자 ,건물임대채무 ,대구광역시 달서구 도원동 상가 임대보증금 ,"10,000",0,0,"10,000",변동없음 
,,,,,,,
▶ 비영리법인에 출연한 재산 ,,,,,,,
,,,,,,,
본인 ,출연 ,"대구시민햇빛발전소, 출연재산: 1,000천원, 보유직위: 출자자 ",- ,- ,- ,- ,
,,,,,,,
총계 ,"1,701,690","915,988","876,518","1,741,160","증 감 액 : 39,470천원 (가액변동: 5,000천원) ",,
,,,,,,,
