소속 ,국회 ,직위 ,국회부의장 ,성명 ,심재철 ,,
,,,,,,,
(단위 : 천원) ,,,,,,,
,,,,,,,
본인과의 관계 ,재산의 종류 ,소재지 면적 등 권리의 명세 ,종전가액 ,변동액(천원) ,현재가액 ,변동사유 ,
,,,,,,,
증가액 (실거래액) ,감소액 (실거래액) ,,,,,,
,,,,,,,
▶ 건물(소계) ,"7,545,085","219,068",0,"7,764,153",,,
,,,,,,,
본인 ,사무실 ,서울특별시 중구 수표동 대지 358.00m² 건물 430.62m² ,"4,424,885","111,512",0,"4,536,397",가액변동 
,,,,,,,
본인 ,사무실 전세(임차)권 ,경기도 안양시 동안구 호계1동 성욱빌딩 건물 205.11m² ,"30,000",0,0,"30,000",변동없음 
,,,,,,,
본인 ,사무실 ,서울특별시 중구 수표동 대지 253.20m² 건물 152.06m² ,"2,785,200","83,556",0,"2,868,756",가액변동 
,,,,,,,
배우자 ,아파트 ,경기도 안양시 동안구 호계동 현대홈타운 건물 126.00m² ,"300,000","24,000",0,"324,000",가액변동 
,,,,,,,
배우자 ,상가 전세(임차)권 ,경기도 고양시 일산서구 대화동 건물 126.99m² ,"5,000",0,0,"5,000",변동없음 
,,,,,,,
▶ 부동산에 관한 규정이 준용되는 권리와 자동차 건설기계 선박 및 항공기(소계) ,"30,020",0,"13,250","16,770",,,
,,,,,,,
본인 ,자동차 ,"2011년식 에쿠스 신형 배기량(3,500cc) ","30,020",0,"13,250","16,770",가액변동 
,,,,,,,
▶ 예금(소계) ,"131,543","27,026",546,"158,023",,,
,,,,,,,
본인 ,,"우리은행 5,882(4,081 증가), 농협은행 738(123 감소), 국민은행 15,599(9,764 증가), 농협중앙회 0(9 감소) ","8,506","14,259",546,"22,219",잔액변동 
,,,,,,,
배우자 ,,"삼성생명보험 4,716, 한화생명보험주식회사 12,432 ","17,148",0,0,"17,148",
,,,,,,,
장녀 ,,"국민은행 11,850(5,998 증가), 교보생명보험 106,806(6,769 증가) ","105,889","12,767",0,"118,656",
,,,,,,,
▶ 정치자금법에 따른 정치자금의 수입 및 지출을 위한 예금계좌의 예금(소계) ,707,0,441,266,,,
,,,,,,,
본인 ,,국민은행 266(441 감소) ,707,0,441,266,
,,,,,,,
▶ 유가증권(소계) ,"29,000",0,0,"29,000",,,
,,,,,,,
배우자 ,비상장주식 ,"(주)문예당 2,900주 ","29,000",0,0,"29,000",변동없음 
,,,,,,,
▶ 채권(소계) ,"550,000",0,0,"550,000",,,
,,,,,,,
배우자 ,,사인간채권 ,"550,000",0,0,"550,000",변동없음 
,,,,,,,
▶ 채무(소계) ,"2,531,841","330,538","325,623","2,536,756",,,
,,,,,,,
본인 ,금융기관채무 ,"우리은행 700,000, 농협중앙회 140,000 ","840,000",0,0,"840,000",변동없음 
,,,,,,,
본인 ,건물임대채무 ,서울특별시 중구 수표동 임대보증금 ,"360,250",0,0,"360,250",변동없음 
,,,,,,,
본인 ,기타 ,우리은행 ,"340,000",0,0,"340,000",변동없음 
,,,,,,,
배우자 ,금융기관채무 ,"(주)KEB하나은행 2,775(2,775 증가), 국민은행 880,861(5,299 감소), 삼성생명보험 3,400, 한화생명보험주식회사 10,120 ","899,680","323,099","325,623","897,156",잔액변동 
,,,,,,,
장녀 ,금융기관채무 ,"교보생명보험 99,350(7,439 증가) ","91,911","7,439",0,"99,350",잔액변동 
,,,,,,,
총계 ,"5,754,514","-84,444","-311,386","5,981,456","증 감 액 : 226,942천원 (가액변동: 205,818천원) ",,
,,,,,,,
