소속 ,국회 ,직위 ,국회의장 ,성명 ,문희상 ,,
,,,,,,,
(단위 : 천원) ,,,,,,,
,,,,,,,
본인과의 관계 ,재산의 종류 ,소재지면적등권리의명세 ,종전가액 ,변동액(천원) ,현재가액 ,변동사유 ,
,,,,,,,
증가액 (실거래액) ,감소액 (실거래액) ,,,,,,
,,,,,,,
▶ 토지(소계) ,"654,955","3,012",0,"657,967",,,
,,,,,,,
본인 ,대지 ,경기도 의정부시 의정부동 172-36번지 162.90m² ,"179,352","1,304",0,"180,656",가액변동 
,,,,,,,
장남 ,임야 ,"경기도 양주시 어둔동 산 45번지 1,983.00m² ","24,589",0,0,"24,589",가액변동없음 
,,,,,,,
장남 ,대지 ,경기도 의정부시 의정부동 172-37번지 213.50m² ,"243,603","1,708",0,"245,311",가액변동 
,,,,,,,
장남 ,임야 ,"경기도 양주시 남방동 산 102번지 8,826.00m² ","207,411",0,0,"207,411",가액변동없음 
,,,,,,,
▶ 건물(소계) ,"2,661,512","9,184",0,"2,670,696",,,
,,,,,,,
장남 ,단독주택 ,경기도 의정부시 의정부동 대지 341.10m² 건물 293.72m² ,"845,000",0,0,"845,000",가액변동없음 
,,,,,,,
장남 ,복합건물(주 택+상가) ,경기도 의정부시 의정부동 대지 291.90m² 건물 784.35m² ,"1,816,512","9,184",0,"1,825,696",가액변동 
,,,,,,,
▶ 부동산에 관한 규정이 준용되는 권리와 자동차.건설기계.선박 및 항공기(소계) ,"19,981","18,340","2,221","36,100",,,
,,,,,,,
본인 ,자동차 ,"2016년식 쏘나타 배기량(1,999cc) ","19,981",0,"2,221","17,760",가액변동 
,,,,,,,
장남 ,자동차 ,"2010년식 뉴에쿠스 배기량(3,778cc) 증가 ",0,"18,340",0,"18,340",신규등록 
,,,,,,,
▶ 예금(소계) ,"102,664","75,688","71,029","107,323",,,
,,,,,,,
본인 ,,"중소기업은행 322(4 증가), 우리은행 39, 신우신협 570(17 증가), 농협은행 18,849(4,315 증가), 신한생명보험 0(400 감소), 믿음신협 137(1 증가) ","15,980","6,674","2,737","19,917",급여 저축 
,,,,,,,
배우자 ,,"국민은행 434(271 증가), 신우신협 359(12 증가), 농협손해보험 440(240 증가), 농협생명보험 0(53 감소) ",763,523,53,"1,233",
,,,,,,,
장남 ,,"신한은행 39(83 감소), 농협생명보험 244(244 증가), 한화생명보험 17,035(1,322 증가), 신우신협 253(601 감소), 농협중앙회 42(564 감소), DB생명보험(주) 66,535, 국민은행 211(364 감소), 씨티은행 0(6 감소), (주)KEB하나은행 50, 농협은행 12(23 감소), 삼성화재해상보험 1,752(327 증가) ","85,921","68,491","68,239","86,173",
,,,,,,,
▶ 정치자금법에 따른 정치자금의 수입 및 지출을 위한 예금계좌의 예금(소계) ,"58,182","24,622",0,"82,804",,,
,,,,,,,
본인 ,,"농협은행 82,804(24,622 증가) ","58,182","24,622",0,"82,804",후원금증가 
,,,,,,,
▶ 유가증권(소계) ,"153,274","6,337",0,"159,611",,,
,,,,,,,
본인 ,상장주식 ,현대아산 249주 ,"3,274","6,337",0,"9,611",평가액증가 
,,,,,,,
장남 ,비상장주식 ,"(주)영글북스 15,000주 ","150,000",0,0,"150,000",
,,,,,,,
▶ 채무(소계) ,"3,463,772","423,000","432,993","3,453,779",,,
,,,,,,,
본인 ,금융기관채무 ,"농협은행 172,000 ","172,000",0,0,"172,000",변동없음 
,,,,,,,
장남 ,금융기관채무 ,"신한은행 1,725,000(5,000 감소), 한화생명보험 6,500, 신용 협동조합중앙회 70,000, DB생명보험(주) 58,160, 농협중앙회 745,000, 국민은행 457,119(4,993 감소), 농협은행 220,000 ","3,291,772","423,000","432,993","3,281,779",일부상환 
,,,,,,,
총계 ,"186,796","-285,817","-359,743","260,722","증감액:73,926천원 (가액변동: 16,312천원) ",,
,,,,,,,
