소속 ,국회 ,직위 ,국회의원 ,성명 ,강훈식 ,,
,,,,,,,
(단위 : 천원) ,,,,,,,
,,,,,,,
본인과의 관계 ,재산의 종류 ,소재지면적등권리의명세 ,종전가액 ,변동액(천원) ,현재가액 ,변동사유 ,
,,,,,,,
증가액 (실거래액) ,감소액 (실거래액) ,,,,,,
,,,,,,,
▶ 건물(소계) ,"50,000","20,000","10,000","60,000",,,
,,,,,,,
본인 ,아파트 전세(임차)권 ,충청남도 아산시 배방읍 장재리 요진와이시티 건물 84.00m² ,"30,000",0,0,"30,000",변동없음 
,,,,,,,
본인 ,상가 전세(임차)권 ,"충청남도 아산시 배방읍 공수리 삼영프라자 건물 7,822.80m² 중 172.64m² ","10,000",0,0,"10,000",변동없음 
,,,,,,,
본인 ,오피스텔 전세(임차)권 ,서울특별시 마포구 신공덕동 메트로디오빌 건물 0.00m² (건물 39.11m² 감소) ,"10,000",0,"10,000",0,계약만료에 의한 전세권 상실 
,,,,,"-10,000",,
,,,,,,,
본인 ,오피스텔 전세(임차)권 ,서울특별시 마포구 도화동 마포트라팰리스 건물 55.92m² (건물 55.92m² 증가) ,- ,"20,000",0,"20,000",신규 임차 
,,,,,,,
▶ 부동산에 관한 규정이 준용되는 권리와 자동차.건설기계.선박 및 항공기(소계) ,0,"23,820",0,"23,820",,,
,,,,,,,
본인 ,자동차 ,"2015년식 아슬란 G300 배기량(2,999cc) 증가 ",0,"23,820",0,"23,820",리스차량 등록 
,,,,,,,
▶ 현금(소계) ,"49,000",0,"20,000","29,000",,,
,,,,,,,
본인 ,,현금 감소 ,"20,000",0,"20,000",0,"경조사(칠순) 지출,"
,,,,,,,채무 일부상환 및 예금저축 
,,,,,,,
모 ,,현금 ,"29,000",0,0,"29,000",변동없음 
,,,,,,,
▶ 예금(소계) ,"116,322","79,441","19,814","175,949",,,
,,,,,,,
본인 ,,"전북은행 0(4 감소), 우리은행 1,517(2,688 감소), 신한은행 2(26 감소), 중소기업은행 1,275(1,275 증가), 농협은행 77,019(61,612 증가), 씨티은행 0(378 감소), 국민은행 0(15 감소), 농협중앙회 10 ","20,047","62,947","3,171","79,823",급여저축및생활비지출등 
,,,,,,,
배우자 ,,"스탠다드차타드은행 290, KB증권 2,678(2,674 증가), 신한은행 48,789(1,115 감소), NH투자증권 1,343(133 증가), 우리은행 19,980(3,245 감소), 오렌지라이프생명보험 10,515(2,400 감소) ","87,548","12,478","16,431","83,595",
,,,,,,,
부 ,,"현대해상화재보험 1,582, 정우 3(3 증가), 국민은행 1, 정우 225(6 증가), 농협중앙회 9(126 감소), 신한은행 4(4 증가), DB손해보험(주) 580(110 증가), 삼성화재해상보험 4,420(1,670 증가), 우리은행 1 ","5,158","1,793",126,"6,825",
,,,,,,,
모 ,,"정우 674(220 증가), 삼성화재해상보험 4,150(1,990 증가), 농협중앙회 4(84 감소), 우체국 1, 정우 382(11 증가) ","3,074","2,223",86,"5,211",
,,,,,,,
장남 ,,"중소기업은행 78, 농협중앙회 8, 국민은행 409 ",495,0,0,495,
,,,,,,,
▶ 정치자금법에 따른 정치자금의 수입 및 지출을 위한 예금계좌의 예금(소계) ,"197,693","63,640",0,"261,333",,,
,,,,,,,
본인 ,,"농협은행 261,333(63,640 증가) ","197,693","63,640",0,"261,333",후원금 증가 
,,,,,,,
▶ 유가증권(소계) ,"22,224",0,"4,963","17,261",,,
,,,,,,,
배우자 ,상장주식 ,"녹십자 16주, POSCO 15주, 투비소프트 0주(268주 감소), 매일방송 2,288주 ","22,224",0,"4,963","17,261",평가액변동및주식일부매도 
,,,,,,,
▶ 채무(소계) ,"137,235","4,390","80,928","60,697",,,
,,,,,,,
본인 ,금융기관채무 ,"중소기업은행 44,432(69,154 감소), 하나캐피탈 8,903(6,666 감소) ","129,155",0,"75,820","53,335",채무 일부상환 및 차량리스잔액 감소 
,,,,,,,
모 ,금융기관채무 ,"삼성카드 0(3,165 감소), 현대캐피탈 7,362(2,447 증가) ","8,080","4,390","5,108","7,362",채무일부상환 및 생활비지출 등으로 인한 신규대출 
,,,,,,,
총계 ,"298,004","182,511","-26,151","506,666","증 감 액 : 208,662천원 (가액변동: -2,782천원) ",,
,,,,,,,
