소속 ,국회 ,직위 ,국회의원 ,성명 ,박영선 ,,
,,,,,,,
(단위 : 천원) ,,,,,,,
,,,,,,,
본인과의 관계 ,재산의 종류 ,소재지면적등권리의명세 ,종전가액 ,변동액(천원) ,현재가액 ,변동사유 ,
,,,,,,,
증가액 (실거래액) ,감소액 (실거래액) ,,,,,,
,,,,,,,
▶ 건물(소계) ,"2,436,356","528,100","483,106","2,481,350",,,
,,,,,,,
본인 ,오피스텔 전세(임차)권 ,서울특별시 구로구 신도림동 신도림 삼성쉐르빌 오피스텔 대지 24.50m² 건물 122.50m² ,"340,000",0,0,"340,000",
,,,,,,,
본인 ,단독주택 ,서울특별시 서대문구 연희동 대지 502.00m² 건물 270.20m² ,"911,000","89,000",0,"1,000,000",가액변동 
,,,,,,,
배우자 ,아파트 ,동경 미나토구 아카사카 건물 71.00m² ,"746,256",0,"44,006","702,250",가액변동 
,,,,,,,
배우자 ,아파트 ,서울특별시 종로구 교남동 경희궁 자이 아파트 4단지 건물 0.00m² (건물 45.80m² 감소) ,"439,100",0,"439,100",0,아파트로 신고 하였으나 오피스텔로 확인되어 재산의 종류 변경 
,,,,,"-439,100",,
,,,,,,,
배우자 ,오피스텔 ,서울특별시 종로구 교북동 경희궁자이 4단지 건물 45.80m² (건물 45.80m² 증가) ,- ,"439,100",0,"439,100",아파트로 신고 하였으나 오피스텔로 확인되어 재산의 종류 변경 
,,,,"-439,100",,,
,,,,,,,
▶ 부동산에 관한 규정이 준용되는 권리와 자동차.건설기계.선박 및 항공기(소계) ,0,"5,000",0,"5,000",,,
,,,,,,,
본인 ,자동차 ,"2018년식 K7 하이브리드 배기량(2,359cc) 증가 ",0,- ,- ,0,차량 임대 (보증금 없음) 
,,,,,,,
배우자 ,기타 ,스쿠터 증가 ,0,"5,000",0,"5,000",매매 
,,,,"-7,000",,,
,,,,,,,
▶ 예금(소계) ,"1,847,522","458,033","360,717","1,944,838",,,
,,,,,,,
본인 ,,"구로신협 40, 중소기업은행 15,000, 삼성생명보험 10,612, 삼성증권 337(1 증가), KB증권 1, 농협은행 38,078(28,836 증가), 메트라이프 생명보험16,250(844증가),씨티은행5,(주)KEB하나은행 831,880 (91,829 증가), 교보생명보험 118,547, 구로신협 1(1 증가) ","909,240","126,392","4,881","1,030,751",급여저축 등 
,,,,,,,
배우자 ,,"(주)KEB하나은행 72,984(276,990 감소), 미래에셋대우(주) 3,782 (1,782 증가), NewYorkLifeInsuranceandAnnuityCorp. 183,348 (15,018 감소), 국민은행 262,735(171,858 증가), SMBC TrustBankTokyo 11,501(5,761 증가), 신한은행 4,580(4,580 증가), 농협중앙회 2,141(2,141 증가), 우리은행 3,486(4,819 감소), Bankon Investment Services, 205,878(515 증가), 한국 투자증권3,562 (3,562증가),알리안츠72,000(36,000증가) ","896,625","278,809","349,437","825,997",
,,,,,,,
시모 ,,"(주)KEB하나은행 50,494(44,024 증가) ","6,470","47,123","3,099","50,494",
,,,,,,,
장남 ,,"씨티은행(국외) 294(294 증가), (주)KEB하나은행 35,315(2,032 증가), 미래에셋대우(주) 1,987(83 증가) ","35,187","5,709","3,300","37,596",
,,,,,,,
▶ 정치자금법에 따른 정치자금의 수입 및 지출을 위한 예금계좌의 예금(소계) ,"168,638","43,442",0,"212,080",,,
,,,,,,,
본인 ,,"농협은행 212,080(43,442 증가) ","168,638","43,442",0,"212,080",후원금 증가 
,,,,,,,
▶ 유가증권(소계) ,"17,909",336,0,"18,245",,,
,,,,,,,
배우자 ,상장주식 ,셀트리온 82주(4주 증가) ,"17,909",336,0,"18,245",평가액변동 및 추가매입 
,,,,,,,
▶ 채무(소계) ,"562,492","41,155","14,158","589,489",,,
,,,,,,,
본인 ,금융기관채무 ,"농협은행 41,155(41,155 증가) ",0,"41,155",0,"41,155",정치자금 지출 
,,,,,,,
배우자 ,금융기관채무 ,"CommonwealthBankTokyo 324,829(8,113 감소), 우리은행 213,505(6,045 감소) ","552,492",0,"14,158","538,334",일부 변제 
,,,,,,,
배우자 ,건물임대채무 ,서울특별시 종로구 교남동 경희궁 자이 아파트 4단지 임대보증금 ,"10,000",0,0,"10,000",
,,,,,,,
▶ 회원권(소계) ,"230,000","22,000","33,000","219,000",,,
,,,,,,,
본인 ,콘도미니엄 ,용평그린피아25평 1/10구좌 감소 ,"18,000",0,"18,000",0,매도 
,,,,,,,
배우자 ,골프 ,인천국제컨트리클럽 증가 ,"52,000","12,000",0,"64,000",가액변동 
,,,,,,,
배우자 ,골프 ,뉴코리아컨트리클럽 증가 ,"85,000","10,000",0,"95,000",가액변동 
,,,,,,,
배우자 ,기타 ,사단법인 서울클럽 감소 ,"75,000",0,"15,000","60,000",가액변동 
,,,,,,,
▶ 비영리법인에 출연한 재산 ,,,,,,,
,,,,,,,
배우자 ,출연 ,"사단법인 생각연구소, 출연재산: 0천원(2,000천원 감소), 보유직위: 이사 ",- ,- ,- ,- ,
,,,,,,,
총계 ,"4,137,933","1,015,756","862,665","4,291,024","증 감 액 : 153,091천원 (가액변동: 66,994천원) ",,
,,,,,,,
