소속 ,국회 ,직위 ,국회의원 ,성명 ,박완수 ,,
,,,,,,,
(단위 : 천원) ,,,,,,,
,,,,,,,
본인과의 관계 ,재산의 종류 ,소재지면적등권리의명세 ,종전가액 ,변동액(천원) ,현재가액 ,변동사유 ,
,,,,,,,
증가액 (실거래액) ,감소액 (실거래액) ,,,,,,
,,,,,,,
▶ 토지(소계) ,"91,469","8,182",0,"99,651",,,
,,,,,,,
본인 ,답 ,"경상남도 통영시 도산면 원산리 1193번지 1,056.00m² ","39,283","2,640",0,"41,923",가액변동 
,,,,,,,
배우자 ,답 ,"경상남도 함안군 칠북면 봉촌리 978번지 1,686.00m² 중 421.50m² ","3,793",422,0,"4,215",가액변동 
,,,,,,,
배우자 ,전 ,"경상남도 함안군 칠북면 봉촌리 978-1번지 3,273.00m² 중 818.25m² ","7,364",818,0,"8,182",가액변동 
,,,,,,,
배우자 ,전 ,"경상남도 함안군 칠북면 봉촌리 978-2번지 1,527.00m² 중 381.75m² ","3,435",382,0,"3,817",가액변동 
,,,,,,,
배우자 ,전 ,"경상남도 함안군 칠북면 봉촌리 978-3번지 2,823.00m² 중 705.75m² ","5,688",635,0,"6,323",가액변동 
,,,,,,,
배우자 ,전 ,경상남도 함안군 칠북면 봉촌리 980번지 460.00m² 중 115.00m² ,"1,066",118,0,"1,184",가액변동 
,,,,,,,
배우자 ,전 ,경상남도 함안군 칠북면 봉촌리 981번지 298.00m² 중 74.50m² ,690,77,0,767,가액변동 
,,,,,,,
배우자 ,전 ,경상남도 함안군 칠북면 봉촌리 982번지 407.00m² 중 101.75m² ,943,105,0,"1,048",가액변동 
,,,,,,,
배우자 ,과수원 ,"경상남도 함안군 칠북면 봉촌리 산 362-1번지 9,833.00m² 중 2,458.25m² ","22,787","2,532",0,"25,319",가액변동 
,,,,,,,
배우자 ,임야 ,"경상남도 함안군 칠북면 봉촌리 산 363-1번지 16,463.00m² 중 4,115.75m² ","6,420",453,0,"6,873",가액변동 
,,,,,,,
▶ 건물(소계) ,"670,000",0,"34,000","636,000",,,
,,,,,,,
본인 ,아파트 전세(임차)권 ,서울특별시 마포구 현석동 래미안 마포 웰스트림 건물 59.96m² ,"250,000",0,0,"250,000",변동없음 
,,,,,,,
배우자 ,아파트 ,경상남도 창원시 성산구 성주동 유니온빌리지아파트 건물 130.90m² ,"420,000",0,"34,000","386,000",가액변동 
,,,,,,,
▶ 부동산에 관한 규정이 준용되는 권리와 자동차.건설기계.선박 및 항공기(소계) ,"35,290",0,"2,500","32,790",,,
,,,,,,,
본인 ,자동차 ,"2003년식 SM520 배기량(1,998cc) ","1,400",0,500,900,가액변동 
,,,,,,,
본인 ,자동차 ,"2017년식 제네시스 배기량(3,300cc) ","33,890",0,"2,000","31,890",가액변동 
,,,,,,,
▶ 예금(소계) ,"703,665","177,991","165,445","716,211",,,
,,,,,,,
본인 ,,"신영증권 138,250(35,441 증가), 삼성생명보험 48,834, 농협은행 43,646(146,009 감소), 국민은행 0(5,094 감소), 농협중앙회 70,000(70,000 증가), 경남은행 439 ","346,831","119,783","165,445","301,169",급여저축및생활비지출등 
,,,,,,,
배우자 ,,"KB증권 18, 삼성생명보험 328,083(6,824 증가), 우체국 34,560, 창원신협 10, 농협중앙회 36,000(36,000 증가), 농협은행 16,268(15,382 증가), 의창 103(2 증가) ","356,834","58,208",0,"415,042",
,,,,,,,
▶ 정치자금법에 따른 정치자금의 수입 및 지출을 위한 예금계좌의 예금(소계) ,"123,715","43,056",0,"166,771",,,
,,,,,,,
본인 ,,"농협은행 166,771(43,056 증가) ","123,715","43,056",0,"166,771",후원금 증가 
,,,,,,,
▶ 유가증권(소계) ,421,79,0,500,,,
,,,,,,,
본인 ,상장주식 ,하이투자증권 48주 ,24,0,0,24,평가액변동 
,,,,,,,
배우자 ,상장주식 ,콤텍시스템 330주 ,397,79,0,476,
,,,,,,,
▶ 회원권(소계) ,0,"43,000",0,"43,000",,,
,,,,,,,
배우자 ,골프 ,부곡컨트리클럽 증가 ,0,"43,000",0,"43,000",회원권 신규구입 
,,,,"-43,000",,,
,,,,,,,
▶ 고지거부 및 등록제외사항(소계) ,0,0,0,0,,,
,,,,,,,
장남 ,,고지거부 ,- ,- ,- ,- ,독립생계유지 
,,,,,,,
차남 ,,고지거부 ,- ,- ,- ,- ,독립생계유지 
,,,,,,,
총계 ,"1,624,560","272,308","201,945","1,694,923","증감액:70,363천원 (가액변동: -28,239천원) ",,
,,,,,,,
