소속 ,국회 ,직위 ,국회의원 ,성명 ,박완주 ,,
,,,,,,,
(단위 : 천원) ,,,,,,,
,,,,,,,
본인과의 관계 ,재산의 종류 ,소재지면적등권리의명세 ,종전가액 ,변동액(천원) ,현재가액 ,변동사유 ,
,,,,,,,
증가액 (실거래액) ,감소액 (실거래액) ,,,,,,
,,,,,,,
▶ 토지(소계) ,"139,619","3,813",0,"143,432",,,
,,,,,,,
본인 ,답 ,"충청남도 천안시 서북구 직산읍 삼은리 78-2번지 2,542.00m² 중 635.50m² ","139,619","3,813",0,"143,432",공시지가 상승 
,,,,,,,
▶ 건물(소계) ,"290,000",0,"35,000","255,000",,,
,,,,,,,
본인 ,사무실 전세(임차)권 ,충청남도 천안시 서북구 백석동 거성캐슬B 건물 0.00m² (건물 201.54m² 감소) ,"25,000",0,"25,000",0,전세권 상실 
,,,,,,,
배우자 ,아파트 ,충청남도 천안시 서북구 성환읍 매주리 성환이편한세상 건물 111.00m² ,"255,000",0,0,"255,000",변동없음 
,,,,,,,
장남 ,다세대주택 전세(임차)권 ,서울특별시 광진구 화양동 건물 0.00m² (건물 127.30m² 감소) ,"10,000",0,"10,000",0,전세권 상실 
,,,,,,,
▶ 부동산에 관한 규정이 준용되는 권리와 자동차.건설기계.선박 및 항공기(소계) ,"28,290",0,"19,280","9,010",,,
,,,,,,,
본인 ,자동차 ,"2013년식 카니발 리무진 R디젤2.2(9인승) 배기량(2,200cc) 감소 ","16,530",0,"16,530",0,매매 
,,,,,"-8,000",,
,,,,,,,
배우자 ,자동차 ,"2011년식 YF쏘나타 배기량(1,999cc) ","11,760",0,"2,750","9,010",감가상각 
,,,,,,,
▶ 예금(소계) ,"311,529","296,547","188,650","419,426",,,
,,,,,,,
본인 ,,"현대해상화재보험 494(494 증가), 우리은행 434(1 증가), 삼성생명보험 83,000(23,000 증가), 신한은행 48, 농협은행 47,325(21,665 증가), 국민은행 10, 농협중앙회 80,370(49,630 감소), 천안북부신협 11,051(301 증가) ","226,901","130,877","135,046","222,732",급여저축 
,,,,,,,
배우자 ,,"(주)KEB하나은행 95(1 증가), DB손해보험(주) 1,246, 수협은행 1, 현대해상화재보험 18,000(3,368 증가), 농협중앙회 46,353(41,265 증가), 신한은행 28 ","21,089","49,674","5,040","65,723",
,,,,,,,
차남 ,,"농협중앙회 13,740(6,892 증가) ","6,848","7,589",697,"13,740",
,,,,,,,
장남 ,,"중소기업은행 7,007(6,410 증가), 고양동부 0(86 감소), 신한은행 51,568(1,666 증가), 현대해상화재보험 6,920(1,303 증가), 신한금융투자(주) 25(25 증가), 국민은행 51,624(51,472 증가), 농협은행 87(250 감소) ","56,691","108,407","47,867","117,231",
,,,,,,,
▶ 정치자금법에 따른 정치자금의 수입 및 지출을 위한 예금계좌의 예금(소계) ,"106,219","66,054",0,"172,273",,,
,,,,,,,
본인 ,,"국민은행 172,273(66,054 증가) ","106,219","66,054",0,"172,273",후원금 증가 
,,,,,,,
▶ 고지거부 및 등록제외사항(소계) ,0,0,0,0,,,
,,,,,,,
모 ,,고지거부 ,- ,- ,- ,- ,독립생계유지 
,,,,,,,
총계 ,"875,657","366,414","242,930","999,141","증 감 액 : 123,484천원 (가액변동: 1,063천원) ",,
,,,,,,,
