소속 ,국회 ,직위 ,국회의원 ,성명 ,박용진 ,,
,,,,,,,
(단위 : 천원) ,,,,,,,
,,,,,,,
본인과의 관계 ,재산의 종류 ,소재지면적등권리의명세 ,종전가액 ,변동액(천원) ,현재가액 ,변동사유 ,
,,,,,,,
증가액 (실거래액) ,감소액 (실거래액) ,,,,,,
,,,,,,,
▶ 건물(소계) ,"390,000","490,000","350,000","530,000",,,
,,,,,,,
본인 ,복합건물(주 택+상가) 전세(임차)권 ,서울특별시 강북구 미아동 건물 132.00m² ,"40,000",- ,- ,"40,000",
,,,,,,,
본인 ,아파트 전세(임차)권 ,서울특별시 강북구 미아동 에스케이북한산시티아파트 건물 0.00m² (건물 114.85m² 감소) ,"350,000",0,"350,000",0,전세권 만료 
,,,,,,,
본인 ,아파트 ,서울특별시 강북구 미아동 SK북한산시티아파트 건물 114.85m² (건물 114.85m² 증가) ,- ,"490,000",0,"490,000",신규매입 
,,,,"-490,000",,,
,,,,,,,
▶ 부동산에 관한 규정이 준용되는 권리와 자동차.건설기계.선박 및 항공기(소계) ,"15,810",0,"2,910","12,900",,,
,,,,,,,
본인 ,자동차 ,"2015년식 QM3 배기량(1,461cc) ","15,810",0,"2,910","12,900",가액변동 
,,,,,,,
▶ 예금(소계) ,"173,152","33,586","62,620","144,118",,,
,,,,,,,
본인 ,,"미래에셋대우(주) 24(7 감소), 신한은행 5,392(1,934 감소), 우리은행 548, 흥국생명보험 24,000, 농협은행 55,104(28,298 감소), 국민은행 2,030(137 감소) ","117,474","30,000","60,376","87,098",생활비등지출 
,,,,,,,
배우자 ,,"국민은행 99, 현대해상화재보험 10,063(897 증가), 삼성생명 보험 13,501(866 증가), 신한은행 736(1,440 감소), 동양생명 보험 8,371(674 증가), 메트라이프생명보험 13,775(798 증가) ","44,750","3,583","1,788","46,545",
,,,,,,,
장남 ,,"중소기업은행 41, 국민은행 736, 우리은행 121(1 증가), 미래에셋대우(주) 3,192(228 감소) ","4,317",1,228,"4,090",
,,,,,,,
차남 ,,"미래에셋대우(주) 3,227(228 감소), 중소기업은행 630, 국민은행 612(1 증가), 우리은행 1,916(1 증가) ","6,611",2,228,"6,385",
,,,,,,,
▶ 정치자금법에 따른 정치자금의 수입 및 지출을 위한 예금계좌의 예금(소계) ,"239,069","145,371",0,"384,440",,,
,,,,,,,
본인 ,,"농협중앙회 384,440(145,371 증가) ","239,069","145,371",0,"384,440",후원금 증가 
,,,,,,,
▶ 채무(소계) ,"18,002","15,266","9,392","23,876",,,
,,,,,,,
본인 ,,사인간채무 감소 ,"5,000",0,"5,000",0,예금 등으로 상환 
,,,,,,,
배우자 ,금융기관채무 ,"동양생명보험 3,010, 삼성카드 15,266(10,874 증가), 메트라이프생명보험 5,600 ","13,002","15,266","4,392","23,876",생활비지출등 
,,,,,,,
▶ 고지거부 및 등록제외사항(소계) ,0,0,0,0,,,
,,,,,,,
부 ,,고지거부 ,- ,- ,- ,- ,독립생계유지 
,,,,,,,
모 ,,고지거부 ,- ,- ,- ,- ,독립생계유지 
,,,,,,,
총계 ,"800,029","653,691","406,138","1,047,582","증 감 액 : 247,553천원 (가액변동: -2,910천원) ",,
,,,,,,,
