소속 ,국회 ,직위 ,국회의원 ,성명 ,박인숙 ,,
,,,,,,,
(단위 : 천원) ,,,,,,,
,,,,,,,
본인과의 관계 ,재산의 종류 ,소재지면적등권리의명세 ,종전가액 ,변동액(천원) ,현재가액 ,변동사유 ,
,,,,,,,
증가액 (실거래액) ,감소액 (실거래액) ,,,,,,
,,,,,,,
▶ 건물(소계) ,"296,340","39,660",0,"336,000",,,
,,,,,,,
본인 ,아파트 ,서울특별시 송파구 방이동 올림픽선수기자촌아파트 건물 148.77m² 중 37.24m² ,"266,340","39,660",0,"306,000",가액변동 
,,,,,,,
본인 ,사무실 전세(임차)권 ,서울특별시 송파구 방이동 송암빌딩 건물 165.00m² ,"30,000",0,0,"30,000",변동없음 
,,,,,,,
▶ 부동산에 관한 규정이 준용되는 권리와 자동차.건설기계.선박 및 항공기(소계) ,"2,990",0,430,"2,560",,,
,,,,,,,
본인 ,자동차 ,"2007년식 아반떼 배기량(1,500cc) ","2,990",0,430,"2,560",가액변동 
,,,,,,,
▶ 예금(소계) ,"935,605","367,838","436,071","867,372",,,
,,,,,,,
본인 ,,"미래에셋생명보험 3, 미래에셋대우(주) 9,316(9,316 증가), 메리츠화재해상보험 2,800(960 증가), 우리은행 4(45,214 감소), KB증권 10, 풍납동 5,103(2 증가), 농협은행 138,667(12,412 증가), 한화투자증권 58, 메트라이프생명보험 15,704(1,265 증가), AIA생명보험 108,008(4,511 증가), 한화생명보험 65,055, (주)KEB하나은행 368,865(52,642 감소), 농협중앙회 21,414(1,208 감소), 삼성화재해상보험 31,750(1,750 증가), 교보생명보험 100,000, 유진투자증권 615(615 증가) ","935,605","367,838","436,071","867,372","급여저축및생활비지출, 주식매수대금등 "
,,,,,,,
▶ 정치자금법에 따른 정치자금의 수입 및 지출을 위한 예금계좌의 예금(소계) ,"70,504",0,"57,611","12,893",,,
,,,,,,,
본인 ,,"농협중앙회 12,893(57,611 감소) ","70,504",0,"57,611","12,893",후원금지출등 
,,,,,,,
▶ 유가증권(소계) ,0,"82,119",0,"82,119",,,
,,,,,,,
본인 ,상장주식 ,"종근당홀딩스 240주(240주 증가), 삼성전자 42주(42주 증가), 아마존 닷컴 39주(39주 증가) ",0,"82,119",0,"82,119",주식 매수 
,,,,,,,
▶ 채무(소계) ,"1,721","4,015",0,"5,736",,,
,,,,,,,
본인 ,금융기관채무 ,"현대캐피탈 5,736(4,015 증가) ","1,721","4,015",0,"5,736",운용리스에서 금융리스로 전환 
,,,,,,,
▶ 골동품 및 예술품(소계) ,"5,000",0,0,"5,000",,,
,,,,,,,
본인 ,,"그림 (유관순, 95*148cmCm, 김마리, 2012) ","5,000",- ,- ,"5,000",변동없음 
,,,,,,,
▶ 비영리법인에 출연한 재산 ,,,,,,,
,,,,,,,
본인 ,출연 ,"미래상상연구소, 출연재산: 5,000천원, 보유직위: 운영위원 및이사 ",- ,- ,- ,- ,변동없음 
,,,,,,,
▶ 고지거부 및 등록제외사항(소계) ,"597,414",0,"597,414",0,,,
,,,,,,,
차녀 ,,등록제외 ,"320,861",0,"320,861",0,혼인 
,,,,,,,
삼녀 ,,등록제외 ,"276,553",0,"276,553",0,혼인 
,,,,,,,
총계 ,"1,906,132","485,602","1,091,526","1,300,208","증 감 액 : -605,924천원 (가액변동: 39,230천원) ",,
,,,,,,,
