소속 ,국회 ,직위 ,국회의원 ,성명 ,박재호 ,,
,,,,,,,
(단위 : 천원) ,,,,,,,
,,,,,,,
본인과의 관계 ,재산의 종류 ,소재지면적등권리의명세 ,종전가액 ,변동액(천원) ,현재가액 ,변동사유 ,
,,,,,,,
증가액 (실거래액) ,감소액 (실거래액) ,,,,,,
,,,,,,,
▶ 토지(소계) ,970,167,0,"1,137",,,
,,,,,,,
장남 ,임야 ,"경상북도 경주시 외동읍 냉천리 산 42번지 4,275.00m² 중 328.85m² ",970,167,0,"1,137",가액변동 
,,,,,,,
▶ 건물(소계) ,"610,000",0,0,"610,000",,,
,,,,,,,
본인 ,아파트 전세(임차)권 ,부산광역시 남구 용호동 엘지메트로시티 건물 84.98m² ,"20,000",0,0,"20,000",변동 없음 
,,,,,,,
본인 ,상가 전세(임차)권 ,부산광역시 남구 용호동 엘지메트로시티 건물 119.57m² ,"40,000",0,0,"40,000",변동 없음 
,,,,,,,
본인 ,아파트 전세(임차)권 ,서울특별시 영등포구 영등포동7가 아크로타워스퀘어 건물 98.00m² ,"550,000",0,0,"550,000",변동 없음 
,,,,,,,
▶ 부동산에 관한 규정이 준용되는 권리와 자동차.건설기계.선박 및 항공기(소계) ,"8,120",0,"1,060","7,060",,,
,,,,,,,
본인 ,자동차 ,"2009년식 그랜드카니발 배기량(2,902cc) ","8,120",0,"1,060","7,060",가액변동 
,,,,,,,
▶ 현금(소계) ,"20,000",0,"20,000",0,,,
,,,,,,,
장남 ,,현금 감소 ,"20,000",0,"20,000",0,계좌입금 및 기타지출 
,,,,,,,
▶ 예금(소계) ,"189,198","107,623","28,615","268,206",,,
,,,,,,,
본인 ,,"흥국생명보험 6,216, 우리은행 100(181 감소), 메리츠화재 해상보험 4,070(2,220 증가), 삼성생명보험 55,000(55,000 증가), 농협은행 24,794(19,381 감소), 국민은행 28,561(17,005 증가), 교보생명보험 59,889(5,285 증가) ","118,682","79,510","19,562","178,630",급여저축및생활비지출등 
,,,,,,,
장남 ,,"한국카카오은행(주) 1,827(1,671 감소), 국민은행 11,181 (11,181 증가), (주)KEB하나은행 427(427 증가), 교보생명 보험 54,298(4,596 증가), 농협은행 4,302(2,252 증가) ","55,250","22,316","5,531","72,035",
,,,,,,,
차녀 ,,"교보생명보험 14,534(3,797 증가), 한국카카오은행(주) 2,000(2,000 증가), 우리은행 580, (주)KEB하나은행 427(3,522 감소) ","15,266","5,797","3,522","17,541",
,,,,,,,
▶ 정치자금법에 따른 정치자금의 수입 및 지출을 위한 예금계좌의 예금(소계) ,"188,560",0,"18,514","170,046",,,
,,,,,,,
본인 ,,"농협은행 170,046(18,514 감소) ","188,560",0,"18,514","170,046",정치자금 지출 등 
,,,,,,,
▶ 채권(소계) ,"40,000",0,0,"40,000",,,
,,,,,,,
차녀 ,,사인간채권 ,"40,000",0,0,"40,000",변동없음 
,,,,,,,
▶ 채무(소계) ,"144,558","50,000","69,618","124,940",,,
,,,,,,,
본인 ,,사인간채무 감소 ,"115,000","50,000","65,000","100,000",일부 상환 
,,,,,,,
본인 ,금융기관채무 ,"하나캐피탈 24,940(4,618 감소) ","29,558",0,"4,618","24,940",차량 리스료 상환 
,,,,,,,
총계 ,"912,290","57,790","-1,429","971,509","증감액:59,219천원 (가액변동: -893천원) ",,
,,,,,,,
