소속 ,국회 ,직위 ,국회의원 ,성명 ,박정 ,,
,,,,,,,
(단위 : 천원) ,,,,,,,
,,,,,,,
본인과의 관계 ,재산의 종류 ,소재지면적등권리의명세 ,종전가액 ,변동액(천원) ,현재가액 ,변동사유 ,
,,,,,,,
증가액 (실거래액) ,감소액 (실거래액) ,,,,,,
,,,,,,,
▶ 토지(소계) ,"11,956",73,0,"12,029",,,
,,,,,,,
본인 ,임야 ,"경기도 파주시 월롱면 덕은리 252-23번지 1,464.00m² 중 122.00m² ","11,956",73,0,"12,029",가액변동 
,,,,,,,
▶ 건물(소계) ,"34,218,098","995,904","11,000","35,203,002",,,
,,,,,,,
본인 ,단독주택 ,경기도 파주시 월롱면 대지 702.00m² 건물 283.79m² ,"355,000",0,"1,000","354,000",가액변동 
,,,,,,,
본인 ,빌딩 ,"서울특별시 마포구 상암동 트루텍빌딩 대지 2,077.90m² 건물 19,816.49m² ","32,541,098","953,904",0,"33,495,002",가액변동 
,,,,,,,
본인 ,연립주택 ,경기도 고양시 일산동구 풍동 건물 243.07m² ,"1,312,000","32,000",0,"1,344,000",가액변동 
,,,,,,,
장남 ,오피스텔 전세(임차)권 ,서울특별시 강남구 삼성동 씨티라이프 건물 0.00m² (건물 47.49m² 감소) ,"10,000",0,"10,000",0,임대차계약 해지 
,,,,,,,
장남 ,오피스텔 전세(임차)권 ,서울특별시 강남구 논현동 샹그리라오피스텔 건물 33.00m² (건물 33.00m² 증가) ,- ,"10,000",0,"10,000",신규 임대차보증금 
,,,,,,,
▶ 부동산에 관한 규정이 준용되는 권리와 자동차.건설기계.선박 및 항공기(소계) ,"21,844",0,0,"21,844",,,
,,,,,,,
본인 ,자동차 ,"2016년식 올뉴카니발V6 배기량(3,300cc) ","8,234",- ,- ,"8,234",변동없음 
,,,,,,,
배우자 ,자동차 ,"2015년식 G330 Premium 배기량(3,342cc) ","13,610",- ,- ,"13,610",변동없음 
,,,,,,,
▶ 예금(소계) ,"5,897,659","913,742","2,118,543","4,692,858",,,
,,,,,,,
본인 ,,"푸르덴셜생명보험 168,960, 농협생명보험 7,600(1,200 증가), 우리 5,000, 신한은행 1,048,596(1,292,119 감소), 중소기업은행 0(50,872 감소), 농협은행 17,038(16,542 감소), (주)KB손해보험 16,280(3,783 증가), 농협손해보험 2,940(840 증가), 농협중앙회 2,314(6,523 감소), DB손해보험(주) 30,000, 오렌지라이프생명보험 360,000, 삼성화재해상보험 17,845 ","3,036,806","404,023","1,764,256","1,676,573","임대수입,급여수입,저축예금 수입 등으로 예금이 증가하고 증가된 예금에서 대출금 일부상환으로 감소 되었음 "
,,,,,,,
배우자 ,,"(주)KEB하나은행 326,492(3,858 증가), DB손해보험(주) 30,000, 신한은행 1,426,395(132,925 증가), 교보생명보험 16,447(3,834 증가) ","1,658,717","442,174","301,557","1,799,334",
,,,,,,,
장남 ,,"신한은행 592,239(4,304 증가) ","587,935","56,910","52,606","592,239",
,,,,,,,
차남 ,,"중소기업은행 7, 중국은행 3,060(3,060 증가), 씨티은행 0(124 감소), 신한은행 621,645(7,575 증가) ","614,201","10,635",124,"624,712",
,,,,,,,
▶ 정치자금법에 따른 정치자금의 수입 및 지출을 위한 예금계좌의 예금(소계) ,"50,569",0,"49,869",700,,,
,,,,,,,
본인 ,,"중소기업은행 700(49,869 감소) ","50,569",0,"49,869",700,후원금 수입 변동 
,,,,,,,
▶ 유가증권(소계) ,"3,067,170",0,0,"3,067,170",,,
,,,,,,,
본인 ,비상장주식 ,"(주)피앤제이글로벌 39,999주, 아마존인슈(주) 22,600주, (주)박정어학원 28,034주, (주)아마존카 166,667주, 동우에이앤이 2,500주 ","1,427,920",0,0,"1,427,920",변동없음 
,,,,,,,
배우자 ,비상장주식 ,"(주)아마존카 133,333주, 소나무마을(주) 3,920주, (주)피앤제이글로벌 1주, (주)박정어학원 10,298주 ","789,250",0,0,"789,250",
,,,,,,,
장남 ,비상장주식 ,"디멘젼투자자문(주) 85,000주 ","425,000",0,0,"425,000",
,,,,,,,
차남 ,비상장주식 ,"디멘젼투자자문(주) 85,000주 ","425,000",0,0,"425,000",
,,,,,,,
▶ 채권(소계) ,"2,564,303","74,084",0,"2,638,387",,,
,,,,,,,
본인 ,,사인간채권 증가 ,"2,384,303","74,084",0,"2,458,387",추가 대여 
,,,,,,,
배우자 ,,사인간채권 ,"180,000",0,0,"180,000",변동없음 
,,,,,,,
▶ 채무(소계) ,"19,317,088","56,000","2,520,948","16,852,140",,,
,,,,,,,
본인 ,금융기관채무 ,"신한은행 15,000,000(2,500,000 감소) ","17,500,000",0,"2,500,000","15,000,000",예금 등으로 상환 
,,,,,,,
본인 ,건물임대채무 ,서울특별시 마포구 상암동 트루텍빌딩 임대보증금 감소 ,"1,797,140",0,"1,000","1,796,140",건물 임대보증금 변동 
,,,,,,,
장남 ,금융기관채무 ,"신한은행 56,000(36,052 증가) ","19,948","56,000","19,948","56,000",추가 대출 
,,,,,,,
총계 ,"26,514,511","1,927,803","-341,536","28,783,850","증 감 액 : 2,269,339천원 (가액변동: 984,977천원) ",,
,,,,,,,
