소속 ,국회 ,직위 ,국회의원 ,성명 ,박주민 ,,
,,,,,,,
(단위 : 천원) ,,,,,,,
,,,,,,,
본인과의 관계 ,재산의 종류 ,소재지면적등권리의명세 ,종전가액 ,변동액(천원) ,현재가액 ,변동사유 ,
,,,,,,,
증가액 (실거래액) ,감소액 (실거래액) ,,,,,,
,,,,,,,
▶ 건물(소계) ,"642,000","184,000","100,000","726,000",,,
,,,,,,,
본인 ,아파트 ,서울특별시 중구 신당동 청구이편한세상 건물 84.95m² ,"512,000","64,000",0,"576,000",가액변동 
,,,,,,,
본인 ,아파트 전세(임차)권 ,서울특별시 은평구 역촌동 역촌센트레빌아파트 건물 0.00m² (건물 84.89m² 감소) ,"100,000",0,"100,000",0,전세계약만료 
,,,,,,,
본인 ,사무실 전세(임차)권 ,서울특별시 은평구 응암동 3층 건물 210.00m² ,"30,000",0,0,"30,000",변동없음 
,,,,,,,
본인 ,아파트 전세(임차)권 ,서울특별시 은평구 응암동 금호아파트 건물 84.93m² (건물 84.93m² 증가) ,- ,"120,000",0,"120,000",임차보증금 
,,,,,,,
▶ 예금(소계) ,"280,134","543,909","173,616","650,427",,,
,,,,,,,
본인 ,,"신한은행 599,699(370,806 증가), KB증권 166(13 증가), 농협은행 1,728(1,712 증가), (주)KEB하나은행 1,917(3,329 감소), 국민은행 25,030(98 증가), 스탠다드차타드은행 10, 새마을금고중앙회 공제사업부 1,196(435 증가) ","260,011","532,258","162,523","629,746",사인간 채권 만기 환수금과 임대 보증금 증가 
,,,,,,,
배우자 ,,"(주)KEB하나은행 20,202(6,062 증가), 국민은행 9, 현대해상화재보험 370(370 증가), 신한은행 100, 교보생명보험 0(5,874 감소) ","20,123","11,651","11,093","20,681",
,,,,,,,
▶ 유가증권(소계) ,393,2,33,362,,,
,,,,,,,
본인 ,상장주식 ,"KB금융 2주, SK텔레콤 1주 ",393,2,33,362,가액 변동 
,,,,,,,
▶ 채권(소계) ,"100,000",0,"100,000",0,,,
,,,,,,,
본인 ,,사인간채권 감소 ,"100,000",0,"100,000",0,채권계약완료 
,,,,,,,
▶ 채무(소계) ,"172,773","200,000","36,629","336,144",,,
,,,,,,,
본인 ,건물임대채무 ,서울특별시 중구 신당동 청구이편한세상 임대보증금 증가 ,"100,000","200,000",0,"300,000",전세보증금 증가 
,,,,,,,
배우자 ,금융기관채무 ,"(주)KEB하나은행 12,168(2,622 감소), 신한은행 23,976(34,007 감소) ","72,773",0,"36,629","36,144",급여로 상환 
,,,,,,,
▶ 고지거부 및 등록제외사항(소계) ,0,0,0,0,,,
,,,,,,,
부 ,,고지거부 ,- ,- ,- ,- ,독립생계유지 
,,,,,,,
모 ,,고지거부 ,- ,- ,- ,- ,독립생계유지 
,,,,,,,
총계 ,"849,754","527,911","337,020","1,040,645","증 감 액 : 190,891천원 (가액변동: 63,969천원) ",,
,,,,,,,
