소속 ,국회 ,직위 ,국회의원 ,성명 ,박주선 ,,
,,,,,,,
(단위 : 천원) ,,,,,,,
,,,,,,,
본인과의 관계 ,재산의 종류 ,소재지면적등권리의명세 ,종전가액 ,변동액(천원) ,현재가액 ,변동사유 ,
,,,,,,,
증가액 (실거래액) ,감소액 (실거래액) ,,,,,,
,,,,,,,
▶ 토지(소계) ,"159,745","9,288",43,"168,990",,,
,,,,,,,
본인 ,임야 ,"전라남도 보성군 미력면 미력리 산 55번지 70,612.00m² ","50,346","3,884",0,"54,230",가액변동 
,,,,,,,
본인 ,전 ,"전라남도 보성군 득량면 해평리 2488-5번지 2,996.70m² 중 666.00m² ","5,261",133,0,"5,394",가액변동 
,,,,,,,
본인 ,전 ,전라남도 보성군 득량면 해평리 2488-4번지 664.90m² 중 148.00m² ,"1,169",29,0,"1,198",가액변동 
,,,,,,,
본인 ,답 ,"전라남도 보성군 득량면 오봉리 2074-20번지 5,592.50m² 중 1,242.77m² ","10,356",0,42,"10,314",가액변동 
,,,,,,,
본인 ,답 ,전라남도 보성군 미력면 미력리 488번지 111.00m² 중 24.66m² ,211,8,0,219,가액변동 
,,,,,,,
본인 ,답 ,"전라남도 보성군 미력면 미력리 466-1번지 3,885.00m² 중 863.33m² ","8,055",310,0,"8,365",가액변동 
,,,,,,,
배우자 ,임야 ,"전라남도 영암군 미암면 호포리 산 1-2번지 5,958.00m² ","25,202","2,204",0,"27,406",가액변동 
,,,,,,,
배우자 ,임야 ,"전라남도 영암군 미암면 채지리 산 80-18번지 5,878.00m² ","21,631","1,998",0,"23,629",가액변동 
,,,,,,,
모 ,전 ,"전라남도 보성군 득량면 해평리 2488-5번지 2,996.70m² 중 998.90m² ","7,891",200,0,"8,091",가액변동 
,,,,,,,
모 ,전 ,전라남도 보성군 득량면 해평리 2488-4번지 664.90m² 중 221.63m² ,"1,751",44,0,"1,795",가액변동 
,,,,,,,
모 ,답 ,"전라남도 보성군 미력면 미력리 466-1번지 3,885.00m² 중 1,295.00m² ","12,082",466,0,"12,548",가액변동 
,,,,,,,
모 ,답 ,"전라남도 보성군 득량면 오봉리 2074-20번지 5,592.50m² 중 1,864.16m² ","15,473",0,1,"15,472",가액변동 
,,,,,,,
모 ,답 ,전라남도 보성군 미력면 미력리 488번지 111.00m² 중 37.00m² ,317,12,0,329,가액변동 
,,,,,,,
▶ 건물(소계) ,"1,796,185","85,830",0,"1,882,015",,,
,,,,,,,
본인 ,아파트 ,경기도 성남시 분당구 정자동 파크뷰 건물 199.78m² ,"1,216,000","64,000",0,"1,280,000",가액변동 
,,,,,,,
배우자 ,아파트 ,서울특별시 강남구 일원동 샘터마을아파트 건물 134.44m² 중 45.00m² ,"330,185","21,830",0,"352,015",가액변동 
,,,,,,,
삼남 ,다세대주택 ,서울특별시 강남구 삼성동 대지 81.20m² 중 20.30m² 건물 83.10m² 중 20.78m² ,"250,000",0,0,"250,000",가액변동 없음 
,,,,,,,
▶ 부동산에 관한 규정이 준용되는 권리와 자동차.건설기계.선박 및 항공기(소계) ,"27,720",0,"3,080","24,640",,,
,,,,,,,
본인 ,자동차 ,"2013년식 그랜저HG 배기량(2,800cc) ","17,720",0,"2,990","14,730",가액변동 
,,,,,,,
배우자 ,자동차 ,"2010년식 렉서스 배기량(2,500cc) ","10,000",0,90,"9,910",가액변동 
,,,,,,,
▶ 예금(소계) ,"1,456,141","463,869","499,922","1,420,088",,,
,,,,,,,
본인 ,,"삼성생명보험 152,798(35,000 증가), 신한은행 525,723(114,433 증가), 서석 20, 농협은행 1,358(1,170 증가), (주)KB손해보험 18,000, 신한금융투자(주) 0(89,849 감소), 유안타증권 1, 신한생명보험 96,000, 빛고을신협 50, 국민은행 5, 케이디비생명보험 30,000, 한국투자증권 14, 광주은행 235(66 증가), 광주동부신협 53(1 증가) ","763,436","245,324","184,503","824,257",예금감소및 예탁금으로 주식 매입 
,,,,,,,
배우자 ,,"(주)KEB하나은행 2, 미래에셋대우(주) 547(533 증가), 새마을금고중앙회 공제사업부 2,804(1,122 증가), 신한은행 324,751(126,749 증가), (주)KB손해보험 18,000, 삼성생명보험 7,351(1,912 증가), IBK연금보험 33,000(18,000 증가), 신한금융투자(주) 60,335(245,654 감소), 농협은행 1,604(1 증가) ","545,731","210,993","308,330","448,394",
,,,,,,,
모 ,,"국민은행 44(2 증가), 농협은행 2,211(2 증가) ","2,251",4,0,"2,255",
,,,,,,,
삼남 ,,"신한은행 98,500(6,844 감소), 삼성생명보험 25,851(2,561 증가), 신한금융투자(주) 2,409(11 증가), 국민은행 1,165(8 증가), 우리은행 4,553(4,553 증가), 한국카카오은행(주) 102(102 증가), (주)KEB하나은행 2,202(68 증가), BNP파리바카디프생명보험 10,400 ","144,723","7,548","7,089","145,182",
,,,,,,,
▶ 유가증권(소계) ,"58,017","38,694","1,845","94,866",,,
,,,,,,,
본인 ,상장주식 ,삼성생명 43주 ,"5,353",0,"1,845","3,508",보유주식 평단가 상승 및 신규종목 매입 
,,,,,,,
본인 ,비상장주식 ,(주)광주시민프로축구단 200주 ,"1,000",0,0,"1,000",
,,,,,,,
배우자 ,상장주식 ,"신세계I&C627주,신한알파리츠 3,471주(3,471주증가) ","51,664","38,694",0,"90,358",
,,,,,,,
▶ 채무(소계) ,"1,978,408",0,"2,272","1,976,136",,,
,,,,,,,
본인 ,,사인간채무 ,"1,400,000",0,0,"1,400,000",변동 없음 
,,,,,,,
배우자 ,금융기관채무 ,"아주캐피탈 0(2,272 감소) ","2,272",0,"2,272",0,대출 완납 
,,,,,,,
배우자 ,건물임대채무 ,서울특별시 강남구 일원동 샘터마을아파트 임대보증금 ,"238,636",0,0,"238,636",변동 없음 
,,,,,,,
삼남 ,,사인간채무 ,"250,000",0,0,"250,000",변동 없음 
,,,,,,,
삼남 ,건물임대채무 ,서울특별시 강남구 삼성동 임대보증금 ,"87,500",0,0,"87,500",변동 없음 
,,,,,,,
▶ 회원권(소계) ,"263,100","3,000",0,"266,100",,,
,,,,,,,
본인 ,콘도미니엄 ,(주)무주리조트 ,"16,100",- ,- ,"16,100",가액변동 없음 
,,,,,,,
본인 ,골프 ,신원컨트리클럽 ,"200,000",- ,- ,"200,000",가액변동 없음 
,,,,,,,
배우자 ,콘도미니엄 ,한솔 오크밸리 증가 ,"24,000","1,000",0,"25,000",가액변동 
,,,,,,,
배우자 ,골프 ,은화삼컨트리클럽 증가 ,"23,000","2,000",0,"25,000",가액변동 
,,,,,,,
▶ 고지거부 및 등록제외사항(소계) ,0,0,0,0,,,
,,,,,,,
장남 ,,고지거부 ,- ,- ,- ,- ,독립생계유지 
,,,,,,,
차남 ,,고지거부 ,- ,- ,- ,- ,독립생계유지 
,,,,,,,
총계 ,"1,782,500","600,681","502,618","1,880,563","증감액:98,063천원 (가액변동: 111,337천원) ",,
,,,,,,,
