소속 ,국회 ,직위 ,국회의원 ,성명 ,박주현 ,,
,,,,,,,
(단위 : 천원) ,,,,,,,
,,,,,,,
본인과의 관계 ,재산의 종류 ,소재지면적등권리의명세 ,종전가액 ,변동액(천원) ,현재가액 ,변동사유 ,
,,,,,,,
증가액 (실거래액) ,감소액 (실거래액) ,,,,,,
,,,,,,,
▶ 건물(소계) ,"3,136,000","554,074","400,000","3,290,074",,,
,,,,,,,
본인 ,아파트 ,서울특별시 강남구 일원동 목련타운 건물 134.71m² 중 67.36m² ,"468,000","32,037",0,"500,037",가액변동 
,,,,,,,
본인 ,아파트 전세(임차)권 ,서울특별시 용산구 용산동5가 파크타워 건물 130.00m² ,"1,140,000",0,0,"1,140,000",전세보증금 
,,,,,,,
배우자 ,아파트 ,서울특별시 강남구 일원동 목련타운 건물 134.71m² 중 67.36m² ,"468,000","32,037",0,"500,037",가액변동 
,,,,,,,
배우자 ,아파트 전세(임차)권 ,서울특별시 서초구 방배동 삼호아파트 건물 0.00m² (건물 80.33m² 감소) ,"400,000",0,"400,000",0,계약만료 
,,,,,,,
배우자 ,아파트 전세(임차)권 ,서울특별시 용산구 이촌동 한가람아파트 건물 59.80m² (건물 59.80m² 증가) ,- ,"490,000",0,"490,000",전세보증금 
,,,,,,,
장남 ,아파트 전세(임차)권 ,서울특별시 강남구 일원동 목련타운아파트 건물 134.00m² ,"660,000",0,0,"660,000",전세보증금 
,,,,,,,
▶ 부동산에 관한 규정이 준용되는 권리와 자동차.건설기계.선박 및 항공기(소계) ,"20,140",0,"20,140",0,,,
,,,,,,,
배우자 ,자동차 ,"2015년식 그랜저 하이브리드 배기량(2,359cc) 감소 ","20,140",0,"20,140",0,매매 
,,,,,"-20,000",,
,,,,,,,
▶ 예금(소계) ,"2,050,846","591,167","359,064","2,282,949",,,
,,,,,,,
본인 ,,"(주)비엔케이저축은행 93,000(48,000 증가), 상호저축은행중앙회 0(49,951 감소), 제이티친애저축은 42,000(42,000 증가), (주)스마트저축은 48,000(48,000 증가), 삼성생명보험 200,000, (주)키움예스저축 73,000(48,000 증가), 농협은행 19,161(12,365 증가), 국민은행 26,770(22,009 증가), IBK연금보험 200,000(30,000 증가), 한국카카오은행(주) 604(139,896 감소), OSB저축은행 0(20,172 감소), 교보생명보험 270,000, 골든브릿지투자증권 36 ","932,216","320,374","280,019","972,571",급여저축 및 전세보증금 지출 등 
,,,,,,,
배우자 ,,"DB손해보험(주) 32,000, (주)KEB하나은행 0(4 감소), BNP파리바 카디프생명보험 100,000, KB증권 5, 중소기업은행 104,918(100,347 증가), 삼성생명보험 200,000, 신한은행 170,893(98,737 증가), SK증권 1, (주)KB손해보험 32,000, IBK연금보험 560,000(16,000 증가), 우리은행 10,844(7,966 감소), 교보생명보험 32,000 ","1,035,547","221,500","14,386","1,242,661",
,,,,,,,
장남 ,,"신한은행 5,600(5,500 증가), 한국카카오은행(주) 31,825(31,825 증가), (주)DB저축은행 6,000(6,000 증가), 농협은행 16,476(12,559 감소) ","29,135","43,425","12,659","59,901",
,,,,,,,
장녀 ,,"국민은행 554, (주)KEB하나은행 15, OSB저축은행 0(31,000 감소), 농협은행 3, (주)한국투자저축 0(21,000 감소), 우리은행 2,886(1,510 증가), 한국카카오은행(주) 4,349(4,349 증가), 애큐온저축은행 9(9 증가) ","53,948","5,868","52,000","7,816",
,,,,,,,
▶ 정치자금법에 따른 정치자금의 수입 및 지출을 위한 예금계좌의 예금(소계) ,"2,060","29,849",0,"31,909",,,
,,,,,,,
본인 ,,"농협은행 31,909(29,849 증가) ","2,060","29,849",0,"31,909",후원금 증가 
,,,,,,,
▶ 채권(소계) ,0,"85,000",0,"85,000",,,
,,,,,,,
장녀 ,,사인간채권 증가 ,0,"85,000",0,"85,000",예금등대여 
,,,,,,,
▶ 채무(소계) ,"660,000",0,0,"660,000",,,
,,,,,,,
본인 ,건물임대채무 ,서울특별시 강남구 일원동 목련타운 임대보증금 ,"660,000",0,0,"660,000",변동없음 
,,,,,,,
▶ 고지거부 및 등록제외사항(소계) ,0,0,0,0,,,
,,,,,,,
부 ,,등록제외 ,- ,- ,- ,- ,사망 
,,,,,,,
모 ,,고지거부 ,- ,- ,- ,- ,독립생계유지 
,,,,,,,
총계 ,"4,549,046","1,260,090","779,204","5,029,932","증 감 액 : 480,886천원 (가액변동: 64,074천원) ",,
,,,,,,,
