소속 ,국회 ,직위 ,국회의원 ,성명 ,박지원 ,,
,,,,,,,
(단위 : 천원) ,,,,,,,
,,,,,,,
본인과의 관계 ,재산의 종류 ,소재지면적등권리의명세 ,종전가액 ,변동액(천원) ,현재가액 ,변동사유 ,
,,,,,,,
증가액 (실거래액) ,감소액 (실거래액) ,,,,,,
,,,,,,,
▶ 건물(소계) ,"824,000","112,000",0,"936,000",,,
,,,,,,,
본인 ,아파트 ,서울특별시 영등포구 여의도동 한양아파트 건물 192.73m² ,"824,000","112,000",0,"936,000",가액변동 
,,,,,,,
▶ 현금(소계) ,"20,000",0,0,"20,000",,,
,,,,,,,
본인 ,,현금 ,"20,000",0,0,"20,000",변동없음 
,,,,,,,
▶ 예금(소계) ,"67,708","190,792","49,151","209,349",,,
,,,,,,,
본인 ,,"우리은행 37,851(11,551 증가), 꿀벌신협 123(2 증가), 용해신협 126(3 증가), 농협은행 168,045(130,074 증가), 목포신협 131(3 증가), (주)KEB하나은행 2,714(2 증가), 목포대성신협 132(3 증가), 목포침례교회신협 105, 북교신협 122(3 증가) ","67,708","190,792","49,151","209,349",급여저축및생활비지출등 
,,,,,,,
▶ 정치자금법에 따른 정치자금의 수입 및 지출을 위한 예금계좌의 예금(소계) ,"22,702","69,177",0,"91,879",,,
,,,,,,,
본인 ,,"농협은행 91,879(69,177 증가) ","22,702","69,177",0,"91,879",후원금 증가 
,,,,,,,
▶ 채권(소계) ,"301,180",0,0,"301,180",,,
,,,,,,,
본인 ,,사인간채권 ,"301,180",0,0,"301,180",변동없음 
,,,,,,,
▶ 채무(소계) ,"50,000",0,0,"50,000",,,
,,,,,,,
본인 ,,사인간채무 ,"50,000",0,0,"50,000",변동없음 
,,,,,,,
▶ 회원권(소계) ,"10,000",0,0,"10,000",,,
,,,,,,,
본인 ,헬스 ,힐튼 헬스클럽 ,"10,000",- ,- ,"10,000",변동없음 
,,,,,,,
▶ 고지거부 및 등록제외사항(소계) ,"87,312",0,"87,312",0,,,
,,,,,,,
배우자 ,,등록제외 ,"87,312",0,"87,312",0,사별 
,,,,,,,
총계 ,"1,282,902","371,969","136,463","1,518,408","증 감 액 : 235,506천원 (가액변동: 112,000천원) ",,
,,,,,,,
