소속 ,국회 ,직위 ,국회의원 ,성명 ,박찬대 ,,
,,,,,,,
(단위 : 천원) ,,,,,,,
,,,,,,,
본인과의 관계 ,재산의 종류 ,소재지면적등권리의명세 ,종전가액 ,변동액(천원) ,현재가액 ,변동사유 ,
,,,,,,,
증가액 (실거래액) ,감소액 (실거래액) ,,,,,,
,,,,,,,
▶ 건물(소계) ,"1,059,000","3,000","4,000","1,058,000",,,
,,,,,,,
본인 ,사무실 전세(임차)권 ,인천광역시 연수구 연수동 아시스타워 건물 46.67m² ,"10,000",0,0,"10,000",변동없음 
,,,,,,,
본인 ,아파트 ,인천광역시 연수구 청학동 산 한별렉스힐 건물 185.62m² 중 92.81m² ,"292,500",0,0,"292,500",변동없음 
,,,,,,,
배우자 ,아파트 ,인천광역시 서구 연희동 청라자이아파트 건물 143.00m² ,"391,000",0,"4,000","387,000",가액변동 
,,,,,,,
배우자 ,아파트 ,인천광역시 연수구 청학동 산 한별렉스힐 건물 185.62m² 중 92.81m² ,"292,500",0,0,"292,500",변동없음 
,,,,,,,
부 ,아파트 ,인천광역시 남구 주안동 광명아파트 건물 44.00m² ,"73,000","3,000",0,"76,000",가액변동 
,,,,,,,
▶ 부동산에 관한 규정이 준용되는 권리와 자동차.건설기계.선박 및 항공기(소계) ,"45,250",0,"29,610","15,640",,,
,,,,,,,
배우자 ,자동차 ,"2011년식 에쿠스 배기량(3,778cc) 감소 ","27,030",0,"27,030",0,매도 
,,,,,"-10,500",,
,,,,,,,
배우자 ,자동차 ,"2016년식 트랙스 1.4터보LTZ 배기량(1,362cc) ","18,220",0,"2,580","15,640",가액변동 
,,,,,,,
▶ 예금(소계) ,"355,762","93,870","47,708","401,924",,,
,,,,,,,
본인 ,,"중소기업은행 265(498 감소), 새마을금고 74, 농협은행 52,044(35,719 증가), 농협중앙회 8, (주)KEB하나은행 975(1 증가), 국민은행 0(180 감소), 오렌지라이프생명보험 45,767(4,890 증가), 스탠다드차타드은행 161, 유화증권 544(33 증가) ","59,873","40,643",678,"99,838",급여저축 등 
,,,,,,,
배우자 ,,"중소기업은행 101,520(37,375 증가), 삼성생명보험 60,198(4,900 증가), 신한은행 10, 씨티은행 194, 신한생명보험 58,270(7,470 증가), 오렌지라이프생명보험 18,705(2,196 증가), 교보생명보험 30,000(250 증가) ","216,706","52,539",348,"268,897",
,,,,,,,
부 ,,"국민은행 3,544(24,708 감소), 중소기업은행 1,325(688 증가), 새마을금고 28,296(21,974 감소) ","79,159",688,"46,682","33,165",
,,,,,,,
모 ,,미추홀 24 ,24,0,0,24,
,,,,,,,
▶ 정치자금법에 따른 정치자금의 수입 및 지출을 위한 예금계좌의 예금(소계) ,"180,301","106,500",0,"286,801",,,
,,,,,,,
본인 ,,"농협은행 286,801(106,500 증가) ","180,301","106,500",0,"286,801",후원금 증가 
,,,,,,,
▶ 유가증권(소계) ,"21,058",0,15,"21,043",,,
,,,,,,,
본인 ,상장주식 ,KT 35주 ,"1,058",0,15,"1,043",평가액변동 
,,,,,,,
본인 ,비상장주식 ,"티에이치바스 4,000주 ","20,000",0,0,"20,000",
,,,,,,,
▶ 채권(소계) ,"130,000",0,0,"130,000",,,
,,,,,,,
본인 ,,사인간채권 ,"70,000",0,0,"70,000",변동없음 
,,,,,,,
배우자 ,,사인간채권 ,"60,000",0,0,"60,000",변동없음 
,,,,,,,
▶ 채무(소계) ,"420,601","325,000","368,407","377,194",,,
,,,,,,,
본인 ,,사인간채무 ,"50,000",0,0,"50,000",변동없음 
,,,,,,,
본인 ,금융기관채무 ,"농협은행 0(3,142 감소) ","3,142",0,"3,142",0,급여 등으로 상환 
,,,,,,,
배우자 ,금융기관채무 ,"아주캐피탈 2,194(5,265 감소) ","7,459",0,"5,265","2,194",급여 등으로 상환 
,,,,,,,
배우자 ,건물임대채무 ,인천광역시 서구 연희동 청라자이아파트 임대보증금 감소 ,"360,000","325,000","360,000","325,000",계약자변경및보증금감소 
,,,,,,,
▶ 합명.합자.유한회사 출자지분(소계) ,"22,000",0,0,"22,000",,,
,,,,,,,
배우자 ,출자 ,"(유)한미회계법인, 출자가액: 22,000천원, 지분비율: 3.8%, 연간매출액: 15,866,000천원(2,962,848천원 증가) ","22,000",0,0,"22,000",변동없음 
,,,,,,,
총계 ,"1,392,770","-121,630","-287,074","1,558,214","증 감 액 : 165,444천원 (가액변동: -3,595천원) ",,
,,,,,,,
