소속 ,국회 ,직위 ,국회의원 ,성명 ,박홍근 ,,
,,,,,,,
(단위 : 천원) ,,,,,,,
,,,,,,,
본인과의 관계 ,재산의 종류 ,소재지면적등권리의명세 ,종전가액 ,변동액(천원) ,현재가액 ,변동사유 ,
,,,,,,,
증가액 (실거래액) ,감소액 (실거래액) ,,,,,,
,,,,,,,
▶ 토지(소계) ,"3,794",377,0,"4,171",,,
,,,,,,,
모 ,임야 ,"전라남도 고흥군 도덕면 봉덕리 산 234-1번지 1,896.00m² ","2,351",303,0,"2,654",가액변동 
,,,,,,,
모 ,전 ,전라남도 고흥군 도덕면 봉덕리 611-1번지 248.00m² ,"1,443",74,0,"1,517",가액변동 
,,,,,,,
▶ 건물(소계) ,"227,034","5,966",200,"232,800",,,
,,,,,,,
본인 ,단독주택 ,전라남도 고흥군 도덕면 봉덕리 대지 314.00m² 건물 104.99m² ,"25,000",0,200,"24,800",가액변동 
,,,,,,,
본인 ,아파트 ,서울특별시 중랑구 신내2동 신내11단지대명아파트 건물 49.77m² 중 24.89m² ,"86,017","2,983",0,"89,000",가액변동 
,,,,,,,
본인 ,사무실 전세(임차)권 ,서울특별시 중랑구 중화1동 건물 0.00m² (건물 0.00m² 감소) ,0,0,0,0,
,,,,,,,
본인 ,사무실 전세(임차)권 ,서울특별시 중랑구 중화동 건물 198.30m² ,"30,000",0,0,"30,000",
,,,,,,,
배우자 ,아파트 ,서울특별시 중랑구 신내2동 신내11단지대명아파트 건물 49.77m² 중 24.89m² ,"86,017","2,983",0,"89,000",가액변동 
,,,,,,,
▶ 부동산에 관한 규정이 준용되는 권리와 자동차.건설기계.선박 및 항공기(소계) ,"1,950",0,290,"1,660",,,
,,,,,,,
배우자 ,자동차 ,"2004년식 EF쏘나타 배기량(2,000cc) ","1,950",0,290,"1,660",가액변동 
,,,,,,,
▶ 예금(소계) ,"126,678","31,356","29,267","128,767",,,
,,,,,,,
본인 ,,"푸르덴셜생명보험 20,146(1,097 증가), 신한은행 10,860(4,664 감소), 우리은행 9, 농협은행 4,294(2,922 증가), 에이아이지손해 보험(주) 1,288(773 증가), 국민은행 1,493(1,136 증가) ","36,826","6,231","4,967","38,090",급여저축등으로인한변동 
,,,,,,,
배우자 ,,"(주)KEB하나은행 475(2,668 감소), 흥국생명보험 5,676, 푸르덴셜 생명보험 16,083(862 증가), 현대해상화재보험 34,138(1,926 감소), 국민은행 2,083(351 증가), 흥국화재해상보험(주) 1,260 (180 증가), 메리츠화재해상보험 2,025(300 증가), 신내동 30, 에이아이지손해보험(주) 1,206(724 증가), 신한은행 3,015(238 감소), 삼성생명보험 901(901 증가), 우리은행 2,183(901 증가) ","69,688","7,725","8,338","69,075",
,,,,,,,
모 ,,"농협중앙회 1,524(299 감소), 우체국 2,229(5,404 감소), 수협중앙회 17,300(7,300 증가) ","19,456","17,300","15,703","21,053",
,,,,,,,
장녀 ,,국민은행 549(159 감소) ,708,100,259,549,
,,,,,,,
▶ 정치자금법에 따른 정치자금의 수입 및 지출을 위한 예금계좌의 예금(소계) ,"174,678","100,155",0,"274,833",,,
,,,,,,,
본인 ,,"농협은행 274,833(100,155 증가) ","174,678","100,155",0,"274,833",후원금 증가로 인한 변동 
,,,,,,,
▶ 채무(소계) ,"134,921",0,"22,745","112,176",,,
,,,,,,,
본인 ,금융기관채무 ,"푸르덴셜생명보험 0(10,683 감소) ","10,683",0,"10,683",0,급여 등으로 상환 
,,,,,,,
배우자 ,금융기관채무 ,"흥국생명보험 3,560(115 감소), 푸르덴셜생명보험 0(5,297 감소), 신한은행 108,616(6,650 감소) ","124,238",0,"12,062","112,176",급여 등으로 상환 
,,,,,,,
총계 ,"399,213","137,854","7,012","530,055","증 감 액 : 130,842천원 (가액변동: 5,853천원) ",,
,,,,,,,
