소속 ,국회 ,직위 ,국회의원 ,성명 ,백승주 ,,
,,,,,,,
(단위 : 천원) ,,,,,,,
,,,,,,,
본인과의 관계 ,재산의 종류 ,소재지면적등권리의명세 ,종전가액 ,변동액(천원) ,현재가액 ,변동사유 ,
,,,,,,,
증가액 (실거래액) ,감소액 (실거래액) ,,,,,,
,,,,,,,
▶ 토지(소계) ,"183,889",641,0,"184,530",,,
,,,,,,,
본인 ,전 ,경상북도 구미시 장천면 금산리 383-1번지 536.00m² ,"12,381",0,0,"12,381",가액변동없음 
,,,,,,,
본인 ,답 ,"경상북도 구미시 장천면 금산리 383-2번지 1,418.00m² ","32,755",0,0,"32,755",가액변동없음 
,,,,,,,
본인 ,전 ,경상북도 구미시 장천면 금산리 383-3번지 32.00m² ,739,0,0,739,가액변동없음 
,,,,,,,
본인 ,답 ,경상북도 구미시 장천면 금산리 383-4번지 66.00m² ,"1,524",0,0,"1,524",가액변동없음 
,,,,,,,
본인 ,전 ,"경상북도 구미시 장천면 금산리 386번지 2,062.00m² 중 1,031.00m² ","20,001",0,0,"20,001",가액변동없음 
,,,,,,,
본인 ,전 ,"경상북도 구미시 장천면 오로리 733번지 1,749.00m² ","32,881",0,0,"32,881",가액변동없음 
,,,,,,,
본인 ,답 ,"경상북도 구미시 장천면 오로리 734번지 1,068.00m² ","27,127",641,0,"27,768",가액변동 
,,,,,,,
본인 ,답 ,"경상북도 구미시 장천면 오로리 743번지 2,810.00m² ","56,481",0,0,"56,481",가액변동없음 
,,,,,,,
▶ 건물(소계) ,"1,634,000",0,"316,000","1,318,000",,,
,,,,,,,
본인 ,아파트 ,서울특별시 용산구 이촌동 왕궁아파트 건물 102.48m² 중 51.24m² (건물 지분면적51.24m² 감소) ,"374,000",0,0,"374,000",가액변동없음 
,,,,,,,
본인 ,아파트 전세(임차)권 ,경상북도 구미시 송정동 (박정희로 616) 푸르지오캐슬 C단지 건물 84.00m² 중 42.00m² ,"15,000",0,0,"15,000",변동없음 
,,,,,,,
본인 ,아파트 전세(임차)권 ,서울특별시 용산구 서빙고동 신동아아파트 건물 167.08m² 중 83.54m² ,"270,000",0,0,"270,000",변동없음 
,,,,,,,
배우자 ,아파트 ,경기도 김포시 풍무동 풍무자이아파트 건물 0.00m² (건물 133.00m² 감소) ,"316,000",0,"316,000",0,매도 
,,,,,"-447,000",,
,,,,,,,
배우자 ,아파트 ,서울특별시 용산구 이촌동 왕궁아파트 건물 102.48m² 중 51.24m² ,"374,000",0,0,"374,000",가액변동없음 
,,,,,,,
배우자 ,아파트 전세(임차)권 ,경상북도 구미시 송정동 (박정희로 616) 푸르지오캐슬 C단지 건물 84.00m² 중 42.00m² ,"15,000",0,0,"15,000",변동없음 
,,,,,,,
배우자 ,아파트 전세(임차)권 ,서울특별시 용산구 서빙고동 신동아아파트 건물 167.08m² 중 83.54m² ,"270,000",0,0,"270,000",변동없음 
,,,,,,,
▶ 부동산에 관한 규정이 준용되는 권리와 자동차.건설기계.선박 및 항공기(소계) ,"33,700",0,"4,890","28,810",,,
,,,,,,,
본인 ,자동차 ,"2015년식 그랜저 배기량(2,359cc) ","10,530",0,"1,540","8,990",가액변동 
,,,,,,,
본인 ,자동차 ,"2017년식 아반떼 배기량(1,591cc) ","6,320",0,905,"5,415",가액변동 
,,,,,,,
배우자 ,자동차 ,"2015년식 그랜저 배기량(2,359cc) ","10,530",0,"1,540","8,990",가액변동 
,,,,,,,
배우자 ,자동차 ,"2017년식 아반떼 배기량(1,591cc) ","6,320",0,905,"5,415",가액변동 
,,,,,,,
▶ 예금(소계) ,"292,371","389,612","38,958","643,025",,,
,,,,,,,
본인 ,,"삼성증권 318(127 증가), 농협은행 14,755(8,328 증가), 사곡 204(4 증가), 형곡 200(200 증가), 국민은행 72,651(22,516 증가), 과학기술인공제회 16,500, 농협중앙회 4,740(441 감소), 송정 200(200 증가), 원남 200(200 증가), 도량 200(200 증가) ","78,634","31,775",441,"109,968",급여저축및생활비지출등 
,,,,,,,
배우자 ,,"한국교직원공제회 20,850(6,429 증가), 국민은행 243,745(205,684 증가), 삼성화재해상보험 38,906(4,188 증가), 푸르덴셜생명보험 31,833(1,531 증가), 신한은행 50,153(42,024 증가), 삼성생명보험 53,215(6,142 증가), 씨티은행 38,309(32,602 증가) ","178,411","322,917","24,317","477,011",
,,,,,,,
장녀 ,,"국민은행 31,717(11,597 증가), (주)KEB하나은행 34, 미래에셋대우(주) 3, 삼성생명보험 6,468(2,572 증가), 신한은행 4,009(500 증가) ","27,562","27,272","12,603","42,231",
,,,,,,,
장남 ,,"신한은행 12, 한국카카오은행(주) 34(34 증가), 국민은행 13,373(7,614 증가), 농협은행 396(1,597 감소) ","7,764","7,648","1,597","13,815",
,,,,,,,
▶ 정치자금법에 따른 정치자금의 수입 및 지출을 위한 예금계좌의 예금(소계) ,"102,398","44,592",0,"146,990",,,
,,,,,,,
본인 ,,"농협은행 146,990(44,592 증가) ","102,398","44,592",0,"146,990",후원금 증가 
,,,,,,,
▶ 유가증권(소계) ,"10,543","3,721",0,"14,264",,,
,,,,,,,
본인 ,상장주식 ,"멀티캠퍼스 300주,중앙오션250주 ","10,331","3,721",0,"14,052",평가액변동 
,,,,,,,
본인 ,비상장주식 ,에이스일렉 425주 ,212,0,0,212,
,,,,,,,
▶ 채권(소계) ,"50,000",0,0,"50,000",,,
,,,,,,,
본인 ,,사인간채권 ,"50,000",0,0,"50,000",변동없음 
,,,,,,,
▶ 채무(소계) ,"250,000",0,"230,000","20,000",,,
,,,,,,,
본인 ,건물임대채무 ,서울특별시 용산구 이촌동 왕궁아파트 임대보증금 ,"10,000",0,0,"10,000",변동없음 
,,,,,,,
배우자 ,건물임대채무 ,서울특별시 용산구 이촌동 왕궁아파트 임대보증금 ,"10,000",0,0,"10,000",변동없음 
,,,,,,,
배우자 ,건물임대채무 ,경기도 김포시 풍무동 풍무자이아파트 임대보증금 감소 ,"230,000",0,"230,000",0,보증금 상환 
,,,,,,,
총계 ,"2,056,901","438,566","129,848","2,365,619","증 감 액 : 308,718천원 (가액변동: -528천원) ",,
,,,,,,,
