소속 ,국회 ,직위 ,국회의원 ,성명 ,백재현 ,,
,,,,,,,
(단위 : 천원) ,,,,,,,
,,,,,,,
본인과의 관계 ,재산의 종류 ,소재지면적등권리의명세 ,종전가액 ,변동액(천원) ,현재가액 ,변동사유 ,
,,,,,,,
증가액 (실거래액) ,감소액 (실거래액) ,,,,,,
,,,,,,,
▶ 건물(소계) ,"2,727,613","71,467",0,"2,799,080",,,
,,,,,,,
본인 ,사무실 ,서울특별시 구로구 고척동 산업용품상가 대지 268.00m² 건물 352.68m² ,"973,269","18,467",0,"991,736",가액변동 
,,,,,,,
본인 ,사무실 전세(임차)권 ,경기도 광명시 철산동 금산빌딩 건물 121.20m² ,"10,000",0,0,"10,000",변동없음 
,,,,,,,
본인 ,단독주택 ,경기도 광명시 철산동 대지 539.30m² 건물 200.04m² ,"980,000","40,000",0,"1,020,000",가액변동 
,,,,,,,
배우자 ,오피스텔 ,서울특별시 성동구 성수동2가 램킨 중흥S-클래스 오피스텔 대지 8.45m² 건물 42.65m² ,"158,172",0,0,"158,172",가액변동없음 
,,,,,,,
배우자 ,오피스텔 ,서울특별시 성동구 성수동2가 램킨 중흥S-클래스 오피스텔 대지 8.45m² 건물 42.65m² ,"158,172",0,0,"158,172",가액변동없음 
,,,,,,,
배우자 ,아파트 ,서울특별시 동작구 사당동 자이아파트 건물 114.94m² ,"448,000","13,000",0,"461,000",가액변동 
,,,,,,,
▶ 부동산에 관한 규정이 준용되는 권리와 자동차.건설기계.선박 및 항공기(소계) ,"6,000",0,450,"5,550",,,
,,,,,,,
본인 ,자동차 ,"2007년식 오피러스 배기량(3,300cc) ","6,000",0,450,"5,550",가액변동 
,,,,,,,
▶ 예금(소계) ,"883,527","391,841","460,476","814,892",,,
,,,,,,,
본인 ,,"우리은행 1,673(19 감소), 현대라이프생명보험 16,673(1,504 증가), 중소기업중앙회 52,000(52,000 증가), 롯데손해보험 30,630(2,402 증가), 한화손해보험 300, 농협은행 16,699(40,569 감소), (주)KB손해보험 16,320(1,440 증가), AIA생명보험 42,600(2,400 증가), 광명동부 70, 국민은행 21,404(52,622 감소), (주)KEB하나은행 4,219(1,086 감소), 한화생명보험 3,005, 광남 774(31 증가), 광명 3,378(99 증가), 새마을금고중앙회 공제사업부 7,990(560 증가), 광명신협 117(2 증가) ","251,710","61,684","95,542","217,852",급여저축및생활비지출등 
,,,,,,,
배우자 ,,"대신증권112(1증가),융창저축은행 50,853(853증가), 흥국생명보험 6,901(583 증가), 새마을금고중앙회 공제사업부 3,720(1,786 증가), 미래에셋대우(주) 11, 현대해상화재보험 15,598(2,399 증가), 삼성화재해상보험 6,323(1,573 증가), KB증권 98,018(93,264 증가), 광명동부 180,911(9,064 증가), 삼성생명보험 37,464, 신한은행 15,026(10,098 증가), 삼성증권 21,525(263 증가), 에이스아메리칸화재해상보험 1,506(411 증가), 우체국 20,096(67 증가), 우리은행 15,052, 농협은행 92,968(155,967 감소), DB생명보험(주) 7,101(492 증가), 교보생명보험 23,855(336 증가)","631,817","330,157","364,934","597,040",
,,,,,,,
,,,,,,,
▶ 정치자금법에 따른 정치자금의 수입 및 지출을 위한 예금계좌의 예금(소계) ,"180,639","43,531",0,"224,170",,,
,,,,,,,
본인 ,,"농협은행 224,170(43,531 증가) ","180,639","43,531",0,"224,170",후원금 증가 
,,,,,,,
▶ 유가증권(소계) ,"53,618",732,0,"54,350",,,
,,,,,,,
배우자 ,금융채 ,"INDKOR 53,618주 ","53,618",732,0,"54,350",평가액변동 
,,,,,,,
▶ 채무(소계) ,"543,296",0,"11,517","531,779",,,
,,,,,,,
본인 ,금융기관채무 ,"현대캐피탈 21,779(11,517 감소) ","33,296",0,"11,517","21,779",리스료 일부 상환 
,,,,,,,
본인 ,건물임대채무 ,서울특별시 구로구 고척동 산업용품상가 임대보증금 ,"15,000",0,0,"15,000",변동없음 
,,,,,,,
배우자 ,건물임대채무 ,서울특별시 성동구 성수동2가 램킨 중흥S-클래스 오피스텔 임대보증금 ,"10,000",0,0,"10,000",변동없음 
,,,,,,,
배우자 ,건물임대채무 ,서울특별시 성동구 성수동2가 램킨 증흥S-클래스 오피스텔 임대보증금 ,"5,000",0,0,"5,000",변동없음 
,,,,,,,
배우자 ,건물임대채무 ,서울특별시 동작구 사당동 자이아파트 임대보증금 ,"480,000",0,0,"480,000",변동없음 
,,,,,,,
▶ 고지거부 및 등록제외사항(소계) ,0,0,0,0,,,
,,,,,,,
모 ,,고지거부 ,- ,- ,- ,- ,타인부양 
,,,,,,,
장남 ,,고지거부 ,- ,- ,- ,- ,독립생계유지 
,,,,,,,
총계 ,"3,308,101","507,571","449,409","3,366,263","증감액:58,162천원 (가액변동: 71,017천원) ",,
,,,,,,,
