소속 ,국회 ,직위 ,국회의원 ,성명 ,백혜련 ,,
,,,,,,,
(단위 : 천원) ,,,,,,,
,,,,,,,
본인과의 관계 ,재산의 종류 ,소재지면적등권리의명세 ,종전가액 ,변동액(천원) ,현재가액 ,변동사유 ,
,,,,,,,
증가액 (실거래액) ,감소액 (실거래액) ,,,,,,
,,,,,,,
▶ 토지(소계) ,"73,045","2,810",0,"75,855",,,
,,,,,,,
배우자 ,답 ,"충청북도 영동군 매곡면 수원리 897번지 5,618.90m² ","73,045","2,810",0,"75,855",가액변동 
,,,,,,,
▶ 건물(소계) ,"720,000",0,"520,000","200,000",,,
,,,,,,,
본인 ,사무실 전세(임차)권 ,"경기도 수원시 권선구 구운동 해주빌딩 건물 0.00m² 중 0.00m² (건물 총면적 381.69m² 감소, 지분면적 158.40m² 감소) ","20,000",0,"20,000",0,계약만료 
,,,,,,,
배우자 ,아파트 전세(임차)권 ,경기도 수원시 권선구 금곡동 금곡엘지아파트 건물 127.00m² ,"200,000",0,0,"200,000",변동없음 
,,,,,,,
모 ,아파트 ,경기도 의왕시 청계동 휴먼청계마을 건물 0.00m² (건물 102.00m² 감소) ,"500,000",0,"500,000",0,매도 
,,,,,"-630,000",,
,,,,,,,
▶ 부동산에 관한 규정이 준용되는 권리와 자동차.건설기계.선박 및 항공기(소계) ,"4,840",0,500,"4,340",,,
,,,,,,,
배우자 ,자동차 ,"2008년식 NF 쏘나타 배기량(2,000cc) ","4,840",0,500,"4,340",가액변동 
,,,,,,,
▶ 현금(소계) ,"30,000",0,"5,000","25,000",,,
,,,,,,,
모 ,,현금 감소 ,"30,000",0,"5,000","25,000",현금소비등 
,,,,,,,
▶ 예금(소계) ,"210,317","263,652","13,290","460,679",,,
,,,,,,,
본인 ,,"푸르덴셜생명보험 42,228(3,492 증가), 신한은행 47,769 (31,779 증가), (주)키움예스저축 30,000(30,000 증가), 우체국 43,463(2,702 증가), 평동 10,000(10,000 증가), 농협은행 2,289(10,707 감소), 신한생명보험 13,615(1,023 증가), (주)KEB하나은행 9,496(9,332 증가), 서호 30,000 (30,000 증가), 교보생명보험 7,399, 삼성화재해상보험 11,584(1,782 증가) ","138,440","120,110","10,707","247,843",급여저축및부동산매도등증가 
,,,,,,,
배우자 ,,"푸르덴셜생명보험 41,080(3,715 증가), 삼성화재해상보험 5,105(1,354 증가), 농협중앙회 5,011(4,061 증가), 수협중앙회 261(2,583 감소) ","44,910","9,130","2,583","51,457",
,,,,,,,
모 ,,"국민은행 152,639(134,412 증가) ","18,227","134,412",0,"152,639",
,,,,,,,
장녀 ,,"신한은행 3,590 ","3,590",0,0,"3,590",
,,,,,,,
장남 ,,"신한은행 5,150 ","5,150",0,0,"5,150",
,,,,,,,
▶ 정치자금법에 따른 정치자금의 수입 및 지출을 위한 예금계좌의 예금(소계) ,"127,038",0,797,"126,241",,,
,,,,,,,
본인 ,,"농협중앙회 126,241(797 감소) ","127,038",0,797,"126,241",정치자금 지출 등 
,,,,,,,
▶ 채무(소계) ,"427,573",0,"423,080","4,493",,,
,,,,,,,
본인 ,금융기관채무 ,"현대캐피탈 4,493(3,080 감소) ","7,573",0,"3,080","4,493",일부 상환 
,,,,,,,
모 ,건물임대채무 ,경기도 의왕시 청계동 휴먼청계마을 임대보증금 감소 ,"420,000",0,"420,000",0,전세보증금 반환 
,,,,,,,
총계 ,"737,667","266,462","116,507","887,622","증 감 액 : 149,955천원 (가액변동: 2,310천원) ",,
,,,,,,,
