소속 ,국회 ,직위 ,국회의원 ,성명 ,변재일 ,,
,,,,,,,
(단위 : 천원) ,,,,,,,
,,,,,,,
본인과의 관계 ,재산의 종류 ,소재지면적등권리의명세 ,종전가액 ,변동액(천원) ,현재가액 ,변동사유 ,
,,,,,,,
증가액 (실거래액) ,감소액 (실거래액) ,,,,,,
,,,,,,,
▶ 토지(소계) ,"804,599","18,283",0,"822,882",,,
,,,,,,,
본인 ,임야 ,"충청북도 청주시 상당구 가덕면 시동리 산 5-1번지 2,918.60m² ","11,499","1,284",0,"12,783",가액변동 
,,,,,,,
본인 ,임야 ,충청북도 청주시 상당구 가덕면 산 5-1번지 0.00m² (0.00m² 감소) ,0,0,0,0,
,,,,,,,
배우자 ,임야 ,"경기도 화성시 마도면 백곡리 산 184-23번지 9,783.00m² ","332,622","8,805",0,"341,427",가액변동 
,,,,,,,
배우자 ,임야 ,"경기도 용인시 처인구 원삼면 죽능리 13-3번지 1,249.20m² ","17,738",250,0,"17,988",가액변동 
,,,,,,,
배우자 ,임야 ,경기도 용인시 처인구 원삼면 죽릉리 13-3번지 0.00m² (0.00m² 감소) ,0,0,0,0,
,,,,,,,
배우자 ,임야 ,경기도 용인시 처인구 원삼면 죽릉리 13-7번지 0.00m² (0.00m² 감소) ,0,0,0,0,
,,,,,,,
배우자 ,임야 ,경기도 용인시 처인구 원삼면 죽능리 13-7번지 0.40m² ,13,1,0,14,가액변동 
,,,,,,,
배우자 ,임야 ,경기도 용인시 처인구 원삼면 죽릉리 13-8번지 0.00m² (0.00m² 감소) ,0,0,0,0,
,,,,,,,
배우자 ,임야 ,경기도 용인시 처인구 원삼면 죽능리 13-8번지 11.90m² ,399,14,0,413,가액변동 
,,,,,,,
배우자 ,임야 ,"경기도 용인시 처인구 원삼면 죽릉리 13-6번지 0.00m² 중 0.00m² (총면적 0.00m² 감소, 지분면적 0.00m² 감소) ",0,0,0,0,
,,,,,,,
배우자 ,임야 ,경기도 용인시 처인구 원삼면 죽능리 13-6번지 65.00m² 중 0.29m² ,10,0,0,10,변동 없음 
,,,,,,,
배우자 ,임야 ,"경기도 안성시 원곡면 산하리 산 135번지 101,851.00m² 중 10,721.15m² ","106,032","3,324",0,"109,356",가액변동 
,,,,,,,
배우자 ,임야 ,"경기도 안성시 원곡면 산하리 산 210번지 2,479.00m² 중 260.94m² ","5,662",131,0,"5,793",가액변동 
,,,,,,,
배우자 ,임야 ,"경기도 안성시 원곡면 산하리 산 211번지 24,595.00m² 중 2,588.94m² ","20,763",570,0,"21,333",가액변동 
,,,,,,,
배우자 ,임야 ,"경기도 안성시 원곡면 산하리 산 213-1번지 26,281.00m² 중 2,766.42m² ","20,803",581,0,"21,384",가액변동 
,,,,,,,
배우자 ,임야 ,"경기도 안성시 원곡면 산하리 산 211번지 24,595.00m² 중 7,767.00m² ","71,110",0,0,"71,110",변동 없음 
,,,,,,,
배우자 ,임야 ,"경기도 안성시 원곡면 산하리 산 213-1번지 26,281.00m² 중 8,299.00m² ","88,257",0,0,"88,257",변동 없음 
,,,,,,,
배우자 ,임야 ,"경기도 안성시 원곡면 산하리 산 135번지 101,851.00m² 중 10,721.00m² ","106,031","3,323",0,"109,354",가액변동 
,,,,,,,
배우자 ,임야 ,"경기도 안성시 원곡면 산하리 산 211번지 24,595.00m² 중 2,589.00m² ","23,660",0,0,"23,660",변동 없음 
,,,,,,,
▶ 건물(소계) ,"1,030,000","144,000",0,"1,174,000",,,
,,,,,,,
본인 ,아파트 ,서울특별시 영등포구 여의도동 광장아파트 건물 150.71m² ,"840,000","144,000",0,"984,000",가액변동 
,,,,,,,
본인 ,아파트 전세(임차)권 ,충청북도 청주시 청원구 오창읍 각리 대우이안아파트 건물 119.30m² ,"190,000",0,0,"190,000",변동 없음 
,,,,,,,
▶ 부동산에 관한 규정이 준용되는 권리와 자동차.건설기계.선박 및 항공기(소계) ,"7,060",0,920,"6,140",,,
,,,,,,,
본인 ,자동차 ,"2005년식 SMS31.6 배기량(1,596cc) ","2,110",0,380,"1,730",가액변동 
,,,,,,,
배우자 ,자동차 ,"2010년식 포르테 배기량(1,600cc) ","4,950",0,540,"4,410",가액변동 
,,,,,,,
▶ 예금(소계) ,"1,022,433","673,469","431,463","1,264,439",,,
,,,,,,,
본인 ,,"미래에셋생명보험 28,536, 청주중앙신협 53(1 증가), 삼성생명보험 252,000, 북청주 30, 우체국 21,564(79,945 감소), 국민은행 6,369(444 감소), 농협중앙회 1, 성심신협 30, 한국투자증권 313,145(112,761 증가) ","589,355","216,120","183,747","621,728",배우자 고등학교 총동창회 기금 공동계좌 명의로 인한 예금 증가분 
,,,,,,,
,,,,,,,"급여, 보험료, 회사채 매도로 인한 증가 "
,,,,,,,
,,,,,,,사회공헌활동으로 인한 감소 
,,,,,,,
배우자 ,,"한국교직원공제회 0(137,806 감소), 에이비엘생명보험 8,800(4,800 증가), 케이디비생명보험 6,464(56,889 감소), 국민은행 397,046(397,046 증가), 삼성화재해상보험 1,560(1,560 증가), 신한은행 81,645(16,036 감소), 우체국 63,300(7,200 증가), 북청주 30, 한화생명보험 28,814(4,018 감소), 미래에셋생명보험 29,052(1,776 증가), 더케이손해보험(주) 26,000(12,000 증가) ","433,078","457,349","247,716","642,711",
,,,,,,,
▶ 정치자금법에 따른 정치자금의 수입 및 지출을 위한 예금계좌의 예금(소계) ,"288,786","38,650",0,"327,436",,,
,,,,,,,
본인 ,,"농협은행 327,436(38,650 증가) ","288,786","38,650",0,"327,436",후원금 이체 
,,,,,,,
▶ 유가증권(소계) ,"198,856",0,"99,502","99,354",,,
,,,,,,,
본인 ,회사채 ,"SK해운49-2 99,354주, 한국캐피탈364-1 0주(99,502주 감소) ","198,856",0,"99,502","99,354",회사채 매도 
,,,,,,,
▶ 채권(소계) ,0,"100,000",0,"100,000",,,
,,,,,,,
본인 ,,사인간채권 증가 ,0,"100,000",0,"100,000",예금일부대여 
,,,,,,,
▶ 채무(소계) ,"100,000",0,"100,000",0,,,
,,,,,,,
배우자 ,금융기관채무 ,"신한은행 0(100,000 감소) ","100,000",0,"100,000",0,예금등으로채무전액상환 
,,,,,,,
▶ 회원권(소계) ,"75,500",0,0,"75,500",,,
,,,,,,,
본인 ,콘도미니엄 ,대명솔비치콘도 ,"75,500",- ,- ,"75,500",변동없음 
,,,,,,,
총계 ,"3,327,234","974,402","431,885","3,869,751","증 감 액 : 542,517천원 (가액변동: 161,363천원) ",,
,,,,,,,
