소속 ,국회 ,직위 ,국회의원 ,성명 ,서삼석 ,,
,,,,,,,
(단위 : 천원) ,,,,,,,
,,,,,,,
본인과의 관계 ,재산의 종류 ,소재지면적등권리의명세 ,종전가액 ,변동액(천원) ,현재가액 ,변동사유 ,
,,,,,,,
증가액 (실거래액) ,감소액 (실거래액) ,,,,,,
,,,,,,,
▶ 건물(소계) ,"1,499,000","400,000","500,000","1,399,000",,,
,,,,,,,
배우자 ,아파트 ,서울특별시 성동구 금호동2가 신금호파크자이 건물 59.98m² ,"735,000",0,0,"735,000",변동없음 
,,,,,,,
배우자 ,아파트 전세(임차)권 ,서울특별시 성동구 옥수동 e편한세상 옥수파크힐스 건물 0.00m² (건물 84.30m² 감소) ,"300,000",0,"300,000",0,계약 만료 
,,,,,,,
배우자 ,아파트 전세(임차)권 ,광주광역시 광산구 산정동 일원 한국아델리움 건물 0.00m² (건물 73.98m² 감소) ,"200,000",0,"200,000",0,계약 만료 
,,,,,"-200,000",,
,,,,,,,
배우자 ,아파트 전세(임차)권 ,서울특별시 성동구 옥수동 이편한세상옥수파크힐스 건물 84.92m² (건물 84.92m² 증가) ,- ,"400,000",0,"400,000",전세 계약 
,,,,,,,
모 ,아파트 ,광주광역시 광산구 월곡동 일신아파트 건물 84.69m² ,"101,000",0,0,"101,000",변동없음 
,,,,,,,
장녀 ,아파트 ,전라남도 무안군 무안읍 성남리 대선해시앙아파트 건물 63.11m² ,"163,000",0,0,"163,000",변동없음 
,,,,,,,
▶ 부동산에 관한 규정이 준용되는 권리와 자동차.건설기계.선박 및 항공기(소계) ,"54,550",0,"14,450","40,100",,,
,,,,,,,
본인 ,자동차 ,"2018년식 싼타페 배기량(1,995cc) ","33,500",0,"6,110","27,390",가액 변동 
,,,,,,,
배우자 ,자동차 ,"2012년식 그랜저 배기량(2,999cc) ","12,710",- ,- ,"12,710",변동없음 
,,,,,,,
모 ,자동차 ,"2010년식 K7 배기량(2,656cc) 감소 ","8,340",0,"8,340",0,공동소유자에게 증여 
,,,,,,,
▶ 예금(소계) ,"434,702","78,528","112,293","400,937",,,
,,,,,,,
본인 ,,"농협은행 3,142(97,932 감소), 목포신협 119, 국민은행 12,585(12,584 증가), 농협중앙회 0(994 감소), 흥국화재해상보험(주) 29,821, 무안군산림조합 227, 광주은행 3, 해제신협 312 ","132,551","12,585","98,927","46,209",대출상환및봉급저축 
,,,,,,,
배우자 ,,"한국교직원공제회 53,640(8,545 감소), 광주은행 21, 우체국 1,087(155 증가), 삼성생명보험 65,787(3,053 증가), 농협 중앙회 3(3 증가), 농협은행 79,034(54,533 증가), 한화생명 보험 26,887(618 증가), 농협생명보험 51,740(2,590 증가) ","225,792","60,952","8,545","278,199",
,,,,,,,
모 ,,"농협은행 706(600 증가), 농협중앙회 4, 무안군산림조합 34, 무안 448(1 증가) ",591,601,0,"1,192",대출상환및봉급저축 
,,,,,,,
장녀 ,,"한국교직원공제회 485(213 증가), 농협중앙회 500, 농협생명보험 8,000(1,400 증가), 농협은행 4,564(255 증가), 삼성생명보험 30,260(2,380 증가), 우리은행 409(4,193 감소), 신한은행 0(121 감소) ","44,284","4,248","4,314","44,218",
,,,,,,,
장남 ,,"농협중앙회 26,960(2 증가), (주)KEB하나은행 339(507 감소), 농협은행 3,820(140 증가) ","31,484",142,507,"31,119",
,,,,,,,
▶ 정치자금법에 따른 정치자금의 수입 및 지출을 위한 예금계좌의 예금(소계) ,"56,329","117,102","56,329","117,102",,,
,,,,,,,
본인 ,,"농협은행 0(56,329 감소), 국민은행 117,102(117,102 증가) ","56,329","117,102","56,329","117,102",후원금 증가 
,,,,,,,
▶ 채무(소계) ,"838,975",0,"221,575","617,400",,,
,,,,,,,
배우자 ,금융기관채무 ,"농협중앙회 0(215,625 감소) ","215,625",0,"215,625",0,선거비용 보전금액 및 예금으로 상환 
,,,,,,,
배우자 ,건물임대채무 ,서울특별시 성동구 금호동2가 신금호파크자이 임대보증금 ,"530,000",0,0,"530,000",변동 없음 
,,,,,,,
장녀 ,금융기관채무 ,"농협은행 87,400(5,950 감소) ","93,350",0,"5,950","87,400",봉급으로 상환 
,,,,,,,
총계 ,"1,205,606","595,630","461,497","1,339,739","증 감 액 : 134,133천원 (가액변동: -6,110천원) ",,
,,,,,,,
