소속 ,국회 ,직위 ,국회의원 ,성명 ,서영교 ,,
,,,,,,,
(단위 : 천원) ,,,,,,,
,,,,,,,
본인과의 관계 ,재산의 종류 ,소재지면적등권리의명세 ,종전가액 ,변동액(천원) ,현재가액 ,변동사유 ,
,,,,,,,
증가액 (실거래액) ,감소액 (실거래액) ,,,,,,
,,,,,,,
▶ 토지(소계) ,"1,203",85,0,"1,288",,,
,,,,,,,
본인 ,임야 ,강원도 양양군 손양면 하양혈리 산 20-26번지 661.00m² ,"1,203",85,0,"1,288",가액변동 
,,,,,,,
▶ 건물(소계) ,"1,011,000","18,000","16,000","1,013,000",,,
,,,,,,,
본인 ,오피스텔 전세(임차)권 ,서울특별시 중랑구 면목동 금호오피스 대지 284.60m² 건물 133.74m² ,"30,000",0,0,"30,000",
,,,,,,,
본인 ,오피스텔 전세(임차)권 ,서울특별시 중랑구 면목7동 금호오피스 3층 건물 0.00m² (건물 0.00m² 감소) ,0,0,0,0,
,,,,,,,
본인 ,단독주택 ,서울특별시 중랑구 면목4동 건물 0.00m² (건물 0.00m² 감소) ,0,0,0,0,
,,,,,,,
본인 ,단독주택 ,서울특별시 중랑구 면목동 대지 126.60m² 건물 302.96m² ,"171,000","15,000",0,"186,000",가액변동 
,,,,,,,
본인 ,아파트 ,서울특별시 동대문구 장안동 장안위더스빌아파트 건물 134.20m² ,"388,000","3,000",0,"391,000",가액변동 
,,,,,,,
배우자 ,근린생활시설 전세(임차)권 ,서울특별시 중랑구 면목동 건물 59.09m² ,"30,000",0,0,"30,000",
,,,,,,,
배우자 ,아파트 ,서울특별시 중랑구 면목동 면목두산아파트 건물 181.50m² ,"392,000",0,"16,000","376,000",가액변동 
,,,,,,,
▶ 예금(소계) ,"877,544","402,093","338,881","940,756",,,
,,,,,,,
본인 ,,"농협생명보험 30,000, 현대해상화재보험 102,530(17,373 증가), 신한은행 20, 사가정 5,010, 농협은행 192,848(17,818 감소), (주)KB손해보험 6,468(1,584 증가), 신한생명보험 15,960, 용마 1,060, 상봉신협 11, 농협중앙회 222,949(3,918 증가), 한화생명보험 79,113(15,667 증가), 국민은행 2,061(2 증가), 오렌지라이프생명보험 8,400, 케이디비생명보험 7,128, (주)유진저축은행 10,000(10,000 증가), 스탠다드차타드은행 36,270(5,144 증가), 중랑신협 22,366(224 증가), 면곡신협 10 ","706,110","333,568","297,474","742,204",급여저축 및 생활비 지출 
,,,,,,,
배우자 ,,"(주)KEB하나은행 255(186 감소), 흥국생명보험 0(2,088 감소), 국민은행 6,835(7,006 감소), 메리츠화재해상보험 5,644(640 증가), (주)KB손해보험 40,173(6,335 증가), 신한은행 15, AIA생명보험 12,347(1,104 증가), 한화손해보험 9,400(1,200 증가), 오렌지라이프생명보험 29,940(1,398 증가), 우리은행 9,089(9,089 증가), 교보생명보험 36,105(401 증가) ","138,916","20,167","9,280","149,803",급여저축 및 생활비 지출 
,,,,,,,
장녀 ,,"농협중앙회 18,000(1,999 증가), 스탠다드차타드은행 5,538(5,538 증가), 우리은행 0(164 감소), 한국카카오 은행(주) 13,627(13,627 증가), 수협은행 300(300 증가) ","16,165","37,465","16,165","37,465",
,,,,,,,
차남 ,,"국민은행 775(75 증가), 농협중앙회 10,002(5,262 감소), 한국카카오은행(주) 118(118 증가), 신한은행 389 ","16,353","10,893","15,962","11,284",
,,,,,,,
▶ 정치자금법에 따른 정치자금의 수입 및 지출을 위한 예금계좌의 예금(소계) ,"83,474","172,099",0,"255,573",,,
,,,,,,,
본인 ,,"농협은행 255,573(172,099 증가) ","83,474","172,099",0,"255,573",후원금 증가 
,,,,,,,
▶ 채무(소계) ,"714,462","265,000","343,709","635,753",,,
,,,,,,,
본인 ,금융기관채무 ,"JB우리캐피탈 21,482(6,877 감소) ","28,359",0,"6,877","21,482",차량렌탈 
,,,,,,,
본인 ,건물임대채무 ,서울특별시 중랑구 면목4동 임대보증금 증가 ,"194,000","10,000","5,000","199,000",계약변경 
,,,,,,,
본인 ,건물임대채무 ,서울특별시 중랑구 면목동 임대보증금 증가 ,0,"5,000",0,"5,000",신규계약 
,,,,,,,
본인 ,건물임대채무 ,서울특별시 동대문구 장안동 장안위더스빌아파트 2건 임대보증금 감소 ,"290,000","250,000","290,000","250,000",계약변경 
,,,,,,,
배우자 ,금융기관채무 ,"국민은행 160,271(12,657 감소), 우리은행 0(29,175 감소) ","202,103",0,"41,832","160,271",급여 등으로 상환 
,,,,,,,
▶ 합명.합자.유한회사 출자지분(소계) ,"20,000",0,0,"20,000",,,
,,,,,,,
배우자 ,출자 ,"법무법인 동서남북, 출자가액: 20,000천원, 지분비율: 6.76%, 연간매출액: 1,000,000천원 ","20,000",0,0,"20,000",
,,,,,,,
▶ 고지거부 및 등록제외사항(소계) ,0,0,0,0,,,
,,,,,,,
부 ,,고지거부 ,- ,- ,- ,- ,타인부양 
,,,,,,,
총계 ,"1,278,759","327,277","11,172","1,594,864","증 감 액 : 316,105천원 (가액변동: 2,085천원) ",,
,,,,,,,
