소속 ,국회 ,직위 ,국회의원 ,성명 ,서청원 ,,
,,,,,,,
(단위 : 천원) ,,,,,,,
,,,,,,,
본인과의 관계 ,재산의 종류 ,소재지면적등권리의명세 ,종전가액 ,변동액(천원) ,현재가액 ,변동사유 ,
,,,,,,,
증가액 (실거래액) ,감소액 (실거래액) ,,,,,,
,,,,,,,
▶ 토지(소계) ,"3,220",202,0,"3,422",,,
,,,,,,,
본인 ,묘지 ,"전라북도 무주군 설천면 소천리 1065번지 1,342.00m² ","3,220",202,0,"3,422",공지지가 상승 
,,,,,,,
▶ 건물(소계) ,"352,000","54,000","30,000","376,000",,,
,,,,,,,
본인 ,연립주택 ,서울특별시 동작구 상도동 건물 132.00m² ,"322,000","44,000",0,"366,000",공시가격 상승 
,,,,,,,
배우자 ,아파트 전세(임차)권 ,경기도 화성시 향남읍 행정리 한일베라체아파트 건물 0.00m² (건물 147.16m² 감소) ,"30,000",0,"30,000",0,이사로 인한 전월세보증금 반환 
,,,,,,,
배우자 ,다세대주택 전세(임차)권 ,경기도 화성시 향남읍 하길리 건물 66.00m² (건물 66.00m² 증가) ,- ,"10,000",0,"10,000",이사로 인한 전월세보증금 
,,,,,,,
▶ 예금(소계) ,"175,499","5,115","27,024","153,590",,,
,,,,,,,
본인 ,,"신한은행 95,191(163 증가), 농협은행 1,582(2,540 감소), 국민은행 98(383 감소), 교보생명보험 27,018 ","126,649",494,"3,254","123,889","채무 상환, 생활비 등으로 사용 "
,,,,,,,
배우자 ,,"(주)KEB하나은행 76(382 감소), 국민은행 1(5,988 감소), 신한은행 546(546 증가), 한화손해보험 13,305(1,437 증가), 우리은행 10, 교보생명보험 15,763(14,762 감소) ","48,850","4,621","23,770","29,701",
,,,,,,,
▶ 정치자금법에 따른 정치자금의 수입 및 지출을 위한 예금계좌의 예금(소계) ,76,433,0,509,,,
,,,,,,,
본인 ,,농협은행 509(433 증가) ,76,433,0,509,정치자금 보유액 증가 
,,,,,,,
▶ 채무(소계) ,"126,355","156,000","86,823","195,532",,,
,,,,,,,
본인 ,금융기관채무 ,"신한은행 175,110(135,110 증가), 농협은행 10,020(48,080 감소), 교보생명보험 1,720 ","99,820","155,110","68,080","186,850","타금융기관 채무 상환, 생활비 등으로 사용 "
,,,,,,,
배우자 ,금융기관채무 ,"교보생명보험 8,682(17,853 감소) ","26,535",890,"18,743","8,682","보험 만기환급금으로 채무 일부 상환, 생활비 등으로 사용 "
,,,,,,,
▶ 고지거부 및 등록제외사항(소계) ,0,0,0,0,,,
,,,,,,,
장남 ,,고지거부 ,- ,- ,- ,- ,독립생계유지 
,,,,,,,
손자1 ,,고지거부 ,- ,- ,- ,- ,독립생계유지 
,,,,,,,
총계 ,"404,440","-96,250","-29,799","337,989","증 감 액 : -66,451천원 (가액변동: 44,202천원) ",,
,,,,,,,
