소속 ,국회 ,직위 ,국회의원 ,성명 ,서형수 ,,
,,,,,,,
(단위 : 천원) ,,,,,,,
,,,,,,,
본인과의 관계 ,재산의 종류 ,소재지면적등권리의명세 ,종전가액 ,변동액(천원) ,현재가액 ,변동사유 ,
,,,,,,,
증가액 (실거래액) ,감소액 (실거래액) ,,,,,,
,,,,,,,
▶ 토지(소계) ,"491,526","27,869",0,"519,395",,,
,,,,,,,
본인 ,답 ,"경상남도 양산시 매곡동 45번지 1,920.00m² ","94,080","21,120",0,"115,200",가액변동 
,,,,,,,
본인 ,답 ,경상남도 양산시 매곡동 45-1번지 703.00m² ,"29,947","6,749",0,"36,696",가액변동 
,,,,,,,
배우자 ,전 ,경상남도 양산시 동면 가산리 837-1번지 5.50m² ,"8,300",0,0,"8,300",가액변동없음 
,,,,,,,
배우자 ,대지 ,경상남도 양산시 동면 가산리 837-2번지 238.00m² ,"359,199",0,0,"359,199",가액변동없음 
,,,,,,,
▶ 건물(소계) ,"408,000","108,000","70,000","446,000",,,
,,,,,,,
배우자 ,아파트 ,경기도 하남시 망월동 미사강변도시11단지 건물 84.96m² ,"338,000","38,000",0,"376,000",가액변동 
,,,,,,,
배우자 ,아파트 전세(임차)권 ,서울특별시 영등포구 양평동3가 현대2차아파트 건물 0.00m² (건물 80.92m² 감소) ,"70,000",0,"70,000",0,이사 
,,,,,"-70,000",,
,,,,,,,
배우자 ,아파트 전세(임차)권 ,서울특별시 영등포구 영등포동7가 브라운스톤영등포아파트 건물 84.78m² (건물 84.78m² 증가) ,- ,"70,000",0,"70,000",이사 
,,,,,,,
▶ 부동산에 관한 규정이 준용되는 권리와 자동차.건설기계.선박 및 항공기(소계) ,"7,220",0,"3,340","3,880",,,
,,,,,,,
본인 ,자동차 ,"2003년식 체어맨 배기량(2,799cc) 감소 ","2,600",0,"2,600 (400) ",0,폐차 
,,,,,,,
배우자 ,자동차 ,"2006년식 쏘나타2.0(신형) 배기량(1,998cc) ","4,620",0,740,"3,880",가액변동 
,,,,,,,
▶ 현금(소계) ,"50,000",0,"50,000",0,,,
,,,,,,,
본인 ,,현금 감소 ,"50,000",0,"50,000",0,차남에게 증여 
,,,,,,,
▶ 예금(소계) ,"82,628","32,315","17,015","97,928",,,
,,,,,,,
본인 ,,"우리은행 10, 우체국 2, 농협은행 27,025(4,780 감소), 국민은행 1,669(1,375 증가), 농협중앙회 279(3,726 감소) ","36,116","7,679","14,810","28,985",급여저축및생활비지출등 
,,,,,,,
배우자 ,,"(주)KEB하나은행 44, 국민은행 23,952(17,870 증가), 삼성생명보험 21,690, 농협중앙회 270(79 증가), 신한은행 110(30 증가), AIA생명보험 8,656(652 증가), 새마을금고 6,408(2,606 증가), 농협은행 0(5 감소), 농협생명보험 7,800(1,200 증가), 한국투자증권 13(1 감소)","46,512","24,636","2,205","68,943",
,,,,,,,
,,,,,,,
▶ 정치자금법에 따른 정치자금의 수입 및 지출을 위한 예금계좌의 예금(소계) ,"149,347",0,"29,205","120,142",,,
,,,,,,,
본인 ,,"농협중앙회 120,142(29,205 감소) ","149,347",0,"29,205","120,142",정치자금 지출 등 
,,,,,,,
▶ 유가증권(소계) ,"11,394","7,027","9,430","8,991",,,
,,,,,,,
배우자 ,상장주식 ,"성신양회 0주(940주 감소), SK텔레콤 5주(5주 증가), 성신양회 0주(720주 감소), 동방 1,434주(17주 증가), 유티아이 1,000주(1,000주 증가) ","11,394","7,027","9,430","8,991","평가액변동및주식매수, 매도등 "
,,,,,,,
▶ 채권(소계) ,"24,800",0,0,"24,800",,,
,,,,,,,
배우자 ,,사인간채권 ,"24,800",0,0,"24,800",변동없음 
,,,,,,,
▶ 채무(소계) ,"700,000","67,528","1,132","766,396",,,
,,,,,,,
본인 ,금융기관채무 ,"농협중앙회 150,000, KB캐피탈 27,528(27,528 증가) ","150,000","27,528",0,"177,528",차량할부대출등 
,,,,,,,
배우자 ,금융기관채무 ,"국민은행 48,868(1,132 감소), 농협중앙회 200,000 ","250,000",0,"1,132","248,868",일부 상환 
,,,,,,,
배우자 ,건물임대채무 ,경기도 하남시 망월동 미사강변도시11단지 임대보증금 증가 ,"300,000","40,000",0,"340,000",보증금 증가 
,,,,,,,
▶ 고지거부 및 등록제외사항(소계) ,0,0,0,0,,,
,,,,,,,
장남 ,,고지거부 ,- ,- ,- ,- ,독립생계유지 
,,,,,,,
차남 ,,고지거부 ,- ,- ,- ,- ,독립생계유지 
,,,,,,,
손자1 ,,고지거부 ,- ,- ,- ,- ,독립생계유지 
,,,,,,,
총계 ,"524,915","107,683","177,858","454,740","증 감 액 : -70,175천원 (가액변동: 65,129천원) ",,
,,,,,,,
