소속 ,국회 ,직위 ,국회의원 ,성명 ,설훈 ,,
,,,,,,,
(단위 : 천원) ,,,,,,,
,,,,,,,
본인과의 관계 ,재산의 종류 ,소재지면적등권리의명세 ,종전가액 ,변동액(천원) ,현재가액 ,변동사유 ,
,,,,,,,
증가액 (실거래액) ,감소액 (실거래액) ,,,,,,
,,,,,,,
▶ 건물(소계) ,"486,000","21,000","162,000","345,000",,,
,,,,,,,
본인 ,아파트 ,경기도 부천시 중동 그린타운 건물 133.47m² ,"324,000","21,000",0,"345,000",가액변동 
,,,,,,,
장남 ,다세대주택 ,"경기도 부천시 춘의동 대지 0.00m² 건물 0.00m² (대지 35.98m² 감소, 건물 57.88m² 감소) ","162,000",0,"162,000",0,소유권 이전 
,,,,,,,
▶ 부동산에 관한 규정이 준용되는 권리와 자동차.건설기계.선박 및 항공기(소계) ,"10,660",0,"1,500","9,160",,,
,,,,,,,
본인 ,자동차 ,"2011년식 i30 배기량(1,591cc) ","5,350",0,830,"4,520",가액변동 
,,,,,,,
장남 ,자동차 ,"2006년식 쏘나타(SONATA) 배기량(2,000cc) ","5,310",0,670,"4,640",가액변동 
,,,,,,,
▶ 예금(소계) ,"212,559","243,570","42,172","413,957",,,
,,,,,,,
본인 ,,"북서울신협 104(104 증가), 우리은행 133, 북서울신협 14, 한화손해보험 6,797(1,107 증가), 도봉 98(3 증가), 농협은행 81,569(12,142 증가), MG손해보험(주) 102,207(20,396 증가), 국민은행 14,475(7,084 증가), 광주은행 33 ","164,594","77,254","36,418","205,430",급여저축및소유권이전으로 인한 예금액 증가 
,,,,,,,
배우자 ,,"(주)KEB하나은행 847(51 증가), 도봉 23(1 증가), 농협중앙회 357, (주)KB손해보험 98, 씨티은행 17, 상호저축은행중앙회 1, MG손해보험(주) 14,520(1,452 증가) ","14,359","1,504",0,"15,863",
,,,,,,,
장남 ,,"신한은행 0(362 감소), MG손해보험(주) 22,341(1,716 증가), (주)KEB하나은행 2, 우리은행 1,119(1,096 증가), 국민은행 7,045 (5,322 감소), 국제자산신탁주식회사 162,000(162,000 증가) ","33,379","164,812","5,684","192,507",
,,,,,,,
차남 ,,"씨티은행 0(38 감소), 신한은행 7(24 감소), 우리은행 150(8 감소) ",227,0,70,157,
,,,,,,,
▶ 정치자금법에 따른 정치자금의 수입 및 지출을 위한 예금계좌의 예금(소계) ,"103,718","33,787",0,"137,505",,,
,,,,,,,
본인 ,,"농협은행 137,505(33,787 증가) ","103,718","33,787",0,"137,505",후원금 증가 
,,,,,,,
▶ 채무(소계) ,"301,947","11,187","59,438","253,696",,,
,,,,,,,
본인 ,금융기관채무 ,"농협은행 89,250(51,110 감소) ","140,360",0,"51,110","89,250",급여로 상환 
,,,,,,,
배우자 ,금융기관채무 ,"MG손해보험(주) 4,225(490 증가) ","3,735",490,0,"4,225",생활비 등 
,,,,,,,
장남 ,금융기관채무 ,"신한은행 138,457(2,821 감소), MG손해보험(주) 10,200(1,170 증가), 신한카드 0(3,286 감소), 삼성카드 11,564(7,306 증가) ","157,852","10,697","8,328","160,221",생활비 등 
,,,,,,,
총계 ,"510,990","287,170","146,234","651,926","증 감 액 : 140,936천원 (가액변동: 19,500천원) ",,
,,,,,,,
