소속 ,국회 ,직위 ,국회의원 ,성명 ,성일종 ,,
,,,,,,,
(단위 : 천원) ,,,,,,,
,,,,,,,
본인과의 관계 ,재산의 종류 ,소재지면적등권리의명세 ,종전가액 ,변동액(천원) ,현재가액 ,변동사유 ,
,,,,,,,
증가액 (실거래액) ,감소액 (실거래액) ,,,,,,
,,,,,,,
▶ 토지(소계) ,"42,852","2,376",0,"45,228",,,
,,,,,,,
본인 ,대지 ,충청남도 서산시 해미면 기지리 96-9번지 317.00m² 중 39.63m² ,879,52,0,931,가액변동 
,,,,,,,
본인 ,전 ,충청남도 서산시 해미면 기지리 96-10번지 942.00m² 중 117.75m² ,"2,307",130,0,"2,437",가액변동 
,,,,,,,
본인 ,전 ,"충청남도 서산시 해미면 기지리 104-2번지 14,707.00m² 중 1,838.38m² ","29,781","1,655",0,"31,436",가액변동 
,,,,,,,
본인 ,전 ,"충청남도 서산시 해미면 기지리 128-3번지 2,400.00m² 중 300.00m² ","4,950",270,0,"5,220",가액변동 
,,,,,,,
본인 ,전 ,"충청남도 서산시 해미면 기지리 128-4번지 2,003.00m² 중 250.38m² ","4,131",225,0,"4,356",가액변동 
,,,,,,,
본인 ,임야 ,충청남도 서산시 해미면 기지리 산 86-9번지 397.00m² 중 49.63m² ,804,44,0,848,가액변동 
,,,,,,,
▶ 건물(소계) ,"937,000","300,000","9,000","1,228,000",,,
,,,,,,,
본인 ,사무실 전세(임차)권 ,충청남도 서산시 읍내동 건물 165.30m² ,"100,000",0,0,"100,000",변동없음 
,,,,,,,
배우자 ,아파트 ,충청남도 서산시 석림동 신주공아파트 건물 58.14m² ,"87,000",0,"9,000","78,000",가액변동 
,,,,,,,
배우자 ,아파트 전세(임차)권 ,서울특별시 강남구 대치동 대치동 삼성3차아파트 건물 150.03m² ,"750,000","300,000",0,"1,050,000",전세금인상 
,,,,,,,
▶ 예금(소계) ,"3,018,213","2,106,964","2,607,309","2,517,868",,,
,,,,,,,
본인 ,,"하나금융투자 1,971,213(229,245 감소), 푸르덴셜생명보험 71,760(520 증가), 신영증권 191, 중소기업은행 36,785(285 감소), 삼성생명보험 30,574, 신한은행 44(10 증가), KB증권 121, (주)KB손해보험 14,100(3,600 증가), 농협은행 141,293 (136,849 증가), 유안타증권 53, 농협중앙회 1,084(341 증가) ","2,355,428","2,043,056","2,131,266","2,267,218",전세금인상및생활비지출로 인한 예금감소 
,,,,,,,
배우자 ,,"(주)KEB하나은행 53,735(459,388 감소), 하나금융투자 22, 스탠다드차타드은행 1,404(595 감소), KB생명보험 96,600 (20,400 증가), 중국은행 620(2 증가), 국민은행 14,756 (9,873 증가), KB증권 90, 메리츠화재해상보험 157(157 증가), 농협중앙회 19, 신한은행 3, 동양생명보험 7,499(6,428 증가), 삼성생명보험 7,297(3,992 증가), AIA생명보험 2,079, 신한생명보험 21,000(2,520 증가), 한화생명보험 40,000(6,000 증가)","655,892","59,452","470,063","245,281",
,,,,,,,
,,,,,,,
장녀 ,,"국민은행 811(1,059 감소), 스탠다드차타드은행 864(857 증가), 우리은행 20 ","1,897",887,"1,089","1,695",
,,,,,,,
장남 ,,"신한은행 1, 씨티은행 86(131 감소), (주)KEB하나은행 3,409(1,350 감소), 국민은행 178(159 증가) ","4,996","3,569","4,891","3,674",
,,,,,,,
▶ 정치자금법에 따른 정치자금의 수입 및 지출을 위한 예금계좌의 예금(소계) ,"102,346","36,239",0,"138,585",,,
,,,,,,,
본인 ,,"농협은행 138,585(36,239 증가) ","102,346","36,239",0,"138,585",2018년 후원금 모금에 따른 정치자금 잔액 변동 
,,,,,,,
▶ 유가증권(소계) ,"22,641",0,1,"22,640",,,
,,,,,,,
본인 ,상장주식 ,LS네트웍스 3주 ,8,0,1,7,"상장주식 가액변동 비상장주식 변동없음 (맥스미디어,넷엔시스 상장폐지) "
,,,,,,,
본인 ,비상장주식 ,"맥스미디어 3,745주, (주)엠씨페이 1,523주, 넷엔시스 4,000주 ","22,633",0,0,"22,633",
,,,,,,,
▶ 채권(소계) ,"17,483,806",0,0,"17,483,806",,,
,,,,,,,
본인 ,,사인간채권 ,"17,168,806",0,0,"17,168,806",변동없음 
,,,,,,,
배우자 ,,사인간채권 ,"315,000",0,0,"315,000",변동없음 
,,,,,,,
총계 ,"21,606,858","2,445,579","2,616,310","21,436,127","증 감 액 : -170,731천원 (가액변동: -6,625천원) ",,
,,,,,,,
