소속 ,국회 ,직위 ,국회의원 ,성명 ,소병훈 ,,
,,,,,,,
(단위 : 천원) ,,,,,,,
,,,,,,,
본인과의 관계 ,재산의 종류 ,소재지면적등권리의명세 ,종전가액 ,변동액(천원) ,현재가액 ,변동사유 ,
,,,,,,,
증가액 (실거래액) ,감소액 (실거래액) ,,,,,,
,,,,,,,
▶ 토지(소계) ,"259,631","6,393","1,747","264,277",,,
,,,,,,,
배우자 ,임야 ,"강원도 인제군 인제읍 가리산리 626-4번지 9,782.00m² ","5,243",528,0,"5,771",가액변동 
,,,,,,,
배우자 ,임야 ,"강원도 인제군 인제읍 덕적리 산 18번지 24,701.00m² 중 1,653.00m² ",933,15,0,948,가액변동 
,,,,,,,
배우자 ,임야 ,"강원도 인제군 인제읍 덕적리 산 37번지 29,157.00m² 중 1,653.00m² ","1,383",116,0,"1,499",가액변동 
,,,,,,,
배우자 ,임야 ,"강원도 인제군 인제읍 가리산리 626-3번지 7,926.00m² ","4,248",428,0,"4,676",가액변동 
,,,,,,,
모 ,전 ,"전라북도 군산시 임피면 읍내리 370-1번지 1,504.00m² ","34,892",0,0,"34,892",변동없음 
,,,,,,,
모 ,전 ,전라북도 군산시 임피면 읍내리 370-2번지 757.00m² ,"17,486",0,0,"17,486",변동없음 
,,,,,,,
모 ,전 ,전라북도 군산시 임피면 읍내리 369-1번지 102.00m² ,"2,142",0,0,"2,142",변동없음 
,,,,,,,
모 ,전 ,전라북도 군산시 임피면 읍내리 369-2번지 826.00m² ,"17,346",0,0,"17,346",변동없음 
,,,,,,,
모 ,전 ,"전라북도 군산시 임피면 읍내리 372-2번지 1,101.00m² ","39,415",0,0,"39,415",변동없음 
,,,,,,,
모 ,임야 ,전라북도 군산시 임피면 읍내리 산 44-2번지 397.00m² ,"8,138",0,"1,747","6,391",가액변동 
,,,,,,,
모 ,임야 ,"전라북도 군산시 임피면 읍내리 산 45-1번지 10,612.00m² ","128,405","5,306",0,"133,711",가액변동 
,,,,,,,
▶ 건물(소계) ,"1,022,972","14,187","78,993","958,166",,,
,,,,,,,
본인 ,아파트 ,경기도 광주시 탄벌동 경남아너스빌2단지 건물 159.94m² ,"362,000",0,0,"362,000",변동없음 
,,,,,,,
본인 ,사무실 전세(임차)권 ,경기도 광주시 탄벌동 세양빌딩 건물 120.60m² ,"30,000",0,0,"30,000",변동없음 
,,,,,,,
본인 ,근린생활시설 ,"전라북도 군산시 조촌동 대지 1,505.70m² 중 167.30m² 건물 236.00m² 중 33.70m² ","78,993","4,729",0,"83,722",가액변동 
,,,,,,,
배우자 ,사무실 전세(임차)권 ,서울특별시 종로구 내자동 서라벌빌딩 건물 168.99m² ,"30,000",0,0,"30,000",변동없음 
,,,,,,,
모 ,아파트 ,경기도 고양시 일산서구 주엽동 강선마을 건물 84.63m² ,"285,000",0,0,"285,000",변동없음 
,,,,,,,
모 ,근린생활시설 ,"전라북도 군산시 조촌동 대지 1,505.70m² 중 167.30m² 건물 236.00m² 중 33.70m² ","78,993",0,"78,993",0,상속 
,,,,,,,
장녀 ,근린생활시설 ,"전라북도 군산시 조촌동 대지 1,505.70m² 중 167.30m² 건물 236.00m² 중 33.70m² ","78,993","4,729",0,"83,722",가액변동 
,,,,,,,
차녀 ,근린생활시설 ,"전라북도 군산시 조촌동 대지 1,505.70m² 중 167.30m² 건물 236.00m² 중 33.70m² ","78,993","4,729",0,"83,722",가액변동 
,,,,,,,
▶ 부동산에 관한 규정이 준용되는 권리와 자동차.건설기계.선박 및 항공기(소계) ,"665,334","24,000","194,742","494,592",,,
,,,,,,,
본인 ,자동차 ,"2016년식 카니발 배기량(2,199cc) ","11,970",- ,- ,"11,970",변동없음 
,,,,,,,
배우자 ,기타 ,도서출판산하 서점 보관분 도서 ,"300,586",0,"81,676","218,910",일부매매 
,,,,,,,
배우자 ,기타 ,(주)문화유통북스 창고 재고도서 ,"316,843",0,"87,967","228,876",일부매매 
,,,,,,,
배우자 ,자동차 ,"2016년식 올뉴쏘렌토 배기량(2,199cc) ","9,780",- ,- ,"9,780",변동없음 
,,,,,,,
장녀 ,자동차 ,"2007년식 A4Cabriolet2.0TFSI 배기량(1,984cc) ","8,155",0,"7,099","1,056",가액변동 
,,,,,,,
장남 ,자동차 ,"2017년식 R NINET PURE 배기량(1,170cc) 감소 ","18,000",0,"18,000",0,매매 
,,,,,"-15,000",,
,,,,,,,
장남 ,자동차 ,"2014년식 DIAVEL 배기량(1,198cc) 증가 ",0,"18,000",0,"18,000",매입 
,,,,,,,
장남 ,자동차 ,2011년식 BULLET 500 배기량(499cc) 증가 ,0,"6,000",0,"6,000",매입 
,,,,,,,
▶ 예금(소계) ,"667,285","310,355","172,734","804,906",,,
,,,,,,,
본인 ,,"현대해상화재보험 63,754(7,224 증가), 중소기업중앙회 10,750, 경기광주신협 249(6 증가), 군산대건신협 1, 농협은행 145,788 (115,646 증가), (주)KB손해보험 0(1,915 감소), AIA생명보험 19,300(1,637 증가), 씨티은행 20, 국민은행 3,290(194 감소), 농협중앙회 86(550 감소), (주)KEB하나은행 8, 한국투자증권 15 ","121,407","126,625","4,771","243,261",급여저축등으로예금증가 
,,,,,,,
배우자 ,,"처브라이프생명 1,338(303 증가), 흥국생명보험 2,976(243 증가), 군산대건신협 1, 국민은행 27,926(3,827 감소), 현대해상화재보험 26,695(4,401 증가), 에이아이지손해 보험(주) 1,404(602 증가), 농협중앙회 800, 삼성생명보험 6,392(2,325 증가), 교보생명보험 11,782(492 증가) ","74,775","14,635","10,096","79,314",
,,,,,,,
모 ,,"국민은행 1(30,000 감소), 농협은행 343(473 감소), 중소기업은행 10,000(15,000 감소), 우체국 19,015(12,002 증가), 군산대건신협 1, 우리은행 20,595(969 감소), (주)KEB하나은행 7,117(2,442 증가), 흥국화재해상보험(주) 35,000, 삼성생명보험 100,000, 웰컴저축은행 40,000 ","264,070","61,446","93,444","232,072",
,,,,,,,
장녀 ,,"(주)KEB하나은행 201, 군산대건신협 1, 미래에셋대우(주) 5,500(5,500 증가), 우체국 28,589(6,118 증가), 유안타증권 201(15 증가), 신한은행 115,709(7,472 증가) ","131,096","57,461","38,356","150,201",급여저축등으로예금증가 
,,,,,,,
차녀 ,,"군산대건신협 1, 우체국 38,555(18,209 증가), 삼성생명보험 5,000(5,000 증가), 우리은행 41,675(3,129 감소), (주)KEB하나은행 1,059(1,489 감소) ","67,699","44,407","25,816","86,290",
,,,,,,,
장남 ,,"신한은행 721(721 증가), 일산신협 11, 현대해상화재보험 11,181(3,515 증가), 에이스아메리칸화재해상보험 616(370 증가), 국민은행 1,218(1,175 증가), (주)KEB하나은행 0(247 감소), 우리은행 20(4 감소), 군산대건신협 1 ","8,238","5,781",251,"13,768",
,,,,,,,
▶ 정치자금법에 따른 정치자금의 수입 및 지출을 위한 예금계좌의 예금(소계) ,"7,571","7,646",0,"15,217",,,
,,,,,,,
본인 ,,"농협은행 15,217(7,646 증가) ","7,571","7,646",0,"15,217",후원금 증가 
,,,,,,,
▶ 유가증권(소계) ,0,"13,434",0,"13,434",,,
,,,,,,,
장녀 ,상장주식 ,아마존닷컴 8주(8주증가) ,0,"13,434",0,"13,434",주식매입 
,,,,,,,
▶ 채무(소계) ,"382,945","4,112","46,994","340,063",,,
,,,,,,,
본인 ,금융기관채무 ,"현대캐피탈 1,945(7,314 감소), 국민은행 275,395(8,628 감소) ","293,282",0,"15,942","277,340",저축액으로 상환 및 차량리스비 매달 상환 
,,,,,,,
배우자 ,금융기관채무 ,"흥국생명보험 1,827, 국민은행 21,455(14,778 감소), 현대해상화재보험 3,090, 현대캐피탈 7,362(9,631 감소), 교보생명보험 7,196 ","65,339",0,"24,409","40,930",저축액으로 상환 
,,,,,,,
장남 ,금융기관채무 ,"신한은행 17,681(1,865 감소), 상호저축은행중앙회 4,112, KB국민카드 0(666 감소) ","24,324","4,112","6,643","21,793",저축액으로 상환 
,,,,,,,
▶ 합명.합자.유한회사 출자지분(소계) ,"441,630",0,0,"441,630",,,
,,,,,,,
본인 ,출자 ,"한우리열린교육, 출자가액: 350,000천원, 지분비율: 0.99%, 연간매출액: 33,549,147천원(1,028,158천원 증가) ","350,000",0,0,"350,000",변동없음 
,,,,,,,
본인 ,출자 ,"문화유통북스, 출자가액: 84,000천원, 지분비율: 6.64%, 연간매출액: 7,998,000천원(197,564천원 증가) ","84,000",0,0,"84,000",변동없음 
,,,,,,,
본인 ,출자 ,"한국출판협동조합, 출자가액: 3,100천원, 지분비율: 0.9%, 연간매출액: 5,745,206천원(31,449천원 증가) ","3,100",0,0,"3,100",변동없음 
,,,,,,,
배우자 ,출자 ,"주식회사 인터파크송인서적, 출자가액: 4,530천원, 지분비율: 0.31%, 연간매출액: 25,444,166천원(19,879,809천원 증가) ","4,530",0,0,"4,530",변동없음 
,,,,,,,
총계 ,"2,681,478","371,903","401,222","2,652,159","증 감 액 : -29,319천원 (가액변동: -236,902천원) ",,
,,,,,,,
