소속 ,국회 ,직위 ,국회의원 ,성명 ,손금주 ,,
,,,,,,,
(단위 : 천원) ,,,,,,,
,,,,,,,
본인과의 관계 ,재산의 종류 ,소재지면적등권리의명세 ,종전가액 ,변동액(천원) ,현재가액 ,변동사유 ,
,,,,,,,
증가액 (실거래액) ,감소액 (실거래액) ,,,,,,
,,,,,,,
▶ 토지(소계) ,"325,031","7,593","66,614","266,010",,,
,,,,,,,
본인 ,임야 ,인천광역시 옹진군 북도면 장봉리 442-13번지 636.00m² ,"133,560","2,035",0,"135,595",가액변동 
,,,,,,,
본인 ,대지 ,광주광역시 북구 우산동 464번지 0.00m² (142.00m² 감소) ,"66,598",0,"66,598",0,건물과 함께 매도 
,,,,,,,
부 ,전 ,전라남도 나주시 동강면 옥정리 535-2번지 739.00m² ,"5,136",170,0,"5,306",가액변동 
,,,,,,,
부 ,전 ,전라남도 나주시 동강면 옥정리 535-3번지 391.00m² ,"2,717",90,0,"2,807",가액변동 
,,,,,,,
부 ,답 ,전라남도 나주시 동강면 옥정리 549번지 592.00m² ,"3,771",171,0,"3,942",가액변동 
,,,,,,,
부 ,답 ,전라남도 나주시 동강면 옥정리 560-2번지 298.00m² ,"2,294",98,0,"2,392",가액변동 
,,,,,,,
부 ,답 ,"전라남도 나주시 동강면 옥정리 1181-4번지 1,239.70m² ","9,669",372,0,"10,041",가액변동 
,,,,,,,
부 ,도로 ,전라남도 나주시 동강면 옥정리 603-1번지 344.00m² ,"1,049",0,0,"1,049",변동없음 
,,,,,,,
부 ,임야 ,"전라남도 나주시 동강면 옥정리 산 75-3번지 1,292.00m² ","2,170",116,0,"2,286",가액변동 
,,,,,,,
부 ,임야 ,"전라남도 나주시 동강면 옥정리 산 79-2번지 18,248.00m² ","26,277","1,642",0,"27,919",가액변동 
,,,,,,,
부 ,임야 ,"전라남도 나주시 동강면 옥정리 산 109-6번지 8,331.00m² ","14,912",0,0,"14,912",변동없음 
,,,,,,,
부 ,임야 ,"전라남도 나주시 동강면 옥정리 산 109-9번지 2,251.00m² ","5,199",225,0,"5,424",가액변동 
,,,,,,,
부 ,임야 ,"전라남도 나주시 동강면 옥정리 산 119번지 2,975.00m² ","3,629",0,0,"3,629",변동없음 
,,,,,,,
부 ,전 ,"전라남도 나주시 동강면 옥정리 402-1번지 2,618.00m² ","18,875",786,0,"19,661",가액변동 
,,,,,,,
부 ,대지 ,"전라남도 나주시 동강면 옥정리 402-2번지 2,536.00m² ","20,034","1,522",0,"21,556",가액변동 
,,,,,,,
부 ,답 ,"전라남도 나주시 동강면 옥정리 489번지 1,088.00m² ","8,225",359,0,"8,584",가액변동 
,,,,,,,
부 ,전 ,전라남도 나주시 동강면 옥정리 535-5번지 48.00m² ,97,4,0,101,가액변동 
,,,,,,,
부 ,전 ,전라남도 나주시 동강면 옥정리 535-6번지 6.00m² ,12,0,0,12,변동없음 
,,,,,,,
부 ,임야 ,전라남도 나주시 동강면 옥정리 산 109-12번지 107.00m² ,81,3,0,84,가액변동 
,,,,,,,
부 ,임야 ,전라남도 나주시 동강면 옥정리 산 109-13번지 320.00m² ,726,0,16,710,가액변동 
,,,,,,,
▶ 건물(소계) ,"844,569","168,396","126,100","886,865",,,
,,,,,,,
본인 ,아파트 전세(임차)권 ,서울특별시 서초구 서초동 우성아파트 건물 0.00m² (건물 59.93m² 감소) ,"50,000",0,"50,000",0,전세만료 
,,,,,,,
본인 ,복합건물(주 택+상가) ,경기도 성남시 중원구 금광동 대지 119.70m² 건물 333.27m² ,"470,063","2,350",0,"472,413",가액변동 
,,,,,,,
본인 ,복합건물(주 택+상가) ,광주광역시 북구 우산동 건물 0.00m² (건물 48.18m² 감소) ,"76,100",0,"76,100",0,토지와 함께 매도 
,,,,,"-82,000",,
,,,,,,,
본인 ,아파트 전세(임차)권 ,서울특별시 서초구 서초동 래미안서초에스티지S 건물 84.80m² (건물 84.80m² 증가) ,- ,"100,000",0,"100,000",월세계약 
,,,,,,,
본인 ,상가 전세(임차)권 ,전라남도 화순군 화순읍 만연리 건물 99.17m² (건물 99.17m² 증가) ,- ,"15,000",0,"15,000",국회의원손금주 화순사무소 
,,,,,,,
본인 ,빌딩 전세(임차)권 ,전라남도 나주시 중앙동 건물 148.76m² (건물 148.76m² 증가) ,- ,"10,000",0,"10,000",국회의원손금주 나주사무소 
,,,,,,,
배우자 ,단독주택 ,Overland Park Drive Greensboro NC 대지 971.20m² 건물 248.14m² ,"238,893","40,609",0,"279,502",가액변동 
,,,,,,,
부 ,단독주택 ,전라남도 나주시 동강면 옥정리 대지 364.00m² 건물 82.60m² ,"5,120",240,0,"5,360",가액변동 
,,,,,,,
부 ,근린생활시설 ,광주광역시 서구 양동 건물 117.00m² 중 29.25m² ,"4,393",197,0,"4,590",가액변동 
,,,,,,,
▶ 부동산에 관한 규정이 준용되는 권리와 자동차.건설기계.선박 및 항공기(소계) ,"19,040",0,"2,640","16,400",,,
,,,,,,,
본인 ,자동차 ,"2011년식 제네시스 배기량(3,342cc) ","19,040",0,"2,640","16,400",가액변동 
,,,,,,,
▶ 예금(소계) ,"189,719","52,835","17,077","225,477",,,
,,,,,,,
본인 ,,"푸르덴셜생명보험 9,069(689 증가), 미래에셋생명보험 38,048 (4,008 증가), 신한은행 31(3 증가), 농협은행 25,369(23,325 증가), 서초중앙 11, 메트라이프생명보험 33,053(1,964 증가), 성남동부 1, (주)KEB하나은행 23, 인천시산림조합 126(315 감소), 광주은행 50, 한국카카오은행(주) 176(176 증가), 교보생명보험 0(2,664 감소), 삼성화재해상보험 5,772(589 증가) ","83,954","30,754","2,979","111,729",급여저축및생활비등지출 
,,,,,,,
배우자 ,,"푸르덴셜생명보험 21,974(2,218 증가), 신한은행 3,734(827 감소), 우체국 1,968, 교보생명보험 17,100, 서초중앙 11 ","43,396","2,218",827,"44,787",
,,,,,,,
부 ,,"현대해상화재보험 3,464(837 증가), 나주축산농협 0(2 감소), 스탠다드차타드은행 1,038(9 증가), 메리츠화재해상보험 3,513(931 증가), 광주은행 13, 농협은행 132, 서양 24(1 증가), 나주 108(3 증가), 광주와이신협 110, 우체국 18, 국민은행 47, 한화생명보험 4,826, 농협생명보험 437(108 감소), 라이나생명보험 4,341(592 증가), 농협중앙회 3,766(2,111 증가), DB손해보험(주) 0(73 감소), 흥국화재해상보험(주) 0(700 감소), 나주시산림조합 13, 에이아이지손해보험(주) 206(206 증가) ","18,249","4,690",883,"22,056",급여저축및생활비등지출 
,,,,,,,
모 ,,"국민은행 218(122 증가), 성남동부 9(27 감소), 농협은행 14(35 감소), 성남수정 3,000(3,000 증가), 우체국 2,819(13 감소), 삼성화재해상보험 6,900(1,920 증가), 성남중앙신협 4,040(2,820 증가), 신한은행 49(10 감소), 동양생명보험 900(900 증가), 우리은행 6,726(4,628 감소), 교보생명보험 0(5,475 감소), 교보라이프플래닛생명보험 1,000(1,000 증가), 새마을금고중앙회 공제사업부 6,522(367 증가), 현대해상화재보험 91(91 증가) ","32,256","12,420","12,388","32,288",
,,,,,,,
장남 ,,"신한은행 32, 중소기업은행 365, 동양생명보험 6,900(1,200 증가) ","6,097","1,200",0,"7,297",
,,,,,,,
장녀 ,,"중소기업은행 20, 씨티은행 353(353 증가), 동양생명보험 6,900(1,200 증가), 신한은행 47 ","5,767","1,553",0,"7,320",
,,,,,,,
▶ 정치자금법에 따른 정치자금의 수입 및 지출을 위한 예금계좌의 예금(소계) ,"129,131",0,"45,331","83,800",,,
,,,,,,,
본인 ,,"농협은행 83,800(45,331 감소) ","129,131",0,"45,331","83,800",정치자금 지출 등 
,,,,,,,
▶ 채무(소계) ,"531,560","57,412","16,988","571,984",,,
,,,,,,,
본인 ,금융기관채무 ,"미래에셋생명보험 27,890(8,390 증가), 신한은행 141,418(415 증가), 산림조합중앙회 65,000, 새마을금고 255,000, 메트라이프생명보험 25,000(25,000 증가) ","480,503","33,805",0,"514,308",가계부채 증가 
,,,,,,,
부 ,금융기관채무 ,"산림조합중앙회 30,000, 국민은행 5,376(81 감소), 라이나생명보험 1,200 ","36,657","2,507","2,588","36,576",일부상환 
,,,,,,,
모 ,금융기관채무 ,"우리은행 21,100(6,700 증가) ","14,400","21,100","14,400","21,100",추가대출 
,,,,,,,
총계 ,"975,930","171,412","240,774","906,568","증 감 액 : -69,362천원 (가액변동: 48,333천원) ",,
,,,,,,,
