소속 ,국회 ,직위 ,국회의원 ,성명 ,손혜원 ,,
,,,,,,,
(단위 : 천원) ,,,,,,,
,,,,,,,
본인과의 관계 ,재산의 종류 ,소재지면적등권리의명세 ,종전가액 ,변동액(천원) ,현재가액 ,변동사유 ,
,,,,,,,
증가액 (실거래액) ,감소액 (실거래액) ,,,,,,
,,,,,,,
▶ 토지(소계) ,"1,038,702","101,836",0,"1,140,538",,,
,,,,,,,
본인 ,대지 ,경상남도 통영시 문화동 26번지 231.00m² 중 202.00m² ,"50,944","2,646",0,"53,590",가액변동 
,,,,,,,
배우자 ,대지 ,서울특별시 용산구 이태원동 260-19번지 218.00m² ,"987,758","99,190",0,"1,086,948",가액변동 
,,,,,,,
▶ 건물(소계) ,"1,810,320","239,783","36,314","2,013,789",,,
,,,,,,,
본인 ,아파트 ,서울특별시 용산구 이태원동 건물 214.08m² ,"984,000","16,000",0,"1,000,000",가액변동 
,,,,,,,
본인 ,복합건물(주 택+상가) ,서울특별시 용산구 이태원동 건물 251.42m² ,"53,059",0,"6,314","46,745",가액변동 
,,,,,,,
본인 ,상가 ,서울특별시 용산구 이태원동 대지 159.00m² 중 111.30m² 건물 124.10m² 중 86.87m² ,"513,283","51,648",0,"564,931",가액변동 
,,,,,,,
본인 ,복합건물(주 택+상가) 전세(임차)권 ,서울특별시 마포구 합정동 KCC엠파이어리버 건물 0.00m² (건물 156.13m² 감소) ,"30,000",0,"30,000",0,전세(보증금)권자 변경 
,,,,,,,
배우자 ,상가 ,서울특별시 용산구 이태원동 대지 159.00m² 중 47.70m² 건물 124.10m² 중 37.23m² ,"219,978","22,135",0,"242,113",가액변동 
,,,,,,,
배우자 ,상가 전세(임차)권 ,"서울특별시 서대문구 신촌동 건물 12,759.83m² 중 50.01m² ","10,000",0,0,"10,000",변동없음 
,,,,,,,
배우자 ,복합건물(주 택+상가) 전세(임차)권 ,서울특별시 마포구 합정동 KCC엠파이어리버 건물 156.13m² (건물 156.13m² 증가) ,- ,"150,000",0,"150,000",기존 전세(보증금)권자 변경으로 추가 
,,,,,,,
▶ 부동산에 관한 규정이 준용되는 권리와 자동차.건설기계.선박 및 항공기(소계) ,"3,750",0,0,"3,750",,,
,,,,,,,
본인 ,자동차 ,"2015년식 카니발 하이리무진 배기량(2,199cc) ","3,750",- ,- ,"3,750",변동없음 
,,,,,,,
▶ 예금(소계) ,"347,060","531,195","110,159","768,096",,,
,,,,,,,
본인 ,,"신한은행 78,068(28,367 감소), 신한금융투자(주) 407(1 증가), 농협은행 26,108(15,856 증가), 씨티은행 89, 국민은행 7,000(19,342 감소), 스탠다드차타드은행 103 ","143,627","26,866","58,718","111,775",급여및주식매도등으로인한 예금액 변동 
,,,,,,,
배우자 ,,"(주)KEB하나은행 0(151 감소), 국민은행 177,308(38,143 증가), 신한은행 17,296(26,380 감소), 삼성증권 438,523(437,779 증가), 우리은행 22,745(3,048 증가) ","203,433","503,880","51,441","655,872",
,,,,,,,
모 ,,"국민은행 9(9 증가), 농협은행 77(77 증가), 신한은행 352(352 증가), (주)KEB하나은행 11(11 증가) ",0,449,0,449,
,,,,,,,
▶ 정치자금법에 따른 정치자금의 수입 및 지출을 위한 예금계좌의 예금(소계) ,"65,367","7,477",0,"72,844",,,
,,,,,,,
본인 ,,"농협중앙회 72,844(7,477 증가) ","65,367","7,477",0,"72,844",후원금 모금 등으로 정치자금 잔액 증가 
,,,,,,,
▶ 유가증권(소계) ,"1,243,135","469,475","1,243,135","469,475",,,
,,,,,,,
배우자 ,상장주식 ,"셀트리온 2,110주(2,110주 증가), 알티캐스트 0주(3,400주 감소), 셀트리온 0주(5,546주 감소) ","1,243,135","469,475","1,243,135","469,475",매각 등으로 변동 
,,,,,,,
▶ 채권(소계) ,"140,000",0,"43,000","97,000",,,
,,,,,,,
본인 ,,사인간채권 감소 ,"140,000",0,"43,000","97,000",일부 환수 
,,,,,,,
▶ 채무(소계) ,"2,458,754","1,869,115","1,258,754","3,069,115",,,
,,,,,,,
본인 ,금융기관채무 ,"신한은행 0(600,000 감소), 농협은행 1,269,115(1,269,115 증가), 농협중앙회 0(58,754 감소) ","658,754","1,269,115","658,754","1,269,115","의정활동, 생활비 지출 등으로 채무 증액 "
,,,,,,,
본인 ,건물임대채무 ,서울특별시 용산구 이태원동 임대보증금 ,"1,200,000",0,0,"1,200,000",변동없음 
,,,,,,,
배우자 ,금융기관채무 ,"국민은행 600,000 ","600,000","600,000","600,000","600,000",변동없음 
,,,,,,,
▶ 보석류(소계) ,"71,000",0,0,"71,000",,,
,,,,,,,
본인 ,,로렉스 시계 ,"24,000",- ,- ,"24,000",변동없음 
,,,,,,,
본인 ,,로렉스 시계 ,"27,000",- ,- ,"27,000",변동없음 
,,,,,,,
본인 ,,불가리 시계 ,"20,000",- ,- ,"20,000",변동없음 
,,,,,,,
▶ 골동품 및 예술품(소계) ,"2,818,000",0,0,"2,818,000",,,
,,,,,,,
본인 ,,"도자기 (항아리 3, 지름 20.0*높이 8.0Cm, 미상, 조선시대) ","5,000",- ,- ,"5,000",변동없음 
,,,,,,,
본인 ,,"도자기 (달항아리, 지름 55.0*높이 60.0Cm, 권대섭, 2000년대) ","15,000",- ,- ,"15,000",변동없음 
,,,,,,,
본인 ,,"도자기 (달항아리, 지름 43.0*높이 60.0Cm, 권대섭, 2000년대) ","10,000",- ,- ,"10,000",변동없음 
,,,,,,,
본인 ,,"도자기 (항아리, 지름 43.0*높이 60.0Cm, 박석우, 2000년대) ","15,000",- ,- ,"15,000",변동없음 
,,,,,,,
본인 ,,"도자기 (투각항아리, 지름 43.4*높이 42.0Cm, 전성근, 2000년대) ","10,000",- ,- ,"10,000",변동없음 
,,,,,,,
본인 ,,"도자기 (투각항아리, 지름 43.0*높이 46.0Cm, 전성근, 2000년대) ","12,000",- ,- ,"12,000",변동없음 
,,,,,,,
본인 ,,"도자기 (투각항아리, 지름 45.0*높이 48.0Cm, 전성근, 2000년대) ","20,000",- ,- ,"20,000",변동없음 
,,,,,,,
본인 ,,"가구 (e15 테이블 세트, 250.0*92.0*7.5Cm, e15, 2000년대) ","25,000",- ,- ,"25,000",변동없음 
,,,,,,,
본인 ,,"가구 (반닫이, 102.0*42.0*68.0Cm, 천상원, 2000년대) ","30,000",- ,- ,"30,000",변동없음 
,,,,,,,
본인 ,,"가구 (애기장, 98.0*36.0*63.0Cm, 천상원, 2000년대) ","15,000",- ,- ,"15,000",변동없음 
,,,,,,,
본인 ,,"칠기 (장생당초무늬 이층롱, 55*30*75Cm, 미상, 조선 19세기) ","30,000",- ,- ,"30,000",변동없음 
,,,,,,,
본인 ,,"칠기 (장생산수무늬 문갑, 112*31*47Cm, 미상, 조선 19세기) ","60,000",- ,- ,"60,000",변동없음 
,,,,,,,
본인 ,,"칠기 (귀갑무늬 함, 38.0*23.0*25.0Cm, 미상, 조선 19세기) ","25,000",- ,- ,"25,000",변동없음 
,,,,,,,
본인 ,,"칠기 (화조무늬 함, 44.5*27.5*30Cm, 미상, 조선 19세기) ","30,000",- ,- ,"30,000",변동없음 
,,,,,,,
본인 ,,"칠기 (장생무늬 연상, 40*28*25.8Cm, 미상, 조선 19세기) ","9,000",- ,- ,"9,000",변동없음 
,,,,,,,
본인 ,,"칠기 (장생무늬 경대, 21*27.7*15Cm, 미상, 조선 19세기) ","8,000",- ,- ,"8,000",변동없음 
,,,,,,,
본인 ,,"칠기 (장생무늬 서류함, 48*12*13Cm, 미상, 조선 19세기) ","15,000",- ,- ,"15,000",변동없음 
,,,,,,,
본인 ,,"칠기 (끊음질 산수무늬 함, 28.5*16*16Cm, 미상, 조선 19세기) ","10,000",- ,- ,"10,000",변동없음 
,,,,,,,
본인 ,,"칠기 (산수무늬 빗접, 37.5*23.5*29.5Cm, 미상, 조선 19세기) ","10,000",- ,- ,"10,000",변동없음 
,,,,,,,
본인 ,,"칠기 (인물산수무늬 함, 51.5*20.3*48Cm, 미상, 조선 19세기) ","25,000",- ,- ,"25,000",변동없음 
,,,,,,,
본인 ,,"칠기 (십장생무늬 오층롱, 64*38.5*180Cm, 미상, 조선 19세기) ","150,000",- ,- ,"150,000",변동없음 
,,,,,,,
본인 ,,"칠기 (매화칠보무늬 이층롱, 82*40*96Cm, 미상, 조선 19세기) ","15,000",- ,- ,"15,000",변동없음 
,,,,,,,
본인 ,,"칠기 (장생무늬 연상, 46*29*28.5Cm, 미상, 조선 19세기) ","9,000",- ,- ,"9,000",변동없음 
,,,,,,,
본인 ,,"칠기 (화조무늬 반짇고리, 32*32*85Cm, 미상, 조선 19세기) ","16,000",- ,- ,"16,000",변동없음 
,,,,,,,
본인 ,,"칠기 (국화난초무늬 갑게수리, 40.0*30.5*52.0Cm, 미상, 20세기 초) ","12,000",- ,- ,"12,000",변동없음 
,,,,,,,
본인 ,,"칠기 (장생무늬 사방탁자, 57*37.5*160Cm, 미상, 20세기 초) ","15,000",- ,- ,"15,000",변동없음 
,,,,,,,
본인 ,,"칠기 (수복무늬 함, 65*35.5*34Cm, 미상, 20세기 초) ","10,000",- ,- ,"10,000",변동없음 
,,,,,,,
본인 ,,"칠기 (귀갑무늬 이층롱, 84.0*43.0*138.0Cm, 미상, 20세기 초) ","20,000",- ,- ,"20,000",변동없음 
,,,,,,,
