소속 ,국회 ,직위 ,국회의원 ,성명 ,송갑석 ,,
,,,,,,,
(단위 : 천원) ,,,,,,,
,,,,,,,
본인과의 관계 ,재산의 종류 ,소재지면적등권리의명세 ,종전가액 ,변동액(천원) ,현재가액 ,변동사유 ,
,,,,,,,
증가액 (실거래액) ,감소액 (실거래액) ,,,,,,
,,,,,,,
▶ 건물(소계) ,"10,000",0,0,"10,000",,,
,,,,,,,
본인 ,오피스텔 전세(임차)권 ,서울특별시 마포구 도화동 에스케이허브그린 건물 38.51m² ,"10,000",- ,- ,"10,000",
,,,,,,,
▶ 부동산에 관한 규정이 준용되는 권리와 자동차.건설기계.선박 및 항공기(소계) ,"1,500","68,172","1,500","68,172",,,
,,,,,,,
본인 ,자동차 ,"2018년식 k7 배기량(3,342cc) 증가 ",0,"41,550",0,"41,550",자동차 리스 
,,,,,,,
배우자 ,자동차 ,"1998년식 sm520 배기량(1,998cc) 감소 ","1,500",0,"1,500",0,폐차 
,,,,,,,
배우자 ,자동차 ,"2018년식 니로 하이브리드 배기량(1,580cc) 증가 ",0,"26,622",0,"26,622",자동차 할부구매 
,,,,,,,
▶ 예금(소계) ,"162,379","57,492","11,259","208,612",,,
,,,,,,,
본인 ,,"현대해상화재보험 1,100(1,100 증가), 중소기업은행 4, 농협은행 10,335(9,842 증가), 메트라이프생명보험 7,720(891 증가), 농협중앙회 1, 광주은행 11,723(11,120 증가) ","7,930","23,555",602,"30,883",급여수입 
,,,,,,,
배우자 ,,"광주은행 31,722(29,539 증가), 국민은행 8,182(386 감소), 현대해상화재보험 13,220(952 증가), 농협중앙회 6,298(1,273 감소), 중소기업은행 312(236 증가), 삼성생명보험 109,587(4,650 감소), 농협생명보험 5,534(301 증가) ","150,136","32,654","7,935","174,855",
,,,,,,,
모 ,,"농협은행 1, 농협중앙회 416(2,722 감소), 우체국 2,393(1,283 증가), 포두신협 64 ","4,313","1,283","2,722","2,874",
,,,,,,,
▶ 정치자금법에 따른 정치자금의 수입 및 지출을 위한 예금계좌의 예금(소계) ,0,"30,497",0,"30,497",,,
,,,,,,,
본인 ,,"농협은행 30,497(30,497 증가) ",0,"30,497",0,"30,497",정치자금 신규 신고 
,,,,,,,
▶ 채무(소계) ,0,"59,933",0,"59,933",,,
,,,,,,,
본인 ,금융기관채무 ,"비엔케이캐피탈(주) 40,625(40,625 증가) ",0,"40,625",0,"40,625",자동차 리스 
,,,,,,,
배우자 ,금융기관채무 ,"현대캐피탈 19,308(19,308 증가) ",0,"19,308",0,"19,308",자동차 할부대출 
,,,,,,,
총계 ,"173,879","96,228","12,759","257,348","증감액:83,469천원 ",,
,,,,,,,
