소속 ,국회 ,직위 ,국회의원 ,성명 ,송기헌 ,,
,,,,,,,
(단위 : 천원) ,,,,,,,
,,,,,,,
본인과의 관계 ,재산의 종류 ,소재지면적등권리의명세 ,종전가액 ,변동액(천원) ,현재가액 ,변동사유 ,
,,,,,,,
증가액 (실거래액) ,감소액 (실거래액) ,,,,,,
,,,,,,,
▶ 토지(소계) ,"8,869",343,0,"9,212",,,
,,,,,,,
배우자 ,대지 ,강원도 원주시 소초면 흥양리 944-129번지 147.00m² 중 7.00m² ,"1,267",49,0,"1,316",가액변동 
,,,,,,,
배우자 ,대지 ,강원도 원주시 소초면 흥양리 944-13번지 872.00m² 중 42.00m² ,"7,602",294,0,"7,896",가액변동 
,,,,,,,
▶ 건물(소계) ,"796,600","68,500",0,"865,100",,,
,,,,,,,
본인 ,근린생활시설 전세(임차)권 ,강원도 원주시 관설동 4층 국회의원송기헌 사무소 건물 254.25m² ,"30,000",0,0,"30,000",변동없음 
,,,,,,,
배우자 ,아파트 ,서울특별시 양천구 목동 청구아파트 건물 84.77m² ,"504,000","64,000",0,"568,000",가액변동 
,,,,,,,
배우자 ,단독주택 ,강원도 원주시 소초면 흥양리 대지 918.00m² 건물 225.81m² ,"262,600","4,500",0,"267,100",가액변동 
,,,,,,,
▶ 부동산에 관한 규정이 준용되는 권리와 자동차.건설기계.선박 및 항공기(소계) ,"39,500",0,"7,080","32,420",,,
,,,,,,,
배우자 ,자동차 ,"2011년식 쏘나타 하이브리드 배기량(2,000cc) ","15,000",0,"1,740","13,260",가액변동 
,,,,,,,
배우자 ,자동차 ,"2018년식 QM3 배기량(1,461cc) ","24,500",0,"5,340","19,160",가액변동 
,,,,,,,
▶ 예금(소계) ,"215,003","35,208","20,634","229,577",,,
,,,,,,,
본인 ,,"신한은행 537(535 증가), 메리츠화재해상보험 4,329(553 증가), 원주신협 14, 우체국 7,561(2,594 증가), 한화손해보험 4,271 (1,255 증가), 롯데손해보험 3,297(1,024 증가), 농협은행 113(737 감소), AIA생명보험 110,271(6,241 증가), MG손해보험 (주) 14,400(3,600 증가), 국민은행 12, 농협중앙회 3,784(815 감소), 꿈드림 808(24 증가), 스탠다드차타드은행 27(565 감소) ","135,715","15,826","2,117","149,424",급여저축및생활비지출등 
,,,,,,,
배우자 ,,"(주)KEB하나은행 0(5 감소), 국민은행 133(2,417 감소), 현대 해상화재보험 8,500(1,200 증가), 메리츠화재해상보험 923(325 증가), 동양생명보험 11,046(3,346 증가), 신한은행 0(5 감소), 우체국 355(355 증가), 한화손해보험 3,403(996 증가), AIA생명 보험 10,057(2,155 증가), 롯데손해보험 11,277(3,302 증가), 한화생명보험 17,256, 신한생명보험 7,127(494 증가), 농협은행 0(40 감소), 라이나생명보험 1,525(447 증가), 북원신협 62(62증가)","61,449","12,682","2,467","71,664",
,,,,,,,
,,,,,,,
모 ,,"농협중앙회 33(3,842 감소) ","3,875",0,"3,842",33,
,,,,,,,
장녀 ,,"(주)KEB하나은행 0(30 감소), 북원신협 62(62 증가), 농협은행 171(147 증가), 우리은행 750(50 증가) ",754,259,30,983,
,,,,,,,
장남 ,,"중소기업은행 39(16 감소), 한국카카오은행(주) 552(552 증가), 우리은행 750(50 증가), 국민은행 6,132(6,323 감소) ","13,210","6,441","12,178","7,473",
,,,,,,,
▶ 정치자금법에 따른 정치자금의 수입 및 지출을 위한 예금계좌의 예금(소계) ,"82,085",0,"51,260","30,825",,,
,,,,,,,
본인 ,,"농협중앙회 30,825(51,260 감소) ","82,085",0,"51,260","30,825",정치자금 지출 등 
,,,,,,,
▶ 채권(소계) ,"90,000",0,0,"90,000",,,
,,,,,,,
본인 ,,사인간채권 ,"90,000",0,0,"90,000",변동없음 
,,,,,,,
▶ 채무(소계) ,"967,057","140,343","77,938","1,029,462",,,
,,,,,,,
본인 ,금융기관채무 ,"우리카드 20,000, 신한은행 107,478(28,376 감소), 농협은행 222,205(9,360 감소), 신한카드 865(8,735 감소), 씨티은행 90,000, AIA생명보험 76,490(5,000 증가), MG손해보험(주) 9,400(9,400 증가) ","558,509","15,985","48,056","526,438",일부상환 및 재대출 
,,,,,,,
배우자 ,금융기관채무 ,"신한카드 9,558(9,670 감소), 현대해상화재보험 5,300(5,300 증가), 알씨아이파이낸셜서비스코리아(주) 16,663(5,838 감소), 씨티은행 12,003(4,816 감소), 신한생명보험 3,500(3,500 증가), 현대카드(주) 6,000(6,000 증가) ","58,548","24,358","29,882","53,024",일부상환 및 재대출 
,,,,,,,
배우자 ,건물임대채무 ,서울특별시 양천구 목동 청구아파트 임대보증금 증가 ,"350,000","100,000",0,"450,000",보증금 인상 
,,,,,,,
총계 ,"265,000","-36,292","1,036","227,672","증 감 액 : -37,328천원 (가액변동: 61,763천원) ",,
,,,,,,,
