소속 ,국회 ,직위 ,국회의원 ,성명 ,송석준 ,,
,,,,,,,
(단위 : 천원) ,,,,,,,
,,,,,,,
본인과의 관계 ,재산의 종류 ,소재지면적등권리의명세 ,종전가액 ,변동액(천원) ,현재가액 ,변동사유 ,
,,,,,,,
증가액 (실거래액) ,감소액 (실거래액) ,,,,,,
,,,,,,,
▶ 토지(소계) ,"170,351","1,032","90,216","81,167",,,
,,,,,,,
본인 ,전 ,경기도 이천시 설성면 수산리 322-1번지 149.00m² 중 18.63m² ,545,13,0,558,공시가격 상승 
,,,,,,,
본인 ,전 ,경기도 이천시 설성면 수산리 323-2번지 89.00m² 중 11.12m² ,362,8,0,370,공시가격 상승 
,,,,,,,
본인 ,답 ,경기도 이천시 설성면 수산리 393번지 572.00m² ,"19,219",286,0,"19,505",공시가격 상승 
,,,,,,,
모 ,답 ,"경기도 이천시 설성면 수산리 741-7번지 0.00m² (3,759.00m² 감소) ","90,216",0,"90,216",0,부동산 매각 
,,,,,"-127,792",,
,,,,,,,
모 ,답 ,"경기도 이천시 설성면 수산리 204번지 1,759.00m² ","59,102",704,0,"59,806",공시가격 상승 
,,,,,,,
모 ,전 ,경기도 이천시 설성면 수산리 322-1번지 149.00m² 중 18.63m² ,545,13,0,558,공시가격 상승 
,,,,,,,
모 ,전 ,경기도 이천시 설성면 수산리 323-2번지 89.00m² 중 11.12m² ,362,8,0,370,공시가격 상승 
,,,,,,,
▶ 건물(소계) ,"743,507","40,635",0,"784,142",,,
,,,,,,,
본인 ,아파트 ,경기도 의왕시 포일동 포일숲속마을 건물 134.82m² 중 67.41m² ,"253,000","20,000",0,"273,000",공시가격 상승 
,,,,,,,
본인 ,아파트 전세(임차)권 ,경기도 이천시 증포동 증포동한솔솔파크 건물 117.22m² ,"220,000",0,0,"220,000",변동사항 없음 
,,,,,,,
배우자 ,아파트 ,경기도 의왕시 포일동 포일숲속마을 건물 134.82m² 중 67.41m² ,"253,000","20,000",0,"273,000",공시가격 상승 
,,,,,,,
모 ,단독주택 ,경기도 이천시 설성면 수산리 대지 205.00m² 건물 65.00m² ,"17,507",635,0,"18,142",공시가격 상승 
,,,,,,,
▶ 부동산에 관한 규정이 준용되는 권리와 자동차.건설기계.선박 및 항공기(소계) ,"5,000",0,500,"4,500",,,
,,,,,,,
본인 ,자동차 ,"2005년식 뉴스포티지 배기량(1,991cc) ","5,000",0,500,"4,500",감가상각으로 인한 가치감소 
,,,,,,,
▶ 현금(소계) ,"10,000","10,000",0,"20,000",,,
,,,,,,,
본인 ,,현금 ,"10,000",0,0,"10,000",변동사항 없음 
,,,,,,,
모 ,,현금 증가 ,- ,"10,000",0,"10,000",부동산 매각대금 일부보유 
,,,,,,,
▶ 예금(소계) ,"358,156","340,795","231,696","467,255",,,
,,,,,,,
본인 ,,"이천신협 30, 삼성생명보험 12,000, 우리은행 9,784(326 증가), KB증권 258(27 증가), 처브라이프생명 12,257(742 증가), 농협은행 304,929(99,674 증가), 유안타증권 328(1 증가), 국민은행 7,266(2,472 감소), 오렌지라이프생명보험 15,387(1,733 증가) ","262,208","283,474","183,443","362,239",급여저축에 의한 예금증가 
,,,,,,,
배우자 ,,"(주)KEB하나은행 13, 이천 8(8 증가), 유안타증권 81, 흥국 생명보험 615(615 증가), 새마을금고중앙회 공제사업부 269(269 증가), 국민은행 13, KB증권 937(75 증가), 메리츠화재 해상보험 5,511(1,524 증가), 이천신협 30, 우체국 9,937 (4,258 감소), 신한은행 0(34 감소), 이천 100(90 증가), 우리은행 1,647(50 감소), 농협은행 4,613(1,470 증가) ","24,065","4,805","5,096","23,774",
,,,,,,,
모 ,,"농협중앙회 36,478(3,163 감소) ","39,641","36,469","39,632","36,478",
,,,,,,,
장남 ,,"중소기업은행 63(1 증가), 신한은행 2(7 감소), 국민은행 5,354(1,162 감소), (주)KEB하나은행 1, 농협은행 9,600(1,200 증가), 스탠다드차타드은행 0(44 감소) ","15,032","1,523","1,535","15,020",
,,,,,,,
장녀 ,,"국민은행 14,184(5,374 증가), 농협은행 9,600(1,200 증가), 우체국 5,958(5,958 증가), 유안타증권 2(2 증가) ","17,210","14,524","1,990","29,744",
,,,,,,,
▶ 정치자금법에 따른 정치자금의 수입 및 지출을 위한 예금계좌의 예금(소계) ,"19,500","84,943",0,"104,443",,,
,,,,,,,
본인 ,,"농협중앙회 104,443(84,943 증가) ","19,500","84,943",0,"104,443",후원금 증가 
,,,,,,,
▶ 유가증권(소계) ,"4,821","1,971",252,"6,540",,,
,,,,,,,
본인 ,상장주식 ,"현대건설 22주, SK텔레콤 2주 ","1,332",408,0,"1,740",주식가액상승및자녀의주식매입 
,,,,,,,
배우자 ,상장주식 ,"LG유플러스 113주, 한국전력 50주 ","3,489",412,252,"3,649",
,,,,,,,
장녀 ,상장주식 ,"미투온 70주(70주 증가), 넥스트칩 60주(60주 증가), 유비벨록스 55주(55주 증가) ",0,"1,151",0,"1,151",
,,,,,,,
▶ 채무(소계) ,"463,666",0,"10,704","452,962",,,
,,,,,,,
본인 ,,사인간채무 ,"215,000",0,0,"215,000",변동사항 없음 
,,,,,,,
본인 ,금융기관채무 ,"우리은행 237,962(10,704 감소) ","248,666",0,"10,704","237,962",채무변제 
,,,,,,,
총계 ,"847,669","479,376","311,960","1,015,085","증 감 액 : 167,416천원 (가액변동: 41,735천원) ",,
,,,,,,,
