소속 ,국회 ,직위 ,국회의원 ,성명 ,송언석 ,,
,,,,,,,
(단위 : 천원) ,,,,,,,
,,,,,,,
본인과의 관계 ,재산의 종류 ,소재지면적등권리의명세 ,종전가액 ,변동액(천원) ,현재가액 ,변동사유 ,
,,,,,,,
증가액 (실거래액) ,감소액 (실거래액) ,,,,,,
,,,,,,,
▶ 토지(소계) ,"308,946",0,"127,455","181,491",,,
,,,,,,,
본인 ,답 ,경상북도 김천시 구성면 미평리 610-1번지 582.00m² ,"11,058",0,0,"11,058",
,,,,,,,
본인 ,답 ,경상북도 김천시 구성면 미평리 610-1번지 0.00m² (0.00m² 감소) ,0,0,0,0,
,,,,,,,
본인 ,답 ,경상북도 김천시 구성면 구미리 95-23번지 713.00m² ,"14,331",0,0,"14,331",
,,,,,,,
본인 ,답 ,경상북도 김천시 구성면 구미리 95-23번지 0.00m² (0.00m² 감소) ,0,0,0,0,
,,,,,,,
본인 ,임야 ,"경상북도 김천시 구성면 미평리 485번지 7,201.00m² ","4,198",0,0,"4,198",
,,,,,,,
본인 ,임야 ,경상북도 김천시 구성면 미평리 485번지 0.00m² (0.00m² 감소) ,0,0,0,0,
,,,,,,,
본인 ,전 ,"경상북도 김천시 구성면 미평리 528번지 1,828.00m² ","34,000",0,0,"34,000",
,,,,,,,
본인 ,전 ,경상북도 김천시 구성면 미평리 528번지 0.00m² (0.00m² 감소) ,0,0,0,0,
,,,,,,,
본인 ,답 ,경상북도 김천시 구성면 미평리 613번지 0.00m² (0.00m² 감소) ,0,0,0,0,
,,,,,,,
본인 ,답 ,"경상북도 김천시 구성면 미평리 613번지 1,753.00m² ","33,307",0,0,"33,307",
,,,,,,,
본인 ,전 ,경상북도 김천시 구성면 미평리 652번지 0.00m² (0.00m² 감소) ,0,0,0,0,
,,,,,,,
본인 ,전 ,"경상북도 김천시 구성면 미평리 652번지 3,038.00m² ","35,240",0,0,"35,240",
,,,,,,,
본인 ,전 ,경상북도 김천시 구성면 미평리 662번지 982.00m² ,"20,425",0,0,"20,425",
,,,,,,,
본인 ,전 ,경상북도 김천시 구성면 미평리 662번지 0.00m² (0.00m² 감소) ,0,0,0,0,
,,,,,,,
본인 ,전 ,경상북도 김천시 구성면 미평리 668번지 0.00m² (0.00m² 감소) ,0,0,0,0,
,,,,,,,
본인 ,전 ,경상북도 김천시 구성면 미평리 668번지 695.00m² ,"14,456",0,0,"14,456",
,,,,,,,
본인 ,대지 ,경상북도 김천시 구성면 미평리 720번지 0.00m² (0.00m² 감소) ,0,0,0,0,
,,,,,,,
본인 ,대지 ,경상북도 김천시 구성면 미평리 720번지 301.00m² ,"5,688",0,0,"5,688",
,,,,,,,
본인 ,답 ,경상북도 김천시 구성면 미평리 665-1번지 231.00m² ,"4,573",0,0,"4,573",
,,,,,,,
본인 ,답 ,경상북도 김천시 구성면 미평리 665-1번지 0.00m² (0.00m² 감소) ,0,0,0,0,
,,,,,,,
본인 ,답 ,경상북도 김천시 구성면 미평리 689번지 198.00m² ,950,0,0,950,
,,,,,,,
본인 ,답 ,경상북도 김천시 구성면 미평리 689번지 0.00m² (0.00m² 감소) ,0,0,0,0,
,,,,,,,
본인 ,답 ,경상북도 김천시 구성면 미평리 688번지 201.00m² ,964,0,0,964,
,,,,,,,
본인 ,답 ,경상북도 김천시 구성면 미평리 688번지 0.00m² (0.00m² 감소) ,0,0,0,0,
,,,,,,,
본인 ,전 ,경상북도 김천시 구성면 미평리 755번지 168.00m² ,"2,301",0,0,"2,301",
,,,,,,,
본인 ,전 ,경상북도 김천시 구성면 미평리 755번지 0.00m² (0.00m² 감소) ,0,0,0,0,
,,,,,,,
본인 ,대지 ,경상북도 김천시 평화동 268-3번지 0.00m² (43.50m² 감소) ,"127,455",0,"127,455",0,건물 항목으로 이동 신고 
,,,,,,,
▶ 건물(소계) ,"3,116,000","666,675",0,"3,782,675",,,
,,,,,,,
본인 ,아파트 ,서울특별시 강남구 대치2동 미도아파트 건물 0.00m² (건물 0.00m² 감소) ,0,0,0,0,
,,,,,,,
본인 ,아파트 ,서울특별시 강남구 대치동 미도아파트 건물 64.00m² ,"620,000","136,000",0,"756,000",가액변동 
,,,,,,,
본인 ,아파트 전세(임차)권 ,경상북도 김천시 율곡동 엠코타운더플래닛 건물 112.40m² (건물 112.40m² 증가) ,- ,"190,000",0,"190,000",전세보증금 
,,,,,,,
본인 ,상가 ,"경상북도 김천시 평화동 대지 130.60m² 중 43.53m² 건물 346.37m² 중 57.73m² (대지 지분면적 43.53m² 증가, 건물 지분면적 57.73m² 증가) ",- ,"144,675",0,"144,675",토지 항목에서 이동 신고 
,,,,"-144,675",,,
,,,,,,,
본인 ,아파트 ,경기도 과천시 부림동 주공아파트 건물 0.00m² (건물 0.00m² 감소) ,0,0,0,0,
,,,,,,,
본인 ,아파트 ,경기도 과천시 부림동 주공아파트 건물 73.02m² (건물 16.05m² 감소) ,"476,000","60,000",0,"536,000",가액변동 
,,,,,,,
배우자 ,아파트 ,서울특별시 강남구 대치동 미도아파트 건물 64.00m² ,"620,000","136,000",0,"756,000",가액변동 
,,,,,,,
배우자 ,아파트 ,서울특별시 강남구 대치2동 미도아파트 건물 0.00m² (건물 0.00m² 감소) ,0,0,0,0,
,,,,,,,
배우자 ,아파트 전세(임차)권 ,서울특별시 서초구 방배동 방배롯데캐슬아르떼 건물 0.00m² (건물 0.00m² 감소) ,0,0,0,0,
,,,,,,,
배우자 ,아파트 전세(임차)권 ,서울특별시 서초구 방배동 방배롯데캐슬아르떼 건물 160.00m² ,"1,400,000",0,0,"1,400,000",
,,,,,,,
▶ 부동산에 관한 규정이 준용되는 권리와 자동차.건설기계.선박 및 항공기(소계) ,"5,000",0,"1,000","4,000",,,
,,,,,,,
배우자 ,자동차 ,"2008년식 아만티 배기량(3,778cc) ","5,000",0,"1,000","4,000",가액 변동 
,,,,,,,
▶ 예금(소계) ,"2,265,320","977,907","883,303","2,359,924",,,
,,,,,,,
본인 ,,"푸르덴셜생명보험 57,372(2,391 증가), 제이티친애저축은 45,000, (주)참저축은행 0(20,000 감소), 신한은행 440(1 증가), 중소기업은행 31,798(608 증가), 대구은행 5(49,256 감소), 삼성증권 235, 한양증권 257(21 증가), 아주저축은행 0(46,000 감소), 경기치과의사신협 45,011, 농협은행 11,819(7,065 감소),아주저축은행 46,000(46,000증가),김천시산림조합 44, 서울금남 357(1 증가), 낙원 45,000, 국민은행 43,751 (38,581 증가), 농협중앙회 3,090(15,967 감소), (주)KEB하나 은행 32,867(167,621 감소), 케이디비생명보험 24,000, SBI저축 은행 46,092(36 증가), (주)유진저축은행 46,066(66 증가), (주)한국투자저축 49,000, 교보생명보험 10,776(315 증가), OSB저축은행 45,000, 엔에이치저축은행(주) 45,000, 신한저축 은행 10,498(5 증가), 유안타저축은행 45,000 ","902,362","329,616","547,500","684,478",급여저축 등 
,,,,,,,
배우자 ,,"(주)KEB하나은행 19,200, (주)모아저축은행 0(49,000 감소), (주)상상인플러스 49,000, 스탠다드차타드은행 264,974 (248,604 증가), 유안타증권 138, KB저축은행 49,914(153 증가), (주)참저축은행 49,000(20,000 감소), 농협중앙회 40, 중소기업 은행 20, 우체국 378,975(34,681 증가), 동양생명보험 23,800 (4,900 증가), 드림저축은행 49,000, (주)에스앤티저축 0 (49,000 감소), 경기치과의사신협 55,946(1,692 증가), SBI저축 은행 49,007, 페퍼저축은행 49,000, 교보생명보험 37,600, OSB저축은행 45,000, (주)하나저축은행 1(47,963 감소), (주)오투 저축은행 48,000(48,000 증가), (주)동원제일저축 49,000 (49,000 증가), 신한저축은행 46,336, (주)유진저축은행 49,000 (49,000 증가) ","1,042,884","438,565","168,498","1,312,951",
,,,,,,,
장녀 ,,"국민은행 228(168 감소), (주)KEB하나은행 15,997(22,927 감소), 케이디비생명보험 3,900(600 증가), (주)유진저축은행 30,000(6,993 증가), 중소기업은행 24,514(3,503 증가), (주)키움저축은행 0(42,000 감소), (주)금화저축은행 40,000 (40,000 증가), 미래에셋대우(주) 4(4,186 감소), 웰컴 저축은행 1,500(700 증가), 제이티친애저축은 0(34 감소), 스탠다드차타드은행 120(179 감소), (주)오투저축은행 0(45,000 감소), SBI저축은행 30,000(2,998 증가), 경기치과의사신협 11, (주)고려저축은행 48,000(48,000 증가), 한국산업은행 24,029(3,005 증가), (주)키움예스저축 50,000(50,000 증가), 신한은행 23,093(892 증가)","249,199","209,500","167,303","291,396",
,,,,,,,
,,,,,,,
차녀 ,,"국민은행 600(147 증가), 삼성증권 87(17 증가), 스탠다드차타드은행 24,059(42 증가), (주)KEB하나은행 53, 농협은행 1,290(18 증가), 경기치과의사신협 45,010 ","70,875",226,2,"71,099",
,,,,,,,
▶ 정치자금법에 따른 정치자금의 수입 및 지출을 위한 예금계좌의 예금(소계) ,0,"45,599",0,"45,599",,,
,,,,,,,
본인 ,,"농협은행 45,599(45,599 증가) ",0,"45,599",0,"45,599",계좌 추가 
,,,,,,,
▶ 유가증권(소계) ,"27,056","1,857","7,880","21,033",,,
,,,,,,,
본인 ,상장주식 ,"POSCO 7주(7주 증가), 한국금융지주 32주, POSCO 0주(7주 감소) ","5,466","1,701","3,562","3,605",평가액변동 
,,,,,,,
