소속 ,국회 ,직위 ,국회의원 ,성명 ,송영길 ,,
,,,,,,,
(단위 : 천원) ,,,,,,,
,,,,,,,
본인과의 관계 ,재산의 종류 ,소재지면적등권리의명세 ,종전가액 ,변동액(천원) ,현재가액 ,변동사유 ,
,,,,,,,
증가액 (실거래액) ,감소액 (실거래액) ,,,,,,
,,,,,,,
▶ 건물(소계) ,"220,000",0,0,"220,000",,,
,,,,,,,
본인 ,근린생활시설 전세(임차)권 ,인천광역시 계양구 병방동 홍제빌딩 건물 60.00m² ,"10,000",0,0,"10,000",변동없음 
,,,,,,,
배우자 ,아파트 전세(임차)권 ,인천광역시 계양구 병방동 학마을영남아파트 건물 59.94m² ,"210,000",0,0,"210,000",변동없음 
,,,,,,,
▶ 부동산에 관한 규정이 준용되는 권리와 자동차.건설기계.선박 및 항공기(소계) ,"22,010",0,"6,066","15,944",,,
,,,,,,,
본인 ,자동차 ,"2017년식 크루즈 1.4 터보 배기량(1,399cc) ","22,010",0,"6,066","15,944",가액변동 
,,,,,,,
▶ 예금(소계) ,"148,156","51,276","15,088","184,344",,,
,,,,,,,
본인 ,,"푸르덴셜생명보험 29,000(1,392 증가), 미래에셋대우(주) 12,188(3,653 감소), 신용협동조합중앙회 636(6 증가), 농협은행 90,033(7,106 감소), 계양신협 123, 한국카카오은행(주) 1,480(1,480 증가) ","141,341","6,144","14,025","133,460","급여 저축, 생활비 지출 "
,,,,,,,
배우자 ,,"국민은행 5,331(1,063 감소), 농협중앙회 40,428(40,027 증가), 신용협동조합중앙회 20 ","6,815","40,027","1,063","45,779",
,,,,,,,
장남 ,,"국민은행 5(5 증가), (주)KEB하나은행 6(6 증가), 우리은행 5,094(5,094 증가) ",0,"5,105",0,"5,105",
,,,,,,,
▶ 유가증권(소계) ,"32,944","6,137","13,823","25,258",,,
,,,,,,,
본인 ,상장주식 ,"대우조선해양 1주, 삼성전자 50주(48주 증가), 우리은행 8주, KB금융 10주, 현대중공업 3주, 와이지-원 19주, NAVER 50주(40주 증가), 셀트리온 18주, 현대차 7주, NHN엔터 테인먼트 0주(7주 감소), 아모레퍼시픽 10주(20주 감소) ","29,841",131,"13,823","16,149",증권매도및평가액변동 
,,,,,,,
본인 ,비상장주식 ,현대아산 236주 ,"3,103","6,006",0,"9,109",
,,,,,,,
▶ 고지거부 및 등록제외사항(소계) ,"62,286",0,"62,286",0,,,
,,,,,,,
부 ,,고지거부 ,- ,- ,- ,- ,기타 
,,,,,,,
장녀 ,,고지거부 ,"62,286",0,"62,286",0,독립생계유지 
,,,,,,,
총계 ,"485,396","57,413","97,263","445,546","증 감 액 : -39,850천원 (가액변동: -6,479천원) ",,
,,,,,,,
