소속 ,국회 ,직위 ,국회의원 ,성명 ,송옥주 ,,
,,,,,,,
(단위 : 천원) ,,,,,,,
,,,,,,,
본인과의 관계 ,재산의 종류 ,소재지면적등권리의명세 ,종전가액 ,변동액(천원) ,현재가액 ,변동사유 ,
,,,,,,,
증가액 (실거래액) ,감소액 (실거래액) ,,,,,,
,,,,,,,
▶ 건물(소계) ,"170,000","150,000",0,"320,000",,,
,,,,,,,
본인 ,아파트 전세(임차)권 ,서울특별시 강서구 방화동 방화5단지아파트 건물 76.00m² ,"170,000",0,0,"170,000",거주지 이전 
,,,,,,,
본인 ,아파트 전세(임차)권 ,경기도 화성시 향남읍 발안리 발안마을주공아파트 건물 51.74m² (건물 51.74m² 증가) ,- ,"150,000",0,"150,000",거주지 이전 
,,,,,,,
▶ 부동산에 관한 규정이 준용되는 권리와 자동차.건설기계.선박 및 항공기(소계) ,"2,440",0,70,"2,370",,,
,,,,,,,
본인 ,자동차 ,"2005년식 아반떼 배기량(1,495cc) ","2,440",0,70,"2,370",가액 변동 
,,,,,,,
▶ 예금(소계) ,"304,171","144,623","235,364","213,430",,,
,,,,,,,
본인 ,,"신한은행 15,900(2,600 증가), 삼성생명보험 20,507(1,560 증가), 중소기업은행 145(32 감소), 우리은행 652(153 감소), 농협은행 22,914(6,650 증가), 한화생명보험 5,602, 국민은행 15, SBI저축은행 45,000(45,000 증가), 교보생명보험 24,000, 스탠다드차타드은행 76,773(146,905 감소) ","302,788","144,084","235,364","211,508",급여저축및생활비지출등 
,,,,,,,
모 ,,"신한은행 1,922(539 증가) ","1,383",539,0,"1,922",
,,,,,,,
▶ 정치자금법에 따른 정치자금의 수입 및 지출을 위한 예금계좌의 예금(소계) ,"4,599","78,702",0,"83,301",,,
,,,,,,,
본인 ,,"농협은행 83,301(78,702 증가) ","4,599","78,702",0,"83,301",정치자금 증가 
,,,,,,,
▶ 채권(소계) ,0,"30,000",0,"30,000",,,
,,,,,,,
본인 ,,사인간채권 증가 ,0,"30,000",0,"30,000",사인간 채권 
,,,,,,,
총계 ,"481,210","403,325","235,434","649,101","증 감 액 : 167,891천원 (가액변동: -70천원) ",,
,,,,,,,
