소속 ,국회 ,직위 ,국회의원 ,성명 ,송희경 ,,
,,,,,,,
(단위 : 천원) ,,,,,,,
,,,,,,,
본인과의 관계 ,재산의 종류 ,소재지면적등권리의명세 ,종전가액 ,변동액(천원) ,현재가액 ,변동사유 ,
,,,,,,,
증가액 (실거래액) ,감소액 (실거래액) ,,,,,,
,,,,,,,
▶ 토지(소계) ,"118,617","213,269",0,"331,886",,,
,,,,,,,
배우자 ,임야 ,"강원도 춘천시 사북면 가일리 산 44번지 9,322.00m² 중 3,107.00m² ","2,019",99,0,"2,118",가액변동 
,,,,,,,
배우자 ,전 ,"강원도 춘천시 사북면 가일리 144번지 2,502.00m² 중 834.00m² ","4,403",234,0,"4,637",가액변동 
,,,,,,,
배우자 ,임야 ,강원도 춘천시 사북면 가일리 산 48-2번지 362.00m² 중 121.00m² ,137,9,0,146,가액변동 
,,,,,,,
배우자 ,임야 ,"강원도 춘천시 사북면 가일리 산 38번지 16,860.00m² 중 5,620.00m² ","3,461",169,0,"3,630",가액변동 
,,,,,,,
배우자 ,임야 ,"강원도 춘천시 사북면 가일리 산 37번지 59,802.00m² 중 19,934.00m² ","12,159",598,0,"12,757",가액변동 
,,,,,,,
배우자 ,임야 ,"강원도 춘천시 사북면 가일리 산 33번지 277,686.00m² 중 92,562.00m² ","55,814","2,777",0,"58,591",가액변동 
,,,,,,,
배우자 ,임야 ,"강원도 춘천시 사북면 가일리 산 48번지 19,788.00m² 중 6,596.00m² ","4,234",211,0,"4,445",가액변동 
,,,,,,,
배우자 ,전 ,"강원도 춘천시 사북면 가일리 132번지 1,676.00m² 중 559.00m² ","3,320",179,0,"3,499",가액변동 
,,,,,,,
배우자 ,임야 ,"강원도 춘천시 사북면 가일리 산 24-1번지 26,975.00m² 중 8,992.00m² ","5,871",270,0,"6,141",가액변동 
,,,,,,,
배우자 ,임야 ,"강원도 춘천시 사북면 가일리 산 112번지 15,669.00m² 중 5,223.00m² ","3,248",157,0,"3,405",가액변동 
,,,,,,,
배우자 ,전 ,"강원도 춘천시 사북면 가일리 130번지 1,861.00m² 중 620.00m² ","3,273",174,0,"3,447",가액변동 
,,,,,,,
배우자 ,임야 ,"강원도 춘천시 사북면 가일리 산 52번지 14,182.00m² 중 4,727.00m² ","2,992",137,0,"3,129",가액변동 
,,,,,,,
배우자 ,임야 ,"강원도 춘천시 사북면 가일리 산 54번지 30,645.00m² 중 10,215.00m² ","8,866",399,0,"9,265",가액변동 
,,,,,,,
배우자 ,임야 ,"강원도 춘천시 사북면 가일리 산 42번지 21,223.00m² 중 7,074.00m² ","4,583",220,0,"4,803",가액변동 
,,,,,,,
배우자 ,전 ,"강원도 춘천시 사북면 가일리 161-1번지 1,845.00m² 중 615.00m² ","4,237",270,0,"4,507",가액변동 
,,,,,,,
배우자 ,대지 ,서울특별시 동대문구 휘경동 295-109번지 26.00m² (26.00m² 증가) ,- ,"55,718",0,"55,718",토지항목으로 기재 
,,,,"-52,000",,,
,,,,,,,
배우자 ,대지 ,서울특별시 동대문구 휘경동 294-310번지 13.00m² (13.00m² 증가) ,- ,"10,210",0,"10,210",토지항목으로 기재 
,,,,"-20,000",,,
,,,,,,,
배우자 ,대지 ,서울특별시 동대문구 휘경동 294-311번지 66.00m² (66.00m² 증가) ,- ,"141,438",0,"141,438",건물멸실로 인한 토지항목 기재 
,,,,"-141,438",,,
,,,,,,,
▶ 건물(소계) ,"890,000","99,000","181,000","808,000",,,
,,,,,,,
배우자 ,아파트 ,서울특별시 송파구 석촌동 잠실한솔아파트 건물 84.87m² ,"482,000","86,000",0,"568,000",가액변동 
,,,,,,,
배우자 ,단독주택 ,"서울특별시 동대문구 휘경동 대지 0.00m² 건물 0.00m² (대지 66.00m² 감소, 건물 51.11m² 감소) ","109,000",0,"109,000",0,건물멸실(토지항목 이동) 
,,,,,"-109,000",,
,,,,,,,
배우자 ,단독주택 ,서울특별시 동대문구 휘경동 건물 0.00m² (건물 13.00m² 감소) ,"20,000",0,"20,000",0,소유권상실(토지항목으로 재신고) 
,,,,,,,
배우자 ,단독주택 ,서울특별시 동대문구 휘경동 건물 0.00m² (건물 26.00m² 감소) ,"52,000",0,"52,000",0,소유권상실(토지항목으로 재신고) 
,,,,,,,
부 ,아파트 ,서울특별시 구로구 구로동 중앙구로하이츠아파트 건물 70.52m² ,"227,000","13,000",0,"240,000",가액변동 
,,,,,,,
▶ 부동산에 관한 규정이 준용되는 권리와 자동차.건설기계.선박 및 항공기(소계) ,"26,600",0,"26,600",0,,,
,,,,,,,
본인 ,자동차 ,"2011년식 A6 3.0 배기량(3,000cc) 감소 ",266,0,266,0,폐차 
,,,,,,,
배우자 ,자동차 ,"2011년식 A6 3.0 배기량(3,000cc) 감소 ","26,334",0,"26,334",0,폐차 
,,,,,,,
▶ 예금(소계) ,"2,570,575","1,745,532","1,312,709","3,003,398",,,
,,,,,,,
본인 ,,"하나생명보험 100,000, 중소기업은행 621,046(69,422 증가), 우리은행 1, 흥국생명보험 30,000, 신한금융투자(주) 602,134(48,409 감소), 농협은행 11,075(2,166 증가), AIA생명보험 75,720(6,003 증가), MG손해보험(주) 300, 국민은행 91(318 감소), (주)KEB하나은행 351,860(154,099 증가), 한화생명보험 36,000, 오렌지라이프생명보험 55,905(55,905 증가), 삼성화재해상보험 7,568(998 증가) ","1,651,834","986,412","746,546","1,891,700",급여저축및생활비지출등 
,,,,,,,
배우자 ,,"(주)KEB하나은행 153,736(133,577 증가), DB손해보험(주) 100,000, 흥국생명보험 29,650, 푸르덴셜생명보험 68,692(6,877 증가), KB증권 89(1 증가), 현대해상화재보험 135(135 증가), 중소기업은행 0(51,540 감소), SK증권 20, SK hynix 532,219(479,853 증가), NH투자증권 162, 새마을금고 500(200,000 감소), 하나생명보험 29,500(6,000 증가), 우리은행 9, 한화생명보험 4,250(3,000 증가), SK hynix 0(165,000 감소), MG손해보험(주) 943 ","707,002","680,590","467,687","919,905",
,,,,,,,
부 ,,"국민은행 1(1 증가), 신한은행 14(26,516 감소) ","26,530",1,"26,516",15,급여저축및생활비지출등 
,,,,,,,
장녀 ,,"국민은행 55(73 감소), (주)KEB하나은행 9(9 증가), 삼성증권 133(133 증가), 중소기업은행 74,938(790 감소), 우리은행 40, 한국카카오은행(주) 50(50 증가) ","75,896","70,201","70,872","75,225",
,,,,,,,
장남 ,,"중소기업은행 114,845(7,137 증가), 신한은행 345(1 증가), 국민은행 1,172(1 증가), (주)KEB하나은행 191(101 증가) ","109,313","8,328","1,088","116,553",
,,,,,,,
▶ 정치자금법에 따른 정치자금의 수입 및 지출을 위한 예금계좌의 예금(소계) ,"114,461",0,"44,094","70,367",,,
,,,,,,,
본인 ,,"농협은행 70,367(44,094 감소) ","114,461",0,"44,094","70,367",후원금감소및의정활동경비 지출등 
,,,,,,,
▶ 채무(소계) ,"400,000","100,000",0,"500,000",,,
,,,,,,,
배우자 ,건물임대채무 ,서울특별시 송파구 석촌동 잠실한솔아파트 임대보증금 증가 ,"400,000","100,000",0,"500,000",전세보증금 증액 
,,,,,,,
총계 ,"3,320,253","1,957,801","1,564,403","3,713,651","증 감 액 : 393,398천원 (가액변동: 104,903천원) ",,
,,,,,,,
