소속 ,국회 ,직위 ,국회의원 ,성명 ,신동근 ,,
,,,,,,,
(단위 : 천원) ,,,,,,,
,,,,,,,
본인과의 관계 ,재산의 종류 ,소재지면적등권리의명세 ,종전가액 ,변동액(천원) ,현재가액 ,변동사유 ,
,,,,,,,
증가액 (실거래액) ,감소액 (실거래액) ,,,,,,
,,,,,,,
▶ 건물(소계) ,"460,350","70,000","105,000","425,350",,,
,,,,,,,
본인 ,상가 ,인천광역시 서구 마전동 검단프라자 대지 866.20m² 중 48.00m² 건물 263.53m² ,"355,350",0,0,"355,350",가액변동없음 
,,,,,,,
본인 ,아파트 전세(임차)권 ,인천광역시 서구 왕길동 검단자이1단지 건물 0.00m² (건물 84.34m² 감소) ,"100,000",0,"100,000",0,계약만료 
,,,,,,,
본인 ,근린생활시설 전세(임차)권 ,인천광역시 서구 당하동 2층 건물 0.00m² (건물 140.72m² 감소) ,"5,000",0,"5,000",0,계약만료 
,,,,,,,
본인 ,사무실 전세(임차)권 ,인천광역시 서구 마전동 검단하이뷰 건물 105.04m² (건물 105.04m² 증가) ,- ,"20,000",0,"20,000",신규계약 
,,,,,,,
본인 ,아파트 전세(임차)권 ,인천광역시 서구 왕길동 드림파크어울림 1단지 건물 131.27m² (건물 131.27m² 증가) ,- ,"30,000",0,"30,000",신규계약 
,,,,,,,
차남 ,오피스텔 전세(임차)권 ,경기도 용인시 수지구 풍덕천동 수지풍덕천한샘더랜드마크(오) 건물 20.75m² (건물 20.75m² 증가) ,- ,"20,000",0,"20,000",신규계약 
,,,,,,,
▶ 부동산에 관한 규정이 준용되는 권리와 자동차.건설기계.선박 및 항공기(소계) ,"31,120",0,"5,970","25,150",,,
,,,,,,,
배우자 ,자동차 ,"2018년식 싼타페 배기량(1,995cc) ","31,120",0,"5,970","25,150",가액변동 
,,,,,,,
▶ 예금(소계) ,"428,140","94,815","23,308","499,647",,,
,,,,,,,
본인 ,,"전북은행 295(14 감소), 하나금융투자 29,886(4,727 감소), 메리츠화재해상보험 21,322(2,447 증가), 우리은행 37(94 감소), 신한은행 476(8 증가), 중소기업은행 218(1 증가), 인천치과의사신협 194(4 증가), 농협은행 61,276(37,340 증가), 강화 1, 씨티은행 34,164(31,396 증가), AIA생명보험 120,045(15,565 증가), 국민은행 13,982(77 감소), 농협 중앙회 4(985 감소), (주)KEB하나은행 8, 오렌지라이프 생명보험 56,488(5,175 증가), 검단신협 36(1 증가) ","252,392","92,091","6,051","338,432",급여저축및생활비지출등 
,,,,,,,
배우자 ,,"푸르덴셜생명보험 15,768, KB증권 322(5 증가), 키움닷컴증권 205, 강화신협 51, 국민은행 1,120(205 감소), 농협은행 24,812(15,841 감소) ","58,319",5,"16,046","42,278",
,,,,,,,
장남 ,,"신한은행 4,100(2,416 증가), 우리은행 15(2 증가), 푸르덴셜생명보험 56,208, 농협은행 6 ","57,911","2,719",301,"60,329",
,,,,,,,
차남 ,,"푸르덴셜생명보험 56,208, 국민은행 2,400(910 감소) ","59,518",0,910,"58,608",
,,,,,,,
▶ 정치자금법에 따른 정치자금의 수입 및 지출을 위한 예금계좌의 예금(소계) ,"124,431","90,452",0,"214,883",,,
,,,,,,,
본인 ,,"농협중앙회 214,883(90,452 증가) ","124,431","90,452",0,"214,883",후원금 증가 
,,,,,,,
▶ 유가증권(소계) ,652,0,170,482,,,
,,,,,,,
배우자 ,상장주식 ,"SBS미디어홀 70주, SBS 17주 ",652,0,170,482,평가액변동 
,,,,,,,
▶ 채권(소계) ,"10,000",0,0,"10,000",,,
,,,,,,,
본인 ,,사인간채권 ,"10,000",0,0,"10,000",변동없음 
,,,,,,,
▶ 채무(소계) ,"835,995","10,000","41,732","804,263",,,
,,,,,,,
본인 ,금융기관채무 ,"전북은행 250,000, 현대캐피탈 21,063(4,932 감소), 우리은행 170,000(20,000 감소), 농협은행 250,000, 씨티은행 103,200(7,800 감소), 국민은행 0(9,000 감소) ","835,995",0,"41,732","794,263",일부 상환 
,,,,,,,
본인 ,건물임대채무 ,인천광역시 서구 마전동 검단프라자 임대보증금 증가 ,0,"10,000",0,"10,000",건물 임대보증금 
,,,,,,,
▶ 고지거부 및 등록제외사항(소계) ,197,0,197,0,,,
,,,,,,,
모 ,,등록제외 ,197,0,197,0,사망 
,,,,,,,
총계 ,"218,895","245,267","92,913","371,249","증 감 액 : 152,354천원 (가액변동: -6,140천원) ",,
,,,,,,,
