소속 ,국회 ,직위 ,국회의원 ,성명 ,신보라 ,,
,,,,,,,
(단위 : 천원) ,,,,,,,
,,,,,,,
본인과의 관계 ,재산의 종류 ,소재지면적등권리의명세 ,종전가액 ,변동액(천원) ,현재가액 ,변동사유 ,
,,,,,,,
증가액 (실거래액) ,감소액 (실거래액) ,,,,,,
,,,,,,,
▶ 건물(소계) ,"82,828","330,000","82,828","330,000",,,
,,,,,,,
배우자 ,아파트 전세(임차)권 ,서울특별시 은평구 불광동 북한산힐스테이트 7차 건물 0.00m² (건물 37.68m² 감소) ,"82,828",0,"82,828",0,임대아파트 전세권 상실 
,,,,,,,
배우자 ,아파트 전세(임차)권 ,서울특별시 중랑구 면목동 면목 삼익아파트 건물 84.99m² (건물 84.99m² 증가) ,- ,"330,000",0,"330,000",전세보증금 
,,,,,,,
▶ 부동산에 관한 규정이 준용되는 권리와 자동차.건설기계.선박 및 항공기(소계) ,"2,290","19,637",0,"21,927",,,
,,,,,,,
배우자 ,자동차 ,"2016년식 쏘나타 배기량(2,000cc) ","2,290","19,637",0,"21,927",가액 수정 
,,,,,,,
▶ 예금(소계) ,"122,092","42,301","77,506","86,887",,,
,,,,,,,
본인 ,,"두암신협 103(2 증가), 중소기업은행 10, 우리은행 20, 메리츠화재해상보험 1,434(574 증가), e-푸른 32(1 증가), 우체국 53, 농협은행 64,757(16,873 증가), (주)KEB하나은행 250(5,808 감소), 국민은행 836(41,664 감소), 흥국화재해상보험(주) 159(159 증가) ","97,517","41,219","71,082","67,654",급여저축및생활비지출등 
,,,,,,,
배우자 ,,"(주)KEB하나은행 9, 새마을금고중앙회 공제사업부 0(2,406 감소), 국민은행 17,934(3,160 감소), 삼성화재해상보험 215(117 증가), 메리츠화재해상보험 965(965 증가), 중소기업은행 2, 삼성증권 22(532 감소), 우리은행 86(10 감소), e-푸른 0(316 감소) ","24,575","1,082","6,424","19,233",
,,,,,,,
▶ 정치자금법에 따른 정치자금의 수입 및 지출을 위한 예금계좌의 예금(소계) ,"218,678","115,397",0,"334,075",,,
,,,,,,,
본인 ,,"농협은행 334,075(115,397 증가) ","218,678","115,397",0,"334,075",후원금 증가 
,,,,,,,
▶ 유가증권(소계) ,"7,066","22,050","6,179","22,937",,,
,,,,,,,
배우자 ,상장주식 ,"카카오 0주(2주 감소), 지란지교시큐리 895주(847주 증가), 현대건설 112주(112주 증가), 삼성전자 165주(165주 증가), 삼성바이오로직 2주(16주 감소), 서한 1,249주(1,249주 증가), 호텔신라 81주(81주 증가) ","7,066","22,050","6,179","22,937",주식매수및매도 
,,,,,,,
▶ 채무(소계) ,"1,850","99,130","1,377","99,603",,,
,,,,,,,
본인 ,금융기관채무 ,"농협은행 99,130(99,130 증가) ",0,"99,130",0,"99,130",전세보증금 
,,,,,,,
배우자 ,금융기관채무 ,"현대캐피탈 473(1,377 감소) ","1,850",0,"1,377",473,급여 등으로 변제 
,,,,,,,
▶ 고지거부 및 등록제외사항(소계) ,0,0,0,0,,,
,,,,,,,
부 ,,고지거부 ,- ,- ,- ,- ,독립생계유지 
,,,,,,,
모 ,,고지거부 ,- ,- ,- ,- ,독립생계유지 
,,,,,,,
총계 ,"431,104","430,255","165,136","696,223","증 감 액 : 265,119천원 (가액변동: 19,637천원) ",,
,,,,,,,
