소속 ,국회 ,직위 ,국회의원 ,성명 ,신상진 ,,
,,,,,,,
(단위 : 천원) ,,,,,,,
,,,,,,,
본인과의 관계 ,재산의 종류 ,소재지면적등권리의명세 ,종전가액 ,변동액(천원) ,현재가액 ,변동사유 ,
,,,,,,,
증가액 (실거래액) ,감소액 (실거래액) ,,,,,,
,,,,,,,
▶ 건물(소계) ,"490,000",0,0,"490,000",,,
,,,,,,,
본인 ,사무실 전세(임차)권 ,경기도 성남시 중원구 중앙동 수경빌딩 5층 건물 181.82m² ,"30,000",0,0,"30,000",변동없음 
,,,,,,,
배우자 ,아파트 ,경기도 성남시 중원구 은행동 은행주공아파트 건물 75.24m² ,"430,000",0,0,"430,000",변동없음 
,,,,,,,
배우자 ,상가 전세(임차)권 ,경기도 성남시 중원구 은행동 건물 139.92m² ,"30,000",0,0,"30,000",변동없음 
,,,,,,,
▶ 부동산에 관한 규정이 준용되는 권리와 자동차.건설기계.선박 및 항공기(소계) ,"9,059",0,"1,095","7,964",,,
,,,,,,,
본인 ,자동차 ,"2011년식 QM5 배기량(2,492cc) ","9,059",0,"1,095","7,964",가액변동 
,,,,,,,
▶ 예금(소계) ,"117,933","133,017","40,613","210,337",,,
,,,,,,,
본인 ,,"푸르덴셜생명보험 25,359, 주민신협 208(6 증가), 우리은행 3,090(2 증가), 신한은행 12,328(10,291 증가), 신용협동 조합중앙회 149, 농협은행 99,682(90,141 증가), (주)KEB 하나은행 228(472 감소), 국민은행 4,101(1 증가), 중원 68(2 증가), 교보생명보험 0(24,005 감소), 새마을금고중앙회 공제사업부 451(160 증가), 삼성화재해상보험 0(894 감소) ","70,432","100,922","25,690","145,664",급여저축및생활비지출등 
,,,,,,,
배우자 ,,"(주)KEB하나은행 26,360(7,479 증가), 주민신협 196, 새마을금고중앙회 공제사업부 7,120(4,680 증가), 국민은행 90, 삼성화재해상보험 1,320(720 증가), 현대해상화재보험 1,800(1,800 증가), 신한은행 3, (주)KB손해보험 3,584(742 증가), 한화손해보험 10,399(3,785 감소), 신용협동조합 중앙회 84(15 증가), 성남중앙신협 609, 농협은행 6,681 (5,003 증가), 성남동부 192(7 감소) ","41,791","27,570","10,923","58,438",
,,,,,,,
장녀 ,,"(주)KEB하나은행 9, 농협은행 143(143 증가), 신한은행 4,242(254 감소) ","4,505","3,889","4,000","4,394",
,,,,,,,
차녀 ,,"씨티은행 1,770(636 증가), 신한은행 67, (주)KEB하나은행 4 ","1,205",636,0,"1,841",
,,,,,,,
▶ 정치자금법에 따른 정치자금의 수입 및 지출을 위한 예금계좌의 예금(소계) ,"38,167",0,"20,784","17,383",,,
,,,,,,,
본인 ,,"농협은행 17,383(20,784 감소) ","38,167",0,"20,784","17,383",정치자금 지출 등 
,,,,,,,
▶ 채무(소계) ,"40,000",0,0,"40,000",,,
,,,,,,,
본인 ,,사인간채무 ,"40,000",0,0,"40,000",변동없음 
,,,,,,,
▶ 회원권(소계) ,0,"23,400",0,"23,400",,,
,,,,,,,
배우자 ,콘도미니엄 ,롯데리조트부여지분 디럭스기명 증가 ,0,"23,400",0,"23,400",분양 
,,,,,,,
총계 ,"615,159","156,417","62,492","709,084","증감액:93,925천원 (가액변동: -1,095천원) ",,
,,,,,,,
