소속 ,국회 ,직위 ,국회의원 ,성명 ,신용현 ,,
,,,,,,,
(단위 : 천원) ,,,,,,,
,,,,,,,
본인과의 관계 ,재산의 종류 ,소재지면적등권리의명세 ,종전가액 ,변동액(천원) ,현재가액 ,변동사유 ,
,,,,,,,
증가액 (실거래액) ,감소액 (실거래액) ,,,,,,
,,,,,,,
▶ 토지(소계) ,"61,817","5,682",0,"67,499",,,
,,,,,,,
배우자 ,대지 ,경상남도 창원시 진해구 대흥동 20-1번지 185.00m² 중 62.00m² ,"57,932","4,750",0,"62,682",가액변동 
,,,,,,,
배우자 ,임야 ,"충청남도 논산시 연산면 신양리 산 77번지 345,917.00m² 중 1,295.00m² ","3,885",932,0,"4,817",가액변동 
,,,,,,,
▶ 건물(소계) ,"3,379,000","166,000",0,"3,545,000",,,
,,,,,,,
본인 ,다가구주택 ,서울특별시 강남구 역삼동 대지 263.00m² 건물 586.00m² ,"1,370,000","70,000",0,"1,440,000",가액변동 
,,,,,,,
본인 ,오피스텔 전세(임차)권 ,서울특별시 서초구 방배동 방배대우디오빌 건물 39.00m² ,"10,000",0,0,"10,000",변동없음 
,,,,,,,
배우자 ,아파트 ,대전광역시 유성구 노은동 열매마을8단지 건물 129.77m² ,"314,000","10,000",0,"324,000",가액변동 
,,,,,,,
배우자 ,아파트 ,대전광역시 유성구 봉명동 유성자이 건물 122.89m² ,"335,000","6,000",0,"341,000",가액변동 
,,,,,,,
배우자 ,다가구주택 ,서울특별시 강남구 역삼동 대지 272.00m² 건물 567.00m² ,"1,350,000","80,000",0,"1,430,000",가액변동 
,,,,,,,
▶ 부동산에 관한 규정이 준용되는 권리와 자동차.건설기계.선박 및 항공기(소계) ,"33,320",0,"5,160","28,160",,,
,,,,,,,
배우자 ,자동차 ,"2014년식 K9 배기량(3,342cc) ","33,320",0,"5,160","28,160",가액변동 
,,,,,,,
▶ 예금(소계) ,"2,554,908","495,561","339,156","2,711,313",,,
,,,,,,,
본인 ,,"현대해상화재보험 2,674(539 증가), 미래에셋대우(주) 36, 중소기업은행 15,000, KB생명보험 50,000, 삼성생명보험 63,764(2,400 증가), 신한금융투자(주) 15,074(11,455 증가), 농협은행 39,388(3,370 감소), (주)KEB하나은행 30,145(10,391 감소), 국민은행 209,028(3,745 증가), 과학기술인공제회 619,021(10,894 증가), 한국산업은행 19, 구즉신협 10,292(10,292 증가) ","1,028,877","84,982","59,418","1,054,441","정기예금 만기,"
,,,,,,,건물 임차계약에 따른 보증금 등 
,,,,,,,
배우자 ,,"(주)KEB하나은행 346,615(63,378 감소), 수협은행 10,000, BNP파리바카디프생명보험 70,000(13,000 증가), 국민은행 441,410(66,452 증가), 삼성화재해상보험 200,000, 신한은행 0(11,434 감소), (주)KB손해보험 3,584(384 증가), 과학기술인공제회 490,707(106,275 증가), AIA생명보험 35,878(1,979 증가), 한화손해보험 4,094(3,782 증가), 오렌지라이프생명보험 10,577(1,174 증가), 구즉신협 10,207(10,207 증가), 교보생명보험 33,800(2,400 증가)","1,526,031","410,579","279,738","1,656,872",
,,,,,,,
,,,,,,,
▶ 정치자금법에 따른 정치자금의 수입 및 지출을 위한 예금계좌의 예금(소계) ,"90,511",0,"69,338","21,173",,,
,,,,,,,
본인 ,,"농협은행 21,173(69,338 감소) ","90,511",0,"69,338","21,173",정치자금 지출 등 
,,,,,,,
▶ 유가증권(소계) ,"10,799",0,"10,028",771,,,
,,,,,,,
본인 ,상장주식 ,"현대중공업 6주(32주 감소), 현대로보틱스 0주(8주 감소), 현대건설기계 0주(4주 감소), KT&G 0주(22주 감소), NH투자증권 0주(4주 감소), 삼성중공업 0주(28주 감소), 현대일렉트릭 0주(4주 감소) ","10,799",0,"10,028",771,주식매도및주식일부배당등 
,,,,,,,
▶ 채무(소계) ,"459,900","402,000","349,900","512,000",,,
,,,,,,,
본인 ,건물임대채무 ,서울특별시 강남구 역삼동 임대보증금 증가 ,"130,000","43,000","40,000","133,000",임차계약에 따른 보증금 
,,,,,,,
배우자 ,건물임대채무 ,대전광역시 유성구 노은동 열매마을8단지 임대보증금 증가 ,"250,000","320,000","250,000","320,000",임차계약에 따른 보증금 
,,,,,,,
배우자 ,건물임대채무 ,서울특별시 강남구 역삼동 임대보증금 감소 ,"79,900","39,000","59,900","59,000",임차계약에 따른 보증금 
,,,,,,,
▶ 회원권(소계) ,"21,600",400,0,"22,000",,,
,,,,,,,
배우자 ,골프 ,유성CC 증가 ,"21,600",400,0,"22,000",가액변동 
,,,,,,,
▶ 고지거부 및 등록제외사항(소계) ,"566,060",0,"566,060",0,,,
,,,,,,,
모 ,,고지거부 ,- ,- ,- ,- ,독립생계유지 
,,,,,,,
장남 ,,고지거부 ,"566,060",0,"566,060",0,독립생계유지 
,,,,,,,
총계 ,"6,258,115","265,643","639,842","5,883,916","증 감 액 : -374,199천원 (가액변동: 166,922천원) ",,
,,,,,,,
