소속 ,국회 ,직위 ,국회의원 ,성명 ,신창현 ,,
,,,,,,,
(단위 : 천원) ,,,,,,,
,,,,,,,
본인과의 관계 ,재산의 종류 ,소재지면적등권리의명세 ,종전가액 ,변동액(천원) ,현재가액 ,변동사유 ,
,,,,,,,
증가액 (실거래액) ,감소액 (실거래액) ,,,,,,
,,,,,,,
▶ 건물(소계) ,"1,744,000","136,500","214,000","1,666,500",,,
,,,,,,,
본인 ,아파트 전세(임차)권 ,강원도 속초시 조양동 조양1주공아파트 건물 59.99m² ,"10,000",0,0,"10,000",변동없음 
,,,,,,,
배우자 ,다세대주택 ,서울특별시 양천구 목동 대지 166.00m² 건물 344.00m² ,"446,000","16,000",0,"462,000",가액변동 
,,,,,,,
배우자 ,아파트 ,경기도 고양시 일산동구 백석동 일상요진와이시티 건물 0.00m² (건물 0.00m² 감소) ,0,0,0,0,소재지 오기 정정 
,,,,,,,
배우자 ,아파트 ,경기도 고양시 일산동구 백석동 일산요진와이시티 건물 127.86m² ,"634,000",0,0,"634,000",변동없음 
,,,,,,,
배우자 ,아파트 전세(임차)권 ,경기도 의왕시 내손동 포일자이아파트 건물 118.00m² ,"440,000",0,0,"440,000",변동없음 
,,,,,,,
장남 ,다세대주택 ,"서울특별시 마포구 합정동 대지 0.00m² 건물 0.00m² (대지 66.98m² 감소, 건물 66.98m² 감소) ","214,000",0,"214,000",0,공유지분으로 인한 변경 신고 
,,,,,,,
장남 ,다세대주택 ,"서울특별시 마포구 합정동 대지 337.50m² 중 37.50m² 건물 66.98m² 중 33.49m² (대지 지분면적 37.50m² 증가, 건물 지분면적 33.49m² 증가) ",- ,"120,500",0,"120,500",공유지분으로 인한 변경 신고 
,,,,"-120,500",,,
,,,,,,,
▶ 부동산에 관한 규정이 준용되는 권리와 자동차.건설기계.선박 및 항공기(소계) ,"70,590",0,"36,490","34,100",,,
,,,,,,,
배우자 ,자동차 ,"2011년식 그랜저 배기량(2,359cc) ","39,000",0,"28,660","10,340",가액변동 
,,,,,,,
장남 ,자동차 ,"2016년식 A3 Sportback 35 TDI 배기량(1,968cc) ","31,590",0,"7,830","23,760",가액변동 
,,,,,,,
▶ 예금(소계) ,"391,622","240,177","85,859","545,940",,,
,,,,,,,
본인 ,,"농협은행 1,024(1,024 증가), (주)KEB하나은행 1,040(671 증가), 농협중앙회 34, 라이나생명보험 3, 삼성화재해상보험 548 ",954,"1,695",0,"2,649",소득저축및보험료누적 
,,,,,,,
배우자 ,,"한화투자증권 78,690(27,372 감소), 국민은행 1,301(2 증가), 신한 은행 2,834(188 증가), 동양생명보험 16,607(8,106 증가), 삼성 생명보험 48,151(11,302 증가), 농협중앙회 78,701(71,268 증가), 삼성증권 872(366 증가), 한화손해보험 703, NH투자증권 101(21 증가), 농협은행 4,407(3,989 증가), 라이나생명보험 2,632(63 감소), 농협생명보험 12,450, MG손해보험(주) 17,628(4,011 증가) ","193,259","119,752","47,934","265,077",
,,,,,,,
장남 ,,"신한은행 1, 한화생명보험 18,228(2,280 증가), 현대해상화재보험 23,697(3,120 증가), 한국산업은행 2,070(354 감소), (주)KEB하나 은행 14,907(13,283 증가), 대신증권 84(10 증가), 키움닷컴증권 1,093(6 증가), 푸르덴셜생명보험 8,283(3,923 감소), 교보생명보험 1 ","53,942","20,769","6,347","68,364",소득저축및보험료누적 
,,,,,,,
차남 ,,"한화투자증권 67,446(23,126 증가), 농협은행 268(52 감소), 중소기업은행 43(16 증가), 삼성증권 2,124(444 감소), (주)KEB하나은행 470(1,097 감소), 신한은행 231(1 증가) ","49,032","33,738","12,188","70,582",
,,,,,,,
장녀 ,,"삼성증권 2,034(425 감소), 농협중앙회 1(6 감소), 삼성생명보험 9,572(2,876 증가), 농협은행 197(39 감소), 한국카카오은행(주) 2(2 증가), 한화투자증권 68,442(23,469 증가), 신한은행 6(3 감소) ","54,380","37,100","11,226","80,254",
,,,,,,,
삼남 ,,"한화투자증권 47,742(16,371 증가), 삼성생명보험 8,672(3,252 증가), 국민은행 0(35 감소), 삼성증권 2,034(425 감소), 농협은행 566(204 감소) ","40,055","27,123","8,164","59,014",
,,,,,,,
▶ 정치자금법에 따른 정치자금의 수입 및 지출을 위한 예금계좌의 예금(소계) ,"76,502",0,"23,400","53,102",,,
,,,,,,,
본인 ,,"농협은행 53,102(23,400 감소) ","76,502",0,"23,400","53,102",정치자금 예금 감소 
,,,,,,,
▶ 유가증권(소계) ,"118,365","40,277","38,648","119,994",,,
,,,,,,,
배우자 ,상장주식 ,"KODEX 레버리지 270주, 카카오 62주(17주 증가), 현대모비스 14주, 현대중공업 1주, 웅진에너지 5주, 영원무역홀딩스 30주, CJ CGV 170주, LG생활건강 5주, 신라젠 142주(142주 증가), 삼성SDI 133주,CJENM 128주(128주증가),CJE&M 0주(213주감소), LG이노텍100주,나노스 2,000주(1,600주감소) ","105,755","40,277","35,385","110,647",일부종목매도및평가액변동 
,,,,,,,
장남 ,상장주식 ,"카카오 75주, 선데이토즈 87주 ","12,610",0,"3,263","9,347",
,,,,,,,
▶ 채권(소계) ,"260,000",0,0,"260,000",,,
,,,,,,,
배우자 ,,사인간채권 ,"260,000",0,0,"260,000",변동없음 
,,,,,,,
▶ 채무(소계) ,"1,185,000","120,000","105,000","1,200,000",,,
,,,,,,,
배우자 ,금융기관채무 ,"신한은행 0(105,000 감소) ","105,000",0,"105,000",0,임대보증금 및 예금으로 전액 상환 
,,,,,,,
배우자 ,건물임대채무 ,서울특별시 양천구 목동 임대보증금 ,"430,000",0,0,"430,000",변동없음 
,,,,,,,
배우자 ,건물임대채무 ,경기도 고양시 일산동구 백석동 일상요진와이시티 임대보증금 증가 ,"650,000","120,000",0,"770,000",임대보증금 증가 
,,,,,,,
총계 ,"1,476,079","296,954","293,397","1,479,636","증감액:3,557천원 (가액변동: -36,161천원) ",,
,,,,,,,
