소속 ,국회 ,직위 ,국회의원 ,성명 ,심기준 ,,
,,,,,,,
(단위 : 천원) ,,,,,,,
,,,,,,,
본인과의 관계 ,재산의 종류 ,소재지면적등권리의명세 ,종전가액 ,변동액(천원) ,현재가액 ,변동사유 ,
,,,,,,,
증가액 (실거래액) ,감소액 (실거래액) ,,,,,,
,,,,,,,
▶ 토지(소계) ,"87,100",0,"87,100",0,,,
,,,,,,,
배우자 ,전 ,강원도 춘천시 동내면 고은리 328-10번지 0.00m² (396.00m² 감소) ,"78,000",0,"78,000",0,건물 항목으로 이동신고 
,,,,,,,
배우자 ,전 ,"강원도 춘천시 동내면 고은리 328-5번지 0.00m² 중 0.00m² (총면적 410.00m² 감소, 지분면적 47.00m² 감소) ","9,100",0,"9,100",0,건물 항목으로 이동신고 
,,,,,,,
▶ 건물(소계) ,"158,229","227,100","102,000","283,329",,,
,,,,,,,
본인 ,사무실 전세(임차)권 ,강원도 원주시 무실동 건물 84.74m² (건물 84.74m² 증가) ,- ,"20,000",0,"20,000",지역사무실 임대 
,,,,,,,
배우자 ,아파트 ,강원도 춘천시 신북읍 천전리 소양강 양우내안애아파트 건물 0.00m² (건물 38.11m² 감소) ,"77,000",0,"77,000",0,계약만료 
,,,,,,,
배우자 ,단독주택 전세(임차)권 ,경기도 의왕시 청계동 건물 30.00m² ,"10,000",0,0,"10,000",변동없음 
,,,,,,,
배우자 ,아파트 전세(임차)권 ,강원도 춘천시 온의동 금호3차아파트 건물 0.00m² (건물 59.88m² 감소) ,"15,000",0,"15,000",0,계약만료 
,,,,,,,
배우자 ,아파트 (분양권) ,강원도 춘천시 근화동 건물 84.95m² ,"22,802",0,0,"22,802",변동없음 
,,,,,,,
배우자 ,단독주택 ,"강원도 춘천시 동내면 고은리 대지 396.00m² 건물 75.36m² (대지 396.00m² 증가, 건물 75.36m² 증가) ",- ,"207,100",0,"207,100",건물신축 
,,,,"-207,100",,,
,,,,,,,
장남 ,아파트 전세(임차)권 ,강원도 춘천시 우두동 강변코아루아파트 건물 0.00m² (건물 119.01m² 감소) ,"10,000",0,"10,000",0,계약만료 
,,,,,,,
장남 ,아파트 (분양권) ,강원도 춘천시 근화동 건물 59.95m² ,"23,427",0,0,"23,427",변동없음 
,,,,,,,
▶ 부동산에 관한 규정이 준용되는 권리와 자동차.건설기계.선박 및 항공기(소계) ,"13,550",0,0,"13,550",,,
,,,,,,,
배우자 ,자동차 ,"2014년식 스포티지 배기량(1,995cc) ","13,550",- ,- ,"13,550",변동없음 
,,,,,,,
▶ 예금(소계) ,"191,851","123,845","124,740","190,956",,,
,,,,,,,
본인 ,,"신한은행 447(117 감소), 메리츠화재해상보험 4,184(1,793 증가), 농협은행 4,254(4,966 감소), 케이디비생명보험 5,020(1,400 증가) ","15,795","4,059","5,949","13,905",급여저축및생활비지출등 
,,,,,,,
배우자 ,,"DB손해보험(주) 320(320 증가), 스탠다드차타드은행 0(191 감소), 흥국화재해상보험(주) 2,670(508 증가), 현대해상화재보험 768(576 증가), 농협중앙회 173(1,357 감소), 우체국 33,952(6,578 증가), 한국카카오은행(주) 388(388 증가), 우리은행 20(147 감소), 신한생명보험 8,400(2,400 증가) ","37,616","11,964","2,889","46,691",급여저축및생활비지출등 
,,,,,,,
부 ,,"치악 4,070(73 증가), 농협중앙회 114,007(146 증가), 우리은행 1,318(1,318 증가) ","117,858","107,802","106,265","119,395",
,,,,,,,
장녀 ,,우리은행 5 ,5,0,0,5,
,,,,,,,
장남 ,,"신한은행 18, 농협중앙회 6,592(7,124 감소), (주)KEB하나은행 1, 우리은행 1,660(20 증가), 국민은행 2,688(2,513 감소), 농협은행 1 ","20,577",20,"9,637","10,960",
,,,,,,,
▶ 정치자금법에 따른 정치자금의 수입 및 지출을 위한 예금계좌의 예금(소계) ,"74,360",0,"32,780","41,580",,,
,,,,,,,
본인 ,,"농협은행 41,580(32,780 감소) ","74,360",0,"32,780","41,580",정치자금 지출 등 
,,,,,,,
▶ 채무(소계) ,"131,811","100,472","101,279","131,004",,,
,,,,,,,
본인 ,금융기관채무 ,"농협은행 66,826(66,826 증가) ",0,"66,826",0,"66,826",신규 채무 
,,,,,,,
배우자 ,금융기관채무 ,"스탠다드차타드은행 0(52,242 감소), 농협중앙회 57,926(27,926 증가), JB우리캐피탈 0(4,429 감소), 신한생명보험 5,720(5,720 증가) ","86,671","33,646","56,671","63,646",일부상환후재대출 
,,,,,,,
배우자 ,건물임대채무 ,강원도 춘천시 신북읍 천전리 소양강 양우내안애아파트 임대보증금 감소 ,"5,000",0,"5,000",0,계약만료로인한보증금상환 
,,,,,,,
부 ,금융기관채무 ,"농협중앙회 532(39,608 감소) ","40,140",0,"39,608",532,예금등으로일부상환 
,,,,,,,
총계 ,"393,279","250,473","245,341","398,411","증감액:5,132천원 ",,
,,,,,,,
