소속 ,국회 ,직위 ,국회의원 ,성명 ,곽상도 ,,
,,,,,,,
(단위 : 천원) ,,,,,,,
,,,,,,,
본인과의 관계 ,재산의 종류 ,소재지면적등권리의명세 ,종전가액 ,변동액(천원) ,현재가액 ,변동사유 ,
,,,,,,,
증가액 (실거래액) ,감소액 (실거래액) ,,,,,,
,,,,,,,
▶ 토지(소계) ,"78,410","6,025",0,"84,435",,,
,,,,,,,
본인 ,임야 ,"경상북도 고령군 성산면 고탄리 산 47-3번지 6,545.00m² 중 2,182.00m² ","2,183",108,0,"2,291",가액변동 
,,,,,,,
본인 ,임야 ,경상북도 고령군 성산면 고탄리 산 105-3번지 992.00m² 중 331.00m² ,463,89,0,552,가액변동 
,,,,,,,
배우자 ,대지 ,대구광역시 달성군 현풍면 대리 603-10번지 310.00m² ,"75,764","5,828",0,"81,592",가액변동 
,,,,,,,
▶ 건물(소계) ,"1,289,000","215,000","116,000","1,388,000",,,
,,,,,,,
본인 ,아파트 ,서울특별시 송파구 신천동 장미아파트 건물 141.00m² ,"784,000","192,000",0,"976,000",가액변동 
,,,,,,,
본인 ,사무실 전세(임차)권 ,대구광역시 남구 대명동 4층 건물 341.46m² ,"100,000",0,0,"100,000",변동없음 
,,,,,,,
배우자 ,단독주택 ,대구광역시 남구 대명동 대지 355.70m² 건물 341.00m² ,"289,000","23,000",0,"312,000",가액변동 
,,,,,,,
배우자 ,아파트 ,대구광역시 달성군 화원읍 명곡리 명곡미래빌 3단지 건물 0.00m² (건물 59.39m² 감소) ,"116,000",0,"116,000",0,매도 
,,,,,"-152,500",,
,,,,,,,
▶ 부동산에 관한 규정이 준용되는 권리와 자동차.건설기계.선박 및 항공기(소계) ,"53,560",0,"6,070","47,490",,,
,,,,,,,
본인 ,자동차 ,"2011년식 그랜저(GRANDEUR) 배기량(2,999cc) ","19,120",0,"2,970","16,150",가액변동 
,,,,,,,
본인 ,자동차 ,"2009년식 LS460 AWD 배기량(2,801cc) ","34,440",0,"3,100","31,340",가액변동 
,,,,,,,
▶ 현금(소계) ,"15,000",0,0,"15,000",,,
,,,,,,,
배우자 ,,현금 ,"15,000",0,0,"15,000",변동없음 
,,,,,,,
▶ 예금(소계) ,"1,981,442","1,707,205","1,629,793","2,058,854",,,
,,,,,,,
본인 ,,"신한은행 1,143,513(16,763 증가), 중소기업은행 31, 삼성생명보험 46,368, 농협은행 2,730(4,132 감소), 삼성화재해상보험 34,752(3,564 증가) ","1,211,199","1,133,071","1,116,876","1,227,394","급여, 이자, 아파트 매각 "
,,,,,,,
배우자 ,,"(주)KEB하나은행 2,500, 스탠다드차타드은행 984(3 증가), 삼성화재해상보험 278,147(30,589 증가), 신한은행 400,890(137,638 증가), 삼성증권 2,076(175 증가), 중소기업은행 550, 우리은행 146,313(107,188 감소) ","770,243","574,134","512,917","831,460",
,,,,,,,
▶ 정치자금법에 따른 정치자금의 수입 및 지출을 위한 예금계좌의 예금(소계) ,"99,811","21,011",0,"120,822",,,
,,,,,,,
본인 ,,"신한은행 5, 농협은행 120,817(21,011 증가) ","99,811","21,011",0,"120,822",정치자금 
,,,,,,,
▶ 채무(소계) ,"110,000",0,"110,000",0,,,
,,,,,,,
배우자 ,건물임대채무 ,대구광역시 달성군 화원읍 명곡리 명곡미래빌 3단지 임대보증금 감소 ,"110,000",0,"110,000",0,전세보증금 반환 
,,,,,,,
▶ 고지거부 및 등록제외사항(소계) ,0,0,0,0,,,
,,,,,,,
장남 ,,고지거부 ,- ,- ,- ,- ,독립생계유지 
,,,,,,,
장녀 ,,등록제외 ,- ,- ,- ,- ,혼인 
,,,,,,,
총계 ,"3,407,223","1,949,241","1,641,863","3,714,601","증 감 액 : 307,378천원 (가액변동: 214,955천원) ",,
,,,,,,,
