소속 ,국회 ,직위 ,국회의원 ,성명 ,심상정 ,,
,,,,,,,
(단위 : 천원) ,,,,,,,
,,,,,,,
본인과의 관계 ,재산의 종류 ,소재지면적등권리의명세 ,종전가액 ,변동액(천원) ,현재가액 ,변동사유 ,
,,,,,,,
증가액 (실거래액) ,감소액 (실거래액) ,,,,,,
,,,,,,,
▶ 건물(소계) ,"495,000","850,000",0,"1,345,000",,,
,,,,,,,
배우자 ,아파트 ,경기도 고양시 덕양구 신원동 우림필유아파트 건물 114.44m² ,"495,000",0,0,"495,000",가액변동 없음 
,,,,,,,
모 ,아파트 ,경기도 과천시 별양동 래미안슈르 건물 84.96m² (건물 84.96m² 증가) ,- ,"850,000",0,"850,000",母건물신규추가 
,,,,"-850,000",,,
,,,,,,,
▶ 부동산에 관한 규정이 준용되는 권리와 자동차.건설기계.선박 및 항공기(소계) ,"12,140",0,"2,140","10,000",,,
,,,,,,,
배우자 ,자동차 ,"2011년식 그랜드카니발디젤glx 배기량(2,199cc) ","12,140",0,"2,140","10,000",가액변동 
,,,,,,,
▶ 예금(소계) ,"84,610","47,033","42,708","88,935",,,
,,,,,,,
본인 ,,"삼성생명보험 32,874(1,976 증가), 신한은행 27, 중소기업은행 13, KB증권 2, 농협은행 12,990(19,387 감소), 고양동부 103(2 증가), 국민은행 17,025(5,060 증가) ","75,383","27,194","39,543","63,034",급여저축및생활비지출등 
,,,,,,,
배우자 ,,"국민은행 551(2,536 감소), 농협은행 719(176 감소) ","3,982",0,"2,712","1,270",
,,,,,,,
모 ,,"국민은행 4,200(4,200 증가), 우체국 2(2 증가), 신한은행 15,633(15,633 증가) ",0,"19,835",0,"19,835",
,,,,,,,
장남 ,,"신한은행 1(452 감소), 국민은행 0(1 감소), 농협은행 4,795(4 증가) ","5,245",4,453,"4,796",
,,,,,,,
▶ 정치자금법에 따른 정치자금의 수입 및 지출을 위한 예금계좌의 예금(소계) ,342,"80,891",0,"81,233",,,
,,,,,,,
본인 ,,"국민은행 81,233(80,891 증가) ",342,"80,891",0,"81,233",후원금 증가 
,,,,,,,
▶ 채무(소계) ,"227,000",0,"27,000","200,000",,,
,,,,,,,
본인 ,금융기관채무 ,"국민은행 100,000 ","100,000",0,0,"100,000",변동없음 
,,,,,,,
배우자 ,,사인간채무 ,"100,000",0,0,"100,000",변동없음 
,,,,,,,
배우자 ,금융기관채무 ,"농협은행 0(27,000 감소) ","27,000",0,"27,000",0,전액상환 
,,,,,,,
총계 ,"365,092","977,924","17,848","1,325,168","증 감 액 : 960,076천원 (가액변동: -2,140천원) ",,
,,,,,,,
