소속 ,국회 ,직위 ,국회의원 ,성명 ,심재권 ,,
,,,,,,,
(단위 : 천원) ,,,,,,,
,,,,,,,
본인과의 관계 ,재산의 종류 ,소재지면적등권리의명세 ,종전가액 ,변동액(천원) ,현재가액 ,변동사유 ,
,,,,,,,
증가액 (실거래액) ,감소액 (실거래액) ,,,,,,
,,,,,,,
▶ 건물(소계) ,"2,016,100","122,900",0,"2,139,000",,,
,,,,,,,
본인 ,빌딩 ,서울특별시 강동구 천호2동 신라빌딩 건물 0.00m² (건물 0.00m² 감소) ,0,0,0,0,
,,,,,,,
본인 ,빌딩 ,서울특별시 강동구 천호동 신라빌딩 대지 24.18m² 건물 73.16m² ,"357,550","2,450",0,"360,000",가액 변동 
,,,,,,,
배우자 ,빌딩 ,서울특별시 강동구 천호동 신라빌딩 대지 24.18m² 건물 73.16m² ,"357,550","2,450",0,"360,000",가액 변동 
,,,,,,,
배우자 ,빌딩 ,서울특별시 강동구 천호2동 신라빌딩 건물 0.00m² (건물 0.00m² 감소) ,0,0,0,0,
,,,,,,,
배우자 ,아파트 ,서울특별시 강동구 둔촌동 둔촌주공아파트 건물 99.00m² ,"651,000","118,000",0,"769,000",가액 변동 
,,,,,,,
배우자 ,아파트 전세(임차)권 ,서울특별시 강동구 천호동 래미안강동팰리스 건물 84.97m² ,"650,000",0,0,"650,000",변동 없음 
,,,,,,,
▶ 부동산에 관한 규정이 준용되는 권리와 자동차.건설기계.선박 및 항공기(소계) ,"8,800","31,997","1,800","38,997",,,
,,,,,,,
본인 ,자동차 ,"2009년식 SM5 배기량(1,800cc) ","8,000",0,"1,000","7,000",가액 변동 
,,,,,,,
배우자 ,자동차 ,"1999년식 아반떼 배기량(1,495cc) ",800,0,800,0,폐차 
,,,,,,,
배우자 ,자동차 ,"2018년식 쏘나타 하이브리드 배기량(2,000cc) 증가 ",0,"31,997",0,"31,997",자동차 매입 
,,,,,,,
▶ 예금(소계) ,"362,661","169,662","45,467","486,856",,,
,,,,,,,
본인 ,,"신한은행 27,100(4,000 증가), 중소기업은행 53,150(8,000 증가), 신용협동조합중앙회 225, 농협은행 3,109(737 증가), 국민은행 1,869(467 증가), (주)KEB하나은행 87,849(87,124 증가) ","72,974","100,328",0,"173,302",형사보상금 및 예금증가 
,,,,,,,
배우자 ,,"한국교직원공제회 132,237(12,855 증가), (주)KEB하나은행 446, 국민은행 470(455 감소), 농협중앙회 74(16 증가), 우체국 11,016, 삼성생명보험 30,000, 우리은행 128(779 감소), 한화생명보험 9,528, 오렌지라이프생명보험 16,800, 신용협동조합중앙회 1, 농협생명보험 9,316(924 증가) ","197,455","13,910","1,349","210,016",
,,,,,,,
장남 ,,"신한은행 2(1,212 감소), 중소기업은행 0(1,010 감소), 신영증권 844(844 증가), 농협중앙회 1, (주)KEB하나은행 1,440(37,967 감소), 우리은행 50,600(1,290 증가), 국민은행 8,538(7,248 증가), (주)키움예스저축 41,572(41,572 증가), 키움닷컴증권 541(541 증가) ","92,232","55,424","44,118","103,538",
,,,,,,,
▶ 정치자금법에 따른 정치자금의 수입 및 지출을 위한 예금계좌의 예금(소계) ,"39,840",0,"33,242","6,598",,,
,,,,,,,
본인 ,,"농협중앙회 6,598(33,242 감소) ","39,840",0,"33,242","6,598",정치자금 계좌 잔액 감소 
,,,,,,,
▶ 유가증권(소계) ,657,"4,808",0,"5,465",,,
,,,,,,,
본인 ,상장주식 ,현대아산 50주 ,657,"1,273",0,"1,930",주식매입등 
,,,,,,,
장남 ,상장주식 ,"야스 45주(45주 증가), 제이와이피엔터 80주(80주 증가), 정다운 129주(129주 증가) ",0,"3,535",0,"3,535",
,,,,,,,
총계 ,"2,428,058","329,367","80,509","2,676,916","증 감 액 : 248,858천원 (가액변동: 123,173천원) ",,
,,,,,,,
