,국회 ,직위 ,국회의원 ,성명 ,심재철 ,,
,,,,,,,
(단위 : 천원) ,,,,,,,
,,,,,,,
본인과의 관계 ,재산의 종류 ,소재지면적등권리의명세 ,종전가액 ,변동액(천원) ,현재가액 ,변동사유 ,
,,,,,,,
증가액 (실거래액) ,감소액 (실거래액) ,,,,,,
,,,,,,,
▶ 건물(소계) ,"7,764,153","665,730",0,"8,429,883",,,
,,,,,,,
본인 ,사무실 ,서울특별시 중구 수표동 대지 358.00m² 건물 430.62m² ,"4,536,397","387,806",0,"4,924,203",가액변동 
,,,,,,,
본인 ,사무실 전세(임차)권 ,경기도 안양시 동안구 호계동 성욱빌딩 건물 205.11m² ,"30,000",0,0,"30,000",변동없음 
,,,,,,,
본인 ,사무실 ,서울특별시 중구 수표동 대지 253.20m² 건물 152.06m² ,"2,868,756","270,924",0,"3,139,680",가액변동 
,,,,,,,
배우자 ,아파트 ,경기도 안양시 동안구 호계동 현대홈타운 건물 126.00m² ,"324,000","7,000",0,"331,000",가액변동 
,,,,,,,
배우자 ,상가 전세(임차)권 ,경기도 고양시 일산서구 대화동 건물 126.99m² ,"5,000",0,0,"5,000",변동없음 
,,,,,,,
▶ 부동산에 관한 규정이 준용되는 권리와 자동차.건설기계.선박 및 항공기(소계) ,"16,770","3,000","1,894","17,876",,,
,,,,,,,
본인 ,자동차 ,"2011년식 에쿠스 신형 배기량(3,500cc) ","16,770",0,"1,894","14,876",가액변동 
,,,,,,,
본인 ,자동차 ,"2018년식 EQ900 배기량(3,778cc) 증가 ",0,"3,000",0,"3,000",보증금 
,,,,,,,
▶ 예금(소계) ,"158,023","25,180","20,796","162,407",,,
,,,,,,,
본인 ,,"우리은행 100(5,782 감소), 농협은행 2,680(1,942 증가), 국민은행 820(14,779 감소) ","22,219","2,177","20,796","3,600",잔액변동 
,,,,,,,
배우자 ,,"삼성생명보험 4,716, 한화생명보험 12,432 ","17,148",0,0,"17,148",
,,,,,,,
장녀 ,,"국민은행 27,105(15,255 증가), 교보생명보험 114,554(7,748 증가) ","118,656","23,003",0,"141,659",
,,,,,,,
▶ 정치자금법에 따른 정치자금의 수입 및 지출을 위한 예금계좌의 예금(소계) ,266,"26,686",0,"26,952",,,
,,,,,,,
본인 ,,"국민은행 26,952(26,686 증가) ",266,"26,686",0,"26,952",후원금 모금으로 인한 정치자금 잔액 변동 
,,,,,,,
▶ 유가증권(소계) ,"29,000",0,0,"29,000",,,
,,,,,,,
배우자 ,비상장주식 ,"(주)문예당 2,900주 ","29,000",0,0,"29,000",
,,,,,,,
▶ 채권(소계) ,"550,000",0,0,"550,000",,,
,,,,,,,
배우자 ,,사인간채권 ,"550,000",0,0,"550,000",
,,,,,,,
▶ 채무(소계) ,"2,536,756","849,240","990,399","2,395,597",,,
,,,,,,,
본인 ,금융기관채무 ,"우리은행 1,040,000(340,000 증가), 농협중앙회 0(140,000 감소) ","840,000","340,000","140,000","1,040,000",채무종류정정및상환 
,,,,,,,
본인 ,건물임대채무 ,서울특별시 중구 수표동 임대보증금 ,"360,250",0,0,"360,250",변동없음 
,,,,,,,
본인 ,기타 ,우리은행 감소 ,"340,000",0,"340,000",0,채무종류 정정 
,,,,,,,
배우자 ,금융기관채무 ,"(주)KEB하나은행 0(2,775 감소), 국민은행 873,237(7,624 감소), 삼성생명보험 3,400, 한화생명보험 10,120 ","897,156","500,000","510,399","886,757",상환 
,,,,,,,
장녀 ,금융기관채무 ,"교보생명보험 108,590(9,240 증가) ","99,350","9,240",0,"108,590",대출 
,,,,,,,
총계 ,"5,981,456","-128,644","-967,709","6,820,521","증 감 액 : 839,065천원 (가액변동: 663,836천원) ",,
,,,,,,,
