소속 ,국회 ,직위 ,국회의원 ,성명 ,안규백 ,,
,,,,,,,
(단위 : 천원) ,,,,,,,
,,,,,,,
본인과의 관계 ,재산의 종류 ,소재지면적등권리의명세 ,종전가액 ,변동액(천원) ,현재가액 ,변동사유 ,
,,,,,,,
증가액 (실거래액) ,감소액 (실거래액) ,,,,,,
,,,,,,,
▶ 건물(소계) ,"582,000",0,0,"582,000",,,
,,,,,,,
본인 ,상가 전세(임차)권 ,서울특별시 동대문구 청량리동 미주상가 건물 95.00m² ,"30,000",0,0,"30,000",변동없음 
,,,,,,,
배우자 ,아파트 ,서울특별시 동대문구 이문동 이문e편한세상아파트 건물 132.47m² ,"552,000",0,0,"552,000",변동없음 
,,,,,,,
▶ 부동산에 관한 규정이 준용되는 권리와 자동차.건설기계.선박 및 항공기(소계) ,"11,180","29,370",550,"40,000",,,
,,,,,,,
본인 ,자동차 ,"2017년식 카니발 배기량(2,200cc) 증가 ",0,"29,370",0,"29,370",서울시당 차량 
,,,,,,,
배우자 ,자동차 ,"2011년식 k7 배기량(2,700cc) ","11,180",0,550,"10,630",가액변동 
,,,,,,,
▶ 예금(소계) ,"3,719,448","628,724","489,338","3,858,834",,,
,,,,,,,
본인 ,,"현대해상화재보험 889,614(1,702 증가), 농협생명보험 158,900 (3,600 증가), 신한금융투자(주) 768,953(4,778 감소), 농협은행 431,569(95,096 증가), 더케이손해보험(주) 23,500(6,000 증가) ","2,170,916","115,162","13,542","2,272,536",급여저축으로 예금증가 
,,,,,,,
배우자 ,,"한국교직원공제회 148,400(14,410 증가), DB손해보험(주) 33,390 (6,890 증가), 현대해상화재보험 29,849(5,169 증가), 신한은행 507,345(26,148 감소), 우체국 11,256, 동양생명보험 16,005 (2,400 증가), 삼성생명보험 100,000, 메트라이프생명보험 56,500 (6,000 증가), 한화생명보험 4,548, 우리은행 3,839(3 증가), 신한생명보험 273,215(6,415 증가), 농협은행 10,910(62 감소), 교보생명보험 100,000, 농협생명보험 100,000, 미래에셋생명보험 35,640(4,080 증가), 더케이손해보험(주) 35,500(6,000 증가) ","1,441,240","492,048","466,891","1,466,397",
,,,,,,,
삼남 ,,"중소기업은행 43, 더케이손해보험(주) 14,100(3,600 증가), 우리은행 8,921(419 증가) ","19,045","12,519","8,500","23,064",
,,,,,,,
장남 ,,"신한은행 1(272 감소), 중소기업은행 1,795(1,795 증가), 한화생명 보험 36,000, 흥국생명보험 13,920, 우리은행 8,314, (주)KEB하나 은행 100, 더케이손해보험(주) 14,100(3,600 증가), 농협은행 572 ","69,679","5,395",272,"74,802",
,,,,,,,
차남 ,,"중소기업은행 10(15 감소), 더케이손해보험(주) 14,100(3,600 증가), 국민은행 5(79 감소), 우리은행 7,920, 신한은행 0(39 감소) ","18,568","3,600",133,"22,035",
,,,,,,,
▶ 정치자금법에 따른 정치자금의 수입 및 지출을 위한 예금계좌의 예금(소계) ,"456,722","181,130",0,"637,852",,,
,,,,,,,
본인 ,,"농협은행 637,852(181,130 증가) ","456,722","181,130",0,"637,852",정치자금 증가 
,,,,,,,
▶ 유가증권(소계) ,"275,062","2,919","7,366","270,615",,,
,,,,,,,
본인 ,상장주식 ,"WRAP TIGER 코스 966주, WRAP KODEX 200 574주, WRAP KODEX 코스 604주 ","41,186",0,"7,366","33,820",평가액 감소 
,,,,,,,
본인 ,국채 ,"브라질국채(2023만기) 749,955주(68,955주 증가) ","233,876","2,919",0,"236,795",
,,,,,,,
▶ 채무(소계) ,"58,588",0,"28,360","30,228",,,
,,,,,,,
본인 ,금융기관채무 ,"삼성카드 30,228(28,360 감소) ","58,588",0,"28,360","30,228",일부 상환 
,,,,,,,
총계 ,"4,985,824","842,143","468,894","5,359,073","증 감 액 : 373,249천원 (가액변동: -7,916천원) ",,
,,,,,,,
