소속 ,국회 ,직위 ,국회의원 ,성명 ,안민석 ,,
,,,,,,,
(단위 : 천원) ,,,,,,,
,,,,,,,
본인과의 관계 ,재산의 종류 ,소재지면적등권리의명세 ,종전가액 ,변동액(천원) ,현재가액 ,변동사유 ,
,,,,,,,
증가액 (실거래액) ,감소액 (실거래액) ,,,,,,
,,,,,,,
▶ 토지(소계) ,"4,879",443,0,"5,322",,,
,,,,,,,
배우자 ,대지 ,경상북도 봉화군 소천면 임기리 1423-1번지 623.00m² ,"4,797",436,0,"5,233",가액변동 
,,,,,,,
배우자 ,임야 ,경상북도 봉화군 소천면 임기리 1430번지 175.00m² ,82,7,0,89,가액변동 
,,,,,,,
▶ 건물(소계) ,"395,000","284,000",0,"679,000",,,
,,,,,,,
배우자 ,아파트 ,경기도 오산시 수청동 물향기마을휴먼시아꿈에그린 건물 123.00m² ,"253,000",0,0,"253,000",변동없음 
,,,,,,,
배우자 ,다가구주택 전세(임차)권 ,서울특별시 성동구 성수동2가 건물 63.68m² (건물 63.68m² 증가) ,- ,"280,000",0,"280,000",신규 임차 
,,,,,,,
부 ,단독주택 ,경기도 오산시 은계동 대지 248.00m² 건물 171.00m² ,"142,000","4,000",0,"146,000",가액변동 
,,,,,,,
▶ 부동산에 관한 규정이 준용되는 권리와 자동차.건설기계.선박 및 항공기(소계) ,"9,710",0,"1,280","8,430",,,
,,,,,,,
본인 ,자동차 ,"2011년식 쏘나타 배기량(2,000cc) ","9,710",0,"1,280","8,430",가액변동 
,,,,,,,
▶ 예금(소계) ,"426,790","193,705","120,829","499,666",,,
,,,,,,,
본인 ,,"푸르덴셜생명보험 49,253(3,417 증가), 오산 118(2 증가), 미래에셋생명보험 29,200(29,200 증가), 농협은행 36,484 (8,624 증가), 새오산신협 117(2 증가), 메트라이프생명보험 3,800, 국민은행 7,964(49 감소), PCA생명보험 0(26,800 감소) ","112,540","52,745","38,349","126,936",급여저축 등 
,,,,,,,
배우자 ,,"(주)KEB하나은행 9,211(3,371 감소), 현대해상화재보험 4,686 (1,342 증가), 국민은행 10, 농협중앙회 12,262(7,607 증가), 삼성생명보험 138,149(16,434 증가), 씨티은행 3, 농협은행 1,015(803 증가), 우리은행 3,094(10,259 감소), 오산제일신협 32(1 증가), 새오산신협 30,000 ","185,905","65,021","52,464","198,462",
,,,,,,,
부 ,,"농협은행 0(45 감소), 국민은행 1, 농협중앙회 20(20 증가), 오산제일신협 18 ",64,20,45,39,
,,,,,,,
모 ,,"오산제일신협 11, 농협중앙회 11,006(3,006 증가) ","8,011","11,006","8,000","11,017",
,,,,,,,
장녀 ,,"(주)KEB하나은행 3,596(474 증가), 농협중앙회 50,222(23,184 증가), 씨티은행 58(50 증가), 농협은행 1,093(351 증가), 삼성생명보험 7,714(2,436 증가), 현대해상화재보험 4,581(567 증가), 우리은행 31,000(10,114 증가), 한국카카오은행(주) 505(505 증가) ","61,088","59,649","21,968","98,769",급여저축 등 
,,,,,,,
장남 ,,"중소기업은행 2,300(1,197 증가), 신한은행 2,407(1,207 증가), 농협중앙회 53,541(845 증가), (주)KEB하나은행 3,994(912 증가), 국민은행 2,201(1,100 증가) ","59,182","5,264",3,"64,443",
,,,,,,,
▶ 정치자금법에 따른 정치자금의 수입 및 지출을 위한 예금계좌의 예금(소계) ,"210,966",0,"169,910","41,056",,,
,,,,,,,
본인 ,,"농협은행 41,056(169,910 감소) ","210,966",0,"169,910","41,056",후원금 감소 
,,,,,,,
▶ 채무(소계) ,"120,000",0,"40,000","80,000",,,
,,,,,,,
본인 ,,사인간채무 ,"40,000",0,0,"40,000",변동없음 
,,,,,,,
본인 ,금융기관채무 ,"농협은행 40,000(40,000 감소) ","80,000",0,"40,000","40,000",급여 등으로 상환 
,,,,,,,
총계 ,"927,345","478,148","252,019","1,153,474","증 감 액 : 226,129천원 (가액변동: 3,163천원) ",,
,,,,,,,
