소속 ,국회 ,직위 ,국회의원 ,성명 ,안상수 ,,
,,,,,,,
(단위 : 천원) ,,,,,,,
,,,,,,,
본인과의 관계 ,재산의 종류 ,소재지면적등권리의명세 ,종전가액 ,변동액(천원) ,현재가액 ,변동사유 ,
,,,,,,,
증가액 (실거래액) ,감소액 (실거래액) ,,,,,,
,,,,,,,
▶ 토지(소계) ,"93,600",0,"93,600",0,,,
,,,,,,,
본인 ,전 ,인천광역시 강화군 길상면 온수리 396-8번지 0.00m² (772.00m² 감소) ,"93,600",0,"93,600",0,건물항목에합산신고 
,,,,,,,
▶ 건물(소계) ,"1,690","94,430",0,"96,120",,,
,,,,,,,
본인 ,단독주택 ,충청남도 서산시 지곡면 중왕리 건물 41.00m² ,"1,690",56,0,"1,746",가액 변동 
,,,,,,,
본인 ,기타 ,"인천광역시 강화군 길상면 온수리 대지 772.00m² 건물 18.00m² (대지 772.00m² 증가, 건물 18.00m² 증가) ",- ,"94,374",0,"94,374",토지 항목에서 이동 신고 
,,,,"-94,374",,,
,,,,,,,
▶ 현금(소계) ,"30,000","30,000",0,"60,000",,,
,,,,,,,
본인 ,,현금 증가 ,"30,000","30,000",0,"60,000",추가 보유 
,,,,,,,
▶ 예금(소계) ,"134,371","12,081","115,093","31,359",,,
,,,,,,,
본인 ,,"신한은행 410(10 증가), 삼성생명보험 3,273, 우리은행 3, 새마을금고 2,189(39 증가), 농협은행 24,695(102,847 감소), 씨티은행 5, 국민은행 178(265 감소), 농협중앙회 606(51 증가) ","134,371","12,081","115,093","31,359",생활비지출및채무상환등 
,,,,,,,
▶ 정치자금법에 따른 정치자금의 수입 및 지출을 위한 예금계좌의 예금(소계) ,"63,684",0,"28,305","35,379",,,
,,,,,,,
본인 ,,"농협은행 35,379(28,305 감소) ","63,684",0,"28,305","35,379",정치자금 지출 등 
,,,,,,,
▶ 채권(소계) ,"360,000","80,000",0,"440,000",,,
,,,,,,,
본인 ,,사인간채권 증가 ,"360,000","80,000",0,"440,000",예금 등으로 대여 
,,,,,,,
▶ 채무(소계) ,"392,999",0,"72,000","320,999",,,
,,,,,,,
본인 ,,사인간채무 감소 ,"70,000",0,"70,000",0,예금등으로전액상환 
,,,,,,,
본인 ,금융기관채무 ,"신한은행 68,000, 농협은행 100,000, 국민은행 47,999(2,000 감소), 농협중앙회 105,000 ","322,999",0,"2,000","320,999",예금등으로일부상환 
,,,,,,,
▶ 회원권(소계) ,"13,000",0,0,"13,000",,,
,,,,,,,
본인 ,콘도미니엄 ,보광휘닉스파크콘도미니엄,"13,000",- ,- ,"13,000",변동없음 
,,,,,,,
총계 ,"303,346","216,511","164,998","354,859","증감액:51,513천원 (가액변동: 56천원) ",,
,,,,,,,
