소속 ,국회 ,직위 ,국회의원 ,성명 ,안호영 ,,
,,,,,,,
(단위 : 천원) ,,,,,,,
,,,,,,,
본인과의 관계 ,재산의 종류 ,소재지면적등권리의명세 ,종전가액 ,변동액(천원) ,현재가액 ,변동사유 ,
,,,,,,,
증가액 (실거래액) ,감소액 (실거래액) ,,,,,,
,,,,,,,
▶ 토지(소계) ,"177,153","10,546",0,"187,699",,,
,,,,,,,
본인 ,전 ,"전라북도 진안군 동향면 능금리 1407번지 1,666.00m² ","11,095",650,0,"11,745",가액변동 
,,,,,,,
배우자 ,대지 ,전라북도 진안군 상전면 192-11번지 595.00m² ,"16,422",714,0,"17,136",가액변동 
,,,,,,,
부 ,임야 ,"전라북도 진안군 동향면 1835-2번지 1,683.00m² ","3,769",236,0,"4,005",가액변동 
,,,,,,,
부 ,전 ,"전라북도 진안군 동향면 1835-1번지 2,579.00m² ","13,539",800,0,"14,339",가액변동 
,,,,,,,
부 ,전 ,전라북도 진안군 동향면 1852번지 282.00m² ,"1,658",96,0,"1,754",가액변동 
,,,,,,,
부 ,답 ,"전라북도 진안군 동향면 2450-3번지 3,398.10m² ","31,262","1,699",0,"32,961",가액변동 
,,,,,,,
부 ,답 ,"전라북도 진안군 동향면 2345번지 2,349.00m² ","25,134","1,409",0,"26,543",가액변동 
,,,,,,,
부 ,답 ,"전라북도 진안군 동향면 2346-2번지 1,928.00m² ","19,665",964,0,"20,629",가액변동 
,,,,,,,
부 ,답 ,"전라북도 진안군 동향면 2347번지 1,660.00m² ","17,762",498,0,"18,260",가액변동 
,,,,,,,
부 ,답 ,전라북도 진안군 동향면 1309-9번지 793.00m² ,"7,295",476,0,"7,771",가액변동 
,,,,,,,
부 ,도로 ,전라북도 진안군 동향면 능금리 1327-2번지 33.00m² 중 8.25m² ,24,2,0,26,가액변동 
,,,,,,,
부 ,답 ,전라북도 진안군 동향면 능금리 1399번지 387.00m² 중 193.00m² ,"1,059",85,0,"1,144",가액변동 
,,,,,,,
부 ,답 ,"전라북도 진안군 동향면 능금리 1423번지 2,536.00m² 중 634.00m² ","2,681",133,0,"2,814",가액변동 
,,,,,,,
부 ,전 ,전라북도 진안군 동향면 능금리 1831번지 645.00m² 중 322.00m² ,"1,642",96,0,"1,738",가액변동 
,,,,,,,
부 ,임야 ,"전라북도 진안군 동향면 능금리 139번지 20,430.00m² 중 6,810.00m² ","4,065",415,0,"4,480",가액변동 
,,,,,,,
부 ,임야 ,"전라북도 진안군 동향면 능금리 산 84번지 31,438.00m² 중 10,479.00m² ","3,562",315,0,"3,877",가액변동 
,,,,,,,
부 ,임야 ,"전라북도 진안군 동향면 산 186번지 35,603.00m² ","16,519","1,958",0,"18,477",가액변동 
,,,,,,,
▶ 건물(소계) ,"449,441","8,669","8,000","450,110",,,
,,,,,,,
본인 ,오피스텔 전세(임차)권 ,서울특별시 영등포구 영등포동8가 건물 25.34m² ,"10,000",0,0,"10,000",변동없음 
,,,,,,,
본인 ,사무실 전세(임차)권 ,전라북도 완주군 봉동읍 둔산리 건물 156.37m² ,"10,000",0,0,"10,000",변동없음 
,,,,,,,
배우자 ,상가 ,전라북도 전주시 덕진구 우아동2가 대지 280.10m² 건물 190.80m² ,"244,612","5,485",0,"250,097",가액변동 
,,,,,,,
배우자 ,아파트 ,전라북도 완주군 봉동읍 둔산리 모아엘가아파트 건물 69.85m² ,"146,000",0,"8,000","138,000",가액변동 
,,,,,,,
부 ,단독주택 ,전라북도 진안군 동향면 능금리 대지 674.00m² 건물 143.60m² ,"10,800","1,400",0,"12,200",가액변동 
,,,,,,,
부 ,창고 ,전라북도 진안군 동향면 능금리 대지 136.73m² 건물 136.73m² ,"28,029","1,784",0,"29,813",가액변동 
,,,,,,,
▶ 부동산에 관한 규정이 준용되는 권리와 자동차.건설기계.선박 및 항공기(소계) ,"33,888",0,"11,178","22,710",,,
,,,,,,,
배우자 ,자동차 ,"2018년식 투싼 배기량(1,685cc) ","29,088",0,"6,378","22,710",가액변동 
,,,,,,,
부 ,자동차 ,"2007년식 봉고3 1톤 배기량(2,497cc) 감소 ","4,800",0,"4,800 (900) ",0,사고로 인한 폐차 
,,,,,,,
▶ 예금(소계) ,"727,168","270,955","215,742","782,381",,,
,,,,,,,
본인 ,,"푸르덴셜생명보험 155,255(8,934 증가), 하나금융투자 5,787 (178 증가), 전북은행 151(52 증가), 삼성생명보험 54,048 (4,874 증가), 신한은행 2, 신한금융투자(주) 913(4 증가), 메트라이프생명보험 27,000, 한화생명보험 29,814(3,614 증가), 농협중앙회 10,054(7,697 감소), 동양생명보험 2,767, DB손해보험(주) 0(2,587 감소), 교보생명보험 23,617(1,410 증가), 스탠다드차타드은행 1,535(1 증가), 삼성화재해상보험 5,900(1,200 증가) ","306,860","27,386","17,403","316,843","급여저축, 생활비 지출 등으로 인한예금증가 "
,,,,,,,
배우자 ,,"한국교직원공제회 107,379(12,839 증가), (주)KEB하나은행 2, 현대해상화재보험 1,749(700 증가), 농협중앙회 80(22 감소), 농협은행 217,782(48,958 증가), 새마을금고 41, 한국투자증권 43,117(4,989 감소), 미래에셋생명보험 8,294(376 증가) ","320,582","165,348","107,486","378,444",
,,,,,,,
부 ,,"SK증권 112(1 증가), 농협은행 0(8,481 감소), 산림조합중앙회 30 (1 증가), 우체국 417(204 증가), 농협중앙회 48,989(12,334 감소) ","70,157","43,177","63,786","49,548",
,,,,,,,
모 ,,"농협은행 0(3,568 감소), 농협중앙회 34,622(10,740 증가) ","27,450","34,239","27,067","34,622",
,,,,,,,
장녀 ,,"(주)KEB하나은행 243(79 증가), 농협은행 880(240 증가) ",804,319,0,"1,123",
,,,,,,,
장남 ,,"농협중앙회 2, 국민은행 32(5 증가), 농협은행 880(240 증가) ",669,245,0,914,
,,,,,,,
차남 ,,"농협은행 880(240 증가), 국민은행 3(1 증가), 농협중앙회 4 ",646,241,0,887,
,,,,,,,
▶ 정치자금법에 따른 정치자금의 수입 및 지출을 위한 예금계좌의 예금(소계) ,"152,119","21,143",0,"173,262",,,
,,,,,,,
본인 ,,"농협중앙회 173,262(21,143 증가) ","152,119","21,143",0,"173,262",후원회 기부금 
,,,,,,,
▶ 채무(소계) ,"295,423",0,"7,140","288,283",,,
,,,,,,,
본인 ,금융기관채무 ,"국민은행 148,283(7,140 감소) ","155,423",0,"7,140","148,283",채무일부상환 
,,,,,,,
배우자 ,건물임대채무 ,전라북도 전주시 덕진구 우아동2가 임대보증금 ,"140,000",0,0,"140,000",변동없음 
,,,,,,,
총계 ,"1,244,346","311,313","227,780","1,327,879","증감액:83,533천원 (가액변동: 4,837천원) ",,
,,,,,,,
