소속 ,국회 ,직위 ,국회의원 ,성명 ,어기구 ,,
,,,,,,,
(단위 : 천원) ,,,,,,,
,,,,,,,
본인과의 관계 ,재산의 종류 ,소재지면적등권리의명세 ,종전가액 ,변동액(천원) ,현재가액 ,변동사유 ,
,,,,,,,
증가액 (실거래액) ,감소액 (실거래액) ,,,,,,
,,,,,,,
▶ 토지(소계) ,"109,939","6,938",0,"116,877",,,
,,,,,,,
부 ,대지 ,"강원도 속초시 장사동 산 44번지 1,650.00m² ","63,195","6,765",0,"69,960",공시가액 변동 
,,,,,,,
부 ,잡종지 ,충청남도 당진시 송악읍 고대리 194-1159번지 173.00m² ,"46,744",173,0,"46,917",공시가액 변동 
,,,,,,,
▶ 건물(소계) ,"286,000",0,"2,000","284,000",,,
,,,,,,,
배우자 ,아파트 전세(임차)권 ,충청남도 당진시 원당동 원당마을아파트 건물 59.10m² ,"30,000",0,0,"30,000",변동 없음 
,,,,,,,
부 ,단독주택 ,충청남도 당진시 송악읍 고대리 대지 938.00m² 건물 189.00m² ,"256,000",0,"2,000","254,000",공시가액 감소 
,,,,,,,
▶ 부동산에 관한 규정이 준용되는 권리와 자동차.건설기계.선박 및 항공기(소계) ,"18,500",0,"2,230","16,270",,,
,,,,,,,
배우자 ,자동차 ,"2017년식 쏘나타 배기량(1,999cc) ","18,500",0,"2,230","16,270",감가상각비 
,,,,,,,
▶ 예금(소계) ,"86,173","37,101","23,431","99,843",,,
,,,,,,,
본인 ,,"미래에셋생명보험 3,681(413 증가), 농협은행 17,344(1,162 감소), 국민은행 16,107(1,168 증가), (주)KEB하나은행 6,651(6,643 증가), 케이디비생명보험 11,232, 당진 32 ","47,985","19,441","12,379","55,047",급여소득 
,,,,,,,
배우자 ,,"흥국화재해상보험(주) 17,195(1,912 증가), 국민은행 34(3 감소), 우리은행 194(42 감소), 농협은행 0(1 감소), 교보생명보험 3,830(1,768 증가) ","17,619","3,680",46,"21,253",
,,,,,,,
부 ,,"당진 826(253 감소), 농협중앙회 1,772(5 증가), 당진신협 204(3 증가) ","3,047",8,253,"2,802",
,,,,,,,
모 ,,"국민은행 0(60 감소), 농협은행 13, 당진 3,360(2,502 증가), 당진신협 2,726(9,010 감소), 당진신협 10,000(10,000 증가) ","12,667","13,492","10,060","16,099",
,,,,,,,
장남 ,,"중소기업은행 70, 신한은행 1, 우리은행 2,281(240 증가), 국민은행 2, 농협은행 8(267 감소) ","2,389",240,267,"2,362",
,,,,,,,
장녀 ,,"(주)KEB하나은행 0(426 감소), 우리은행 2,280(240 증가) ","2,466",240,426,"2,280",
,,,,,,,
▶ 정치자금법에 따른 정치자금의 수입 및 지출을 위한 예금계좌의 예금(소계) ,"72,352",0,"62,885","9,467",,,
,,,,,,,
본인 ,,"농협중앙회 9,467(62,885 감소) ","72,352",0,"62,885","9,467",후원금 감소 
,,,,,,,
▶ 채무(소계) ,"228,655","2,031","42,519","188,167",,,
,,,,,,,
배우자 ,금융기관채무 ,"삼성카드 2,956(6,854 감소) ","9,810",0,"6,854","2,956",일부 상환 
,,,,,,,
부 ,금융기관채무 ,"농협중앙회 185,211(28,384 감소) ","213,595","2,031","30,415","185,211",생활비소비 
,,,,,,,
모 ,금융기관채무 ,"KB국민카드 0(5,250 감소) ","5,250",0,"5,250",0,전부 변제 
,,,,,,,
총계 ,"344,309","42,008","48,027","338,290","증감액:-6,019천원 (가액변동: 2,708천원) ",,
,,,,,,,
