소속 ,국회 ,직위 ,국회의원 ,성명 ,엄용수 ,,
,,,,,,,
(단위 : 천원) ,,,,,,,
,,,,,,,
본인과의 관계 ,재산의 종류 ,소재지면적등권리의명세 ,종전가액 ,변동액(천원) ,현재가액 ,변동사유 ,
,,,,,,,
증가액 (실거래액) ,감소액 (실거래액) ,,,,,,
,,,,,,,
▶ 토지(소계) ,"399,619","226,180","212,200","413,599",,,
,,,,,,,
본인 ,답 ,경상남도 밀양시 교동 37-4번지 202.00m² ,"9,292","1,555",0,"10,847",가액변동 
,,,,,,,
본인 ,전 ,경상남도 밀양시 교동 37-5번지 314.00m² ,"14,444","2,417",0,"16,861",가액변동 
,,,,,,,
본인 ,답 ,경상남도 밀양시 교동 38-1번지 238.00m² ,"10,948","1,832",0,"12,780",가액변동 
,,,,,,,
본인 ,전 ,경상남도 밀양시 교동 38-2번지 357.00m² ,"16,422","2,748",0,"19,170",가액변동 
,,,,,,,
본인 ,답 ,경상남도 밀양시 교동 41-1번지 200.00m² (815.00m² 감소) ,"60,900",0,"46,900","14,000",일부 매도 
,,,,,,,
본인 ,임야 ,"경상남도 밀양시 교동 산 3-6번지 0.00m² (83,203.00m² 감소) ","158,085",0,"158,085",0,지번분할로 인한 소유권상실처리 
,,,,,"-158,085",,
,,,,,,,
본인 ,임야 ,"경상남도 밀양시 교동 산 4번지 0.00m² (1,884.00m² 감소) ","7,215",0,"7,215",0,지번분할로 인한 소유권상실처리 
,,,,,"-7,215",,
,,,,,,,
본인 ,구거 ,경상남도 밀양시 교동 34-2번지 120.00m² 중 60.00m² ,"1,188",198,0,"1,386",가액변동 
,,,,,,,
본인 ,묘지 ,경상남도 밀양시 교동 50-1번지 100.00m² ,293,19,0,312,가액변동 
,,,,,,,
본인 ,대지 ,경상남도 밀양시 교동 37-3번지 268.00m² ,"26,478","4,395",0,"30,873",가액변동 
,,,,,,,
본인 ,임야 ,"경상남도 밀양시 교동 산 4번지 1,413.00m² (1,413.00m² 증가) ",- ,"5,849",0,"5,849",지번분할로 인한 재등록 
,,,,"-5,849",,,
,,,,,,,
본인 ,임야 ,경상남도 밀양시 교동 산 4-1번지 471.00m² (471.00m² 증가) ,- ,"1,949",0,"1,949",지번분할로 인한 재등록 
,,,,"-1,949",,,
,,,,,,,
본인 ,임야 ,"경상남도 밀양시 교동 산 3-6번지 82,758.00m² (82,758.00m² 증가) ",- ,"167,171",0,"167,171",지번분할로 인한 재등록 
,,,,"-167,171",,,
,,,,,,,
본인 ,임야 ,경상남도 밀양시 교동 산 3-13번지 363.00m² (363.00m² 증가) ,- ,733 (733) ,0,733,지번분할로 인한 재등록 
,,,,,,,
배우자 ,답 ,"경상남도 밀양시 부북면 후사포리 157번지 1,081.00m² 중 540.50m² ","14,485","8,864",0,"23,349",가액변동 
,,,,,,,
배우자 ,답 ,경상남도 밀양시 부북면 후사포리 158번지 998.00m² 중 499.00m² ,"13,373","8,183",0,"21,556",가액변동 
,,,,,,,
배우자 ,전 ,"경상남도 밀양시 부북면 후사포리 160번지 1,408.00m² 중 704.00m² ","18,867","11,545",0,"30,412",가액변동 
,,,,,,,
배우자 ,전 ,경상남도 밀양시 부북면 후사포리 161-2번지 707.00m² 중 353.50m² ,"9,473","5,798",0,"15,271",가액변동 
,,,,,,,
배우자 ,답 ,경상남도 밀양시 용평동 670-1번지 164.00m² 중 41.00m² ,"1,980",152,0,"2,132",가액변동 
,,,,,,,
배우자 ,답 ,경상남도 밀양시 용평동 670-3번지 749.00m² ,"36,176","2,772",0,"38,948",가액변동 
,,,,,,,
▶ 건물(소계) ,"324,400","12,800","15,000","322,200",,,
,,,,,,,
본인 ,단독주택 ,경상남도 밀양시 교동 대지 255.00m² 건물 78.29m² ,"57,400","2,800",0,"60,200",가액변동 
,,,,,,,
본인 ,아파트 ,경상남도 밀양시 삼문동 청구아파트 건물 122.76m² ,"169,000","7,000",0,"176,000",가액변동 
,,,,,,,
본인 ,사무실 전세(임차)권 ,경상남도 밀양시 삼문동 3층일부 건물 158.52m² ,"10,000",0,0,"10,000",변동없음 
,,,,,,,
본인 ,사무실 전세(임차)권 ,경상남도 의령군 의령읍 서동리 2층 건물 108.98m² ,"10,000",0,0,"10,000",변동없음 
,,,,,,,
본인 ,아파트 전세(임차)권 ,서울특별시 동작구 대방동 주공아파트 건물 51.66m² ,"15,000",0,0,"15,000",변동없음 
,,,,,,,
모 ,아파트 ,경상남도 밀양시 삼문동 일성아파트 건물 58.29m² ,"48,000","3,000",0,"51,000",가액변동 
,,,,,,,
장녀 ,오피스텔 전세(임차)권 ,부산광역시 동래구 온천동 대원칸타빌오피스텔 건물 0.00m² (건물 22.43m² 감소) ,"15,000",0,"15,000",0,전세권상실 
,,,,,"-15,000",,
,,,,,,,
▶ 부동산에 관한 규정이 준용되는 권리와 자동차.건설기계.선박 및 항공기(소계) ,"30,177",0,"4,334","25,843",,,
,,,,,,,
본인 ,자동차 ,"2004년식 쏘나타 배기량(2,359cc) ","2,027",0,324,"1,703",가액변동 
,,,,,,,
본인 ,자동차 ,"2016년식 카니발 배기량(2,199cc) ","28,150",0,"4,010","24,140",가액변동 
,,,,,,,
▶ 예금(소계) ,"300,814","126,453","114,988","312,279",,,
,,,,,,,
본인 ,,"미래에셋생명보험 10,000, 푸르덴셜생명보험 92,326(4,597 증가), 삼성생명보험 3,186, 우리은행 15, 농협은행 7,094(4,645 증가), 신한금융투자(주) 1, 농협중앙회 2,988(2,609 감소), 국민은행 124(30 감소) ","109,131","11,315","4,712","115,734",급여저축및생활비지출등 
,,,,,,,
배우자 ,,"DB손해보험(주) 30,383(3,786 증가), 흥국생명보험 0(852 감소), 우체국 4,618(1,573 증가), SK증권 6, 한화생명보험 25,246, 농협은행 4,259(1,519 증가), 신한금융투자(주) 24, 농협생명보험 12,669(2,228 증가), 라이나생명보험 1,633(466 증가) ","70,118","9,572",852,"78,838",
,,,,,,,
모 ,,"농협은행 10,001, 농협중앙회 72,264(4,266 감소) ","86,531","80,000","84,266","82,265",급여저축및생활비지출등 
,,,,,,,
장남 ,,"밀양신협 959(25 증가), 농협중앙회 74 ","1,008",25,0,"1,033",
,,,,,,,
장녀 ,,"한국교직원공제회 4,217(547 증가), 삼성증권 3,404(3,403 증가), (주)KEB하나은행 0(15,000 감소), 국민은행 61(61 증가), 온천3동 1(10,003 감소), 씨티은행 1, 농협은행 14(18 감소), 온천3동 13(2 증가), 우리은행 5,850(1,961 증가), 부산은행 0(80 감소), 한국카카오은행(주) 18,768(18,768 증가) ","32,688","24,742","25,101","32,329",
,,,,,,,
차녀 ,,"농협은행 1,658(751 증가), 농협중앙회 0(39 감소), 부산은행 3 ",949,751,39,"1,661",
,,,,,,,
삼녀 ,,"농협은행 20(18 감소), 밀양신협 361(10 증가), 한국카카오은행(주) 38(38 증가) ",389,48,18,419,
,,,,,,,
▶ 정치자금법에 따른 정치자금의 수입 및 지출을 위한 예금계좌의 예금(소계) ,"55,537",0,"16,509","39,028",,,
,,,,,,,
본인 ,,"농협은행 39,028(16,509 감소) ","55,537",0,"16,509","39,028",정치자금 지출 등 
,,,,,,,
▶ 유가증권(소계) ,"1,108",0,0,"1,108",,,
,,,,,,,
본인 ,비상장주식 ,"게이트아이닷컴 2,200주 ","1,100",0,0,"1,100",가액변동없음 
,,,,,,,
배우자 ,비상장주식 ,후이즈 81주 ,8,0,0,8,
,,,,,,,
▶ 채권(소계) ,"33,000",0,"25,000","8,000",,,
,,,,,,,
배우자 ,,사인간채권 감소 ,"33,000",0,"25,000","8,000",일부 환수 
,,,,,,,
▶ 채무(소계) ,"669,701",0,"224,271","445,430",,,
,,,,,,,
본인 ,금융기관채무 ,"현대캐피탈 12,930(8,499 감소), 농협은행 432,500(125,772 감소) ","579,701",0,"134,271","445,430",토지매매대금으로대출금일부상환 
,,,,,,,
배우자 ,금융기관채무 ,"농협은행 0(90,000 감소) ","90,000",0,"90,000",0,토지매매대금으로대출금전액상환 
,,,,,,,
총계 ,"474,954","365,433","163,760","676,627","증 감 액 : 201,673천원 (가액변동: 58,944천원) ",,
,,,,,,,
