소속 ,국회 ,직위 ,국회의원 ,성명 ,여상규 ,,
,,,,,,,
(단위 : 천원) ,,,,,,,
,,,,,,,
본인과의 관계 ,재산의 종류 ,소재지면적등권리의명세 ,종전가액 ,변동액(천원) ,현재가액 ,변동사유 ,
,,,,,,,
증가액 (실거래액) ,감소액 (실거래액) ,,,,,,
,,,,,,,
▶ 토지(소계) ,"244,675","6,568","13,153","238,090",,,
,,,,,,,
본인 ,임야 ,"경기도 양평군 양서면 증동리 2번지 0.00m² (3,950.00m² 감소) ","13,153",0,"13,153",0,매도 
,,,,,"-593,100",,
,,,,,,,
배우자 ,답 ,"경기도 성남시 중원구 갈현동 325번지 3,623.00m² 중 1,642.00m² ","231,522","6,568",0,"238,090",가액변동 
,,,,,,,
▶ 건물(소계) ,"1,168,000","1,064,000",0,"2,232,000",,,
,,,,,,,
본인 ,연립주택 ,서울특별시 서초구 양재동 건물 235.62m² 중 117.81m² ,"584,000","4,000",0,"588,000",가액변동 
,,,,,,,
배우자 ,연립주택 ,서울특별시 서초구 양재동 건물 235.61m² 중 117.81m² ,"584,000","4,000",0,"588,000",가액변동 
,,,,,,,
배우자 ,아파트 ,서울특별시 강남구 압구정동 미성아파트 건물 969.52m² (건물 969.52m² 증가) ,- ,"1,056,000 (1,670,000) ",0,"1,056,000",매매 
,,,,,,,
▶ 예금(소계) ,"2,773,890","569,869","873,219","2,470,540",,,
,,,,,,,
본인 ,,"미래에셋대우(주) 65, 삼성생명보험 84,000(17,208 감소), 삼성증권 1,822,135(115,461 증가), 농협은행 8,025(9,941 감소), (주)KEB하나은행 37,832(21,284 증가), 남해신협 113, 서울변호사신용협동조합 157, 메리츠종금증권 61(61 증가) ","1,842,731","153,349","43,692","1,952,388",평가액증가및
,,,,,,,"예금계좌간 이체,"
,,,,,,,"급여저축 및 생활비 지출,"
,,,,,,,보험 해약(부동산 매매 자금) 등 
,,,,,,,
배우자 ,,"(주)KEB하나은행 101,531(382,502 감소), 삼성증권 416,621(269,495 증가), 신한생명보험 0(300,000 감소) ","931,159","416,520","829,527","518,152",
,,,,,,,
▶ 유가증권(소계) ,"347,390","325,297",0,"672,687",,,
,,,,,,,
본인 ,상장주식 ,"한국항공우주 8,000주(5,800주증가),삼성물산 1,200주(700주 증가) ","167,390","214,410",0,"381,800",증권일부매수 
,,,,,,,
본인 ,금융채 ,"기업은행 조건부(상)1803 108,331주(108,331주 증가) ",0,"110,887",0,"110,887",
,,,,,,,
본인 ,비상장주식 ,"(주)쓰리엠파트너스 18,000주 ","90,000",0,0,"90,000",
,,,,,,,
배우자 ,비상장주식 ,"(주)쓰리엠파트너스 18,000주 ","90,000",0,0,"90,000",
,,,,,,,
▶ 채권(소계) ,"1,004,500",0,"555,000","449,500",,,
,,,,,,,
본인 ,,사인간채권 감소 ,"1,004,500",0,"555,000","449,500",일부 환수 
,,,,,,,
▶ 채무(소계) ,0,"38,990",0,"38,990",,,
,,,,,,,
본인 ,금융기관채무 ,"(주)KEB하나은행 10,901(10,901 증가) ",0,"10,901",0,"10,901",부동산 매매 
,,,,,,,
배우자 ,금융기관채무 ,"(주)KEB하나은행 28,089(28,089 증가) ",0,"28,089",0,"28,089",부동산 매매 
,,,,,,,
▶ 회원권(소계) ,"265,000",0,0,"265,000",,,
,,,,,,,
본인 ,골프 ,마이다스밸리 ,"265,000",- ,- ,"265,000",가액변동 없음 
,,,,,,,
▶ 고지거부 및 등록제외사항(소계) ,0,0,0,0,,,
,,,,,,,
장남 ,,고지거부 ,- ,- ,- ,- ,독립생계유지 
,,,,,,,
총계 ,"5,803,455","1,926,744","1,441,372","6,288,827","증 감 액 : 485,372천원 (가액변동: 14,568천원) ",,
,,,,,,,
