소속 ,국회 ,직위 ,국회의원 ,성명 ,권미혁 ,,
,,,,,,,
(단위 : 천원) ,,,,,,,
,,,,,,,
본인과의 관계 ,재산의 종류 ,소재지면적등권리의명세 ,종전가액 ,변동액(천원) ,현재가액 ,변동사유 ,
,,,,,,,
증가액 (실거래액) ,감소액 (실거래액) ,,,,,,
,,,,,,,
▶ 토지(소계) ,"122,474","7,526",0,"130,000",,,
,,,,,,,
배우자 ,전 ,충청남도 논산시 은진면 성덕리 249-2번지 42.00m² ,"1,272",80,0,"1,352",가액변동 
,,,,,,,
배우자 ,전 ,"충청남도 논산시 은진면 성덕리 527-3번지 3,422.00m² ","51,330","3,079",0,"54,409",가액변동 
,,,,,,,
배우자 ,전 ,"충청남도 논산시 은진면 성덕리 533-2번지 4,367.00m² ","69,872","4,367",0,"74,239",가액변동 
,,,,,,,
▶ 건물(소계) ,"200,000",0,0,"200,000",,,
,,,,,,,
배우자 ,아파트 전세(임차)권 ,서울특별시 강서구 방화동 건물 84.96m² ,"200,000",0,0,"200,000",변동없음 
,,,,,,,
▶ 부동산에 관한 규정이 준용되는 권리와 자동차.건설기계.선박 및 항공기(소계) ,"10,640",0,"10,640",0,,,
,,,,,,,
본인 ,자동차 ,"2011년식 QM5 배기량(1,995cc) 감소 ","10,640",0,"10,640",0,매도 
,,,,,"-8,000",,
,,,,,,,
▶ 예금(소계) ,"97,929","51,893","5,447","144,375",,,
,,,,,,,
본인 ,,"제주은행 5,000, 신한은행 26,599(21,416 증가), 농협은행 56,287(22,413 증가), 국민은행 0(2,010 감소), 오렌지라이프생명보험 26,104(3,744 증가), 교보생명보험 20,320(4,080 증가) ","84,667","51,653","2,010","134,310",급여저축및생활비지출등 
,,,,,,,
배우자 ,,"(주)KEB하나은행 1,700, 스탠다드차타드은행 7,651(3,197 감소), 국민은행 714 ","13,262",240,"3,437","10,065",
,,,,,,,
▶ 고지거부 및 등록제외사항(소계) ,0,0,0,0,,,
,,,,,,,
모 ,,고지거부 ,- ,- ,- ,- ,타인부양 
,,,,,,,
총계 ,"431,043","59,419","16,087","474,375","증감액:43,332천원 (가액변동: 7,526천원) ",,
,,,,,,,
