소속 ,국회 ,직위 ,국회의원 ,성명 ,염동열 ,,
,,,,,,,
(단위 : 천원) ,,,,,,,
,,,,,,,
본인과의 관계 ,재산의 종류 ,소재지면적등권리의명세 ,종전가액 ,변동액(천원) ,현재가액 ,변동사유 ,
,,,,,,,
증가액 (실거래액) ,감소액 (실거래액) ,,,,,,
,,,,,,,
▶ 토지(소계) ,"3,748,832","172,242",0,"3,921,074",,,
,,,,,,,
본인 ,전 ,"강원도 평창군 대관령면 횡계리 133번지 1,610.00m² 중 805.00m² ","35,017","1,610",0,"36,627",가액변동 
,,,,,,,
본인 ,전 ,강원도 평창군 대관령면 횡계리 304-10번지 182.00m² ,"41,623","2,821",0,"44,444",가액변동 
,,,,,,,
본인 ,전 ,"강원도 평창군 대관령면 횡계리 357-21번지 1,368.00m² ","71,136","2,599",0,"73,735",가액변동 
,,,,,,,
본인 ,전 ,"강원도 평창군 대관령면 횡계리 357-22번지 6,948.00m² ","400,204","11,117",0,"411,321",가액변동 
,,,,,,,
본인 ,임야 ,"강원도 평창군 대관령면 횡계리 산 285-10번지 30,845.00m² 중 15,422.50m² ","419,492","15,422",0,"434,914",가액변동 
,,,,,,,
본인 ,임야 ,"강원도 평창군 대관령면 횡계리 산 285-11번지 3,256.00m² 중 1,628.00m² ","58,282","2,279",0,"60,561",가액변동 
,,,,,,,
본인 ,임야 ,"강원도 평창군 대관령면 횡계리 산 285-12번지 1,016.00m² 중 508.00m² ","18,186",711,0,"18,897",가액변동 
,,,,,,,
본인 ,목장용지 ,"강원도 평창군 대관령면 횡계리 산 285-13번지 1,363.00m² 중 681.50m² ","29,713","1,976",0,"31,689",가액변동 
,,,,,,,
본인 ,임야 ,"강원도 평창군 대관령면 횡계리 산 285-1번지 180,581.00m² 중 90,290.50m² ","290,735","17,155",0,"307,890",가액변동 
,,,,,,,
본인 ,목장용지 ,"강원도 평창군 대관령면 횡계리 산 285-3번지 54,942.00m² 중 27,471.00m² ","799,406","38,459",0,"837,865",가액변동 
,,,,,,,
본인 ,목장용지 ,"강원도 평창군 대관령면 횡계리 산 285-7번지 61,394.00m² 중 30,697.00m² ","871,794","39,906",0,"911,700",가액변동 
,,,,,,,
본인 ,목장용지 ,"강원도 평창군 대관령면 횡계리 산 285-8번지 109,579.00m² 중 54,789.50m² ","366,541","23,012",0,"389,553",가액변동 
,,,,,,,
본인 ,전 ,강원도 평창군 봉평면 덕거리 773-1번지 375.00m² ,"12,862",488,0,"13,350",가액변동 
,,,,,,,
본인 ,답 ,"강원도 평창군 봉평면 덕거리 773-2번지 1,744.00m² ","57,028","2,268",0,"59,296",가액변동 
,,,,,,,
본인 ,전 ,"강원도 평창군 봉평면 덕거리 775-1번지 6,080.00m² ","208,544","7,904",0,"216,448",가액변동 
,,,,,,,
본인 ,대지 ,강원도 평창군 봉평면 덕거리 775-2번지 162.00m² ,"6,901",389,0,"7,290",가액변동 
,,,,,,,
본인 ,전 ,"강원도 평창군 봉평면 덕거리 776-1번지 2,029.00m² ","48,696","3,043",0,"51,739",가액변동 
,,,,,,,
본인 ,대지 ,강원도 평창군 봉평면 덕거리 776-3번지 291.00m² ,"8,031",495,0,"8,526",가액변동 
,,,,,,,
본인 ,임야 ,"강원도 평창군 봉평면 덕거리 산 179번지 5,256.00m² ","4,641",588,0,"5,229",가액변동 
,,,,,,,
▶ 건물(소계) ,"655,300","3,800","466,000","193,100",,,
,,,,,,,
본인 ,단독주택 ,강원도 평창군 대관령면 용산리 대지 397.00m² 건물 167.26m² ,"89,300","3,800",0,"93,100",가액변동 
,,,,,,,
본인 ,연립주택 ,경기도 가평군 설악면 회곡리 건물 0.00m² (건물 136.71m² 감소) ,"466,000",0,"466,000",0,매도 
,,,,,"-460,000",,
,,,,,,,
배우자 ,아파트 전세(임차)권 ,서울특별시 강남구 대치동 대치삼성아파트 건물 84.58m² ,"100,000",0,0,"100,000",변동없음 
,,,,,,,
▶ 부동산에 관한 규정이 준용되는 권리와 자동차.건설기계.선박 및 항공기(소계) ,"18,340",0,"3,690","14,650",,,
,,,,,,,
본인 ,자동차 ,"2009년식 체어맨W 배기량(5,000cc) ","18,340",0,"3,690","14,650",가액변동 
,,,,,,,
▶ 예금(소계) ,"230,109","151,773","90,801","291,081",,,
,,,,,,,
본인 ,,"횡계 21(1 증가), 삼성생명보험 22,655(1,985 증가), 중소기업은행 7, 신한은행 2,229(203 증가), 신용협동조합중앙회 176(2 증가), 농협은행 137,555(69,751 증가), 농협중앙회 10,257(143 감소), 오렌지라이프생명보험 56,599(3,149 증가), 케이디비생명보험 0(20,352 감소) ","174,903","143,897","89,301","229,499",급여저축 및 생활비지출 등 
,,,,,,,
배우자 ,,"흥국화재해상보험(주) 5,243(1,442 증가), 삼성생명보험 12,000, 농협중앙회 2, 동양생명보험 4,190(1,039 증가), 중소기업은행 14(56 감소), 오렌지라이프생명보험 35,255(1,990 증가), 우리은행 602(1,089 감소) ","53,980","4,686","1,360","57,306",
,,,,,,,
장남 ,,"씨티은행 265, 우리은행 1,950(1,480 증가) ",735,"1,550",70,"2,215",
,,,,,,,
차남 ,,"우리은행 2,061(1,570 증가) ",491,"1,640",70,"2,061",
,,,,,,,
▶ 정치자금법에 따른 정치자금의 수입 및 지출을 위한 예금계좌의 예금(소계) ,"5,747",0,"4,603","1,144",,,
,,,,,,,
본인 ,,"농협은행 1,144(4,603 감소) ","5,747",0,"4,603","1,144",정치자금 감소(지출) 
,,,,,,,
▶ 채무(소계) ,"2,954,857","304,683","456,378","2,803,162",,,
,,,,,,,
본인 ,,사인간채무 증가 ,"920,439","54,683",0,"975,122",채무이자증가 
,,,,,,,
본인 ,금융기관채무 ,"신한은행 0(398,000 감소), 농협은행 1,800,000(202,443 증가), JB우리캐피탈 28,040(9,321 감소) ","2,032,918","250,000","454,878","1,828,040",주택매도금액으로 일부상환 
,,,,,,,
배우자 ,금융기관채무 ,"우리카드 0(1,500 감소) ","1,500",0,"1,500",0,대출상환 
,,,,,,,
▶금및백금(소계) ,"16,701","2,149",0,"18,850",,,
,,,,,,,
본인 ,,"금, 24K, 375g 증가 ","16,701","2,149",0,"18,850",가액변동 
,,,,,,,
총계 ,"1,720,172","25,281","108,716","1,636,737","증 감 액 : -83,435천원 (가액변동: 174,501천원) ",,
,,,,,,,
