소속 ,국회 ,직위 ,국회의원 ,성명 ,오신환 ,,
,,,,,,,
(단위 : 천원) ,,,,,,,
,,,,,,,
본인과의 관계 ,재산의 종류 ,소재지면적등권리의명세 ,종전가액 ,변동액(천원) ,현재가액 ,변동사유 ,
,,,,,,,
증가액 (실거래액) ,감소액 (실거래액) ,,,,,,
,,,,,,,
▶ 토지(소계) ,"4,859,488","364,896",0,"5,224,384",,,
,,,,,,,
본인 ,대지 ,서울특별시 관악구 신림동 1428-1번지 579.20m² ,"4,859,488","364,896",0,"5,224,384",가액 변동 
,,,,,,,
▶ 건물(소계) ,"711,000","10,000","391,000","330,000",,,
,,,,,,,
본인 ,아파트 ,서울특별시 관악구 봉천동 벽산블루밍 아파트 건물 0.00m² (건물 101.95m² 감소) ,"361,000",0,"361,000",0,매도 
,,,,,"-560,000",,
,,,,,,,
본인 ,아파트 전세(임차)권 ,서울특별시 관악구 신림동 신림푸르지오아파트 건물 138.64m² ,"320,000",0,0,"320,000",
,,,,,,,
본인 ,사무실 전세(임차)권 ,서울특별시 관악구 신림동 3층 건물 0.00m² (건물 421.49m² 감소) ,"30,000",0,"30,000",0,보증금 반환(계약 만료) 
,,,,,,,
본인 ,사무실 전세(임차)권 ,서울특별시 관악구 신림동 건물 115.00m² (건물 115.00m² 증가) ,- ,"10,000",0,"10,000",보증금 임대(계약 시작) 
,,,,,,,
▶ 부동산에 관한 규정이 준용되는 권리와 자동차.건설기계.선박 및 항공기(소계) ,"35,500",0,"5,500","30,000",,,
,,,,,,,
배우자 ,자동차 ,"2017년식 그랜저IG 배기량(3,000cc) ","35,500",0,"5,500","30,000",가액 변동 
,,,,,,,
▶ 예금(소계) ,"826,739","61,415","32,046","856,108",,,
,,,,,,,
본인 ,,"보람상조 7,260(720 증가), 미래에셋생명보험 27,000(2,400 증가), 하나생명보험 157,500(18,000 증가), 현대해상화재 보험 5,101 (1,903 증가), 우리은행 154,890(31 증가), 삼성생명보험 27,822 (4,200 증가), 프리드라이프(프리드투어) 1,110 (360 증가), 교보생명보험 32,778 (3,436 증가), 새마을금고중앙회공제사업부 3,678(545 증가) 중소기업은행 26,100 (3,000 증가), 부모사랑상조회 6,060(720 증가), 관악신협 168, 신한은행 2, 좋은 라이프 72(72 증가), 우체국 9,172 (227 증가), 새마을금고 151(2 증가), (주)KB손해보험 5,628 (1,387 증가), 농협은행 28,773 (15,507 감소), 신림 1,467 (35 증가), 재향군인회상조 3,780(720 증가), (주)KEB하나 은행 56,457 (7,902 감소), 국민은행 445(1 증가), 농협중앙회 1,702 (1,636 증가), 한화생명보험 84,141, 에이비엘생명보험 5,832, 동양생명보험 2,773, 관악중앙 33, 오렌지 라이프생명보험 57,805(2,950 증가), ","688,764","48,909","29,973","707,700",급여저축등저축및 보험납입금 증가 
,,,,,,,
,,,,,,,
배우자 ,,"흥국생명보험 78,000(5,500 증가), 국민은행 27(1,770 감소), 우체국 2,064(258 증가), 삼성생명보험 18,840(1,528 증가), 은천 4, 관악신협 56, 우리은행 618(535 증가), 교보생명보험 34,079(3,613 증가) ","124,024","11,434","1,770","133,688",
,,,,,,,
차남 ,,"은천 0(303 감소), 국민은행 2,732(213 증가) ","2,822",213,303,"2,732",
,,,,,,,
장남 ,,"은천 1, 국민은행 4,298(1 증가), 우리은행 7,689(858 증가) ","11,129",859,0,"11,988",
,,,,,,,
▶ 정치자금법에 따른 정치자금의 수입 및 지출을 위한 예금계좌의 예금(소계) ,"4,883","17,161",0,"22,044",,,
,,,,,,,
본인 ,,"농협은행 22,044(17,161 증가) ","4,883","17,161",0,"22,044",후원금 증가 
,,,,,,,
▶ 채무(소계) ,"2,842,216","62,313","388,694","2,515,835",,,
,,,,,,,
본인 ,금융기관채무 ,"현대캐피탈 0(3,694 감소), (주)KEB하나은행 1,865,835(62,313 증가) ","1,807,216","62,313","3,694","1,865,835",마이너스 대출금 증가 
,,,,,,,
본인 ,건물임대채무 ,서울특별시 관악구 봉천동 벽산블루밍 아파트 임대보증금 감소 ,"385,000",0,"385,000",0,전세보증금 반환(계약 만료) 
,,,,,,,
본인 ,토지임대채무 ,서울특별시 관악구 신림동 1428-1번지 임대보증금 ,"650,000",0,0,"650,000",
,,,,,,,
▶ 회원권(소계) ,"12,000",0,0,"12,000",,,
,,,,,,,
배우자 ,콘도미니엄 ,한화리조트 ,"12,000",- ,- ,"12,000",
,,,,,,,
▶ 고지거부 및 등록제외사항(소계) ,0,0,0,0,,,
,,,,,,,
부 ,,고지거부 ,- ,- ,- ,- ,독립생계유지 
,,,,,,,
모 ,,고지거부 ,- ,- ,- ,- ,독립생계유지 
,,,,,,,
총계 ,"3,607,394","391,159","39,852","3,958,701","증 감 액 : 351,307천원 (가액변동: 359,396천원) ",,
,,,,,,,
