소속 ,국회 ,직위 ,국회의원 ,성명 ,오영훈 ,,
,,,,,,,
(단위 : 천원) ,,,,,,,
,,,,,,,
본인과의 관계 ,재산의 종류 ,소재지면적등권리의명세 ,종전가액 ,변동액(천원) ,현재가액 ,변동사유 ,
,,,,,,,
증가액 (실거래액) ,감소액 (실거래액) ,,,,,,
,,,,,,,
▶ 토지(소계) ,"107,226","26,710",0,"133,936",,,
,,,,,,,
본인 ,과수원 ,"제주특별자치도 서귀포시 남원읍 신흥리 1048번지 3,871.00m² ","107,226","26,710",0,"133,936",가액변동 
,,,,,,,
▶ 건물(소계) ,"99,300","9,700",0,"109,000",,,
,,,,,,,
본인 ,단독주택 ,제주특별자치도 제주시 일도이동 대지 126.60m² 건물 139.84m² ,"99,300","9,700",0,"109,000",가액변동 
,,,,,,,
▶ 부동산에 관한 규정이 준용되는 권리와 자동차.건설기계.선박 및 항공기(소계) ,"10,000",0,"4,000","6,000",,,
,,,,,,,
배우자 ,자동차 ,"2010년식 스포티지 배기량(19,910cc) ","10,000",0,"4,000","6,000",가액변동 
,,,,,,,
▶ 예금(소계) ,"163,345","25,361","38,527","150,179",,,
,,,,,,,
본인 ,,"제주은행 9,457(1,839 증가), 농협은행 9,520(990 감소), 농협중앙회 1,454(2,992 감소) ","22,574","5,071","7,214","20,431",생활비사용및보험해지등 
,,,,,,,
배우자 ,,"제주은행 2,045(7,021 감소), 케이디비생명보험 3,930(1,923 증가), (주)KB손해보험 6,194(962 증가), 농협중앙회 2(4,264 감소), 삼성생명보험 6,200(2,409 증가), 한화생명보험 33,638(5,930 증가), 신한생명보험 46,285(10,567 감소), 농협은행 2,795(2,628 감소), 미래에셋생명보험 28,659(2,233 증가) ","140,771","20,290","31,313","129,748",
,,,,,,,
▶ 정치자금법에 따른 정치자금의 수입 및 지출을 위한 예금계좌의 예금(소계) ,"141,048","36,997",0,"178,045",,,
,,,,,,,
본인 ,,"농협은행 178,045(36,997 증가) ","141,048","36,997",0,"178,045",후원금이월금액증가 
,,,,,,,
▶ 채무(소계) ,"136,008","26,038","34,272","127,774",,,
,,,,,,,
본인 ,금융기관채무 ,"현대캐피탈 10,593(7,438 감소), 제주은행 48,546(18,792 감소), 농협은행 26,038(26,038 증가), JB우리캐피탈 17,959(7,700 감소), 농협중앙회 9,638(342 감소) ","121,008","26,038","34,272","112,774",채무 일부상환 및 생활비사용을위한채무추가 
,,,,,,,
배우자 ,금융기관채무 ,"제주은행 15,000 ","15,000",0,0,"15,000",변동없음 
,,,,,,,
▶ 고지거부 및 등록제외사항(소계) ,0,0,0,0,,,
,,,,,,,
부 ,,고지거부 ,- ,- ,- ,- ,독립생계유지 
,,,,,,,
모 ,,고지거부 ,- ,- ,- ,- ,독립생계유지 
,,,,,,,
조모 ,,고지거부 ,- ,- ,- ,- ,독립생계유지 
,,,,,,,
총계 ,"384,911","72,730","8,255","449,386","증감액:64,475천원 (가액변동: 32,410천원) ",,
,,,,,,,
