소속 ,국회 ,직위 ,국회의원 ,성명 ,오제세 ,,
,,,,,,,
(단위 : 천원) ,,,,,,,
,,,,,,,
본인과의 관계 ,재산의 종류 ,소재지면적등권리의명세 ,종전가액 ,변동액(천원) ,현재가액 ,변동사유 ,
,,,,,,,
증가액 (실거래액) ,감소액 (실거래액) ,,,,,,
,,,,,,,
▶ 토지(소계) ,"700,647","6,809",237,"707,219",,,
,,,,,,,
본인 ,대지 ,충청북도 청주시 상당구 수동 325-6번지 378.20m² ,"366,854",0,0,"366,854",가액변동없음 
,,,,,,,
본인 ,답 ,충청북도 청주시 서원구 남이면 척산리 312-4번지 345.00m² ,"24,046","2,933",0,"26,979",가액변동 
,,,,,,,
본인 ,전 ,충청북도 청주시 청원구 오창읍 기암리 11-1번지 145.00m² ,"5,655",72,0,"5,727",가액변동 
,,,,,,,
본인 ,답 ,충청북도 청주시 청원구 오창읍 기암리 23-2번지 790.00m² ,"44,240",0,237,"44,003",가액변동 
,,,,,,,
본인 ,답 ,"충청북도 청주시 청원구 오창읍 석우리 345번지 7,608.30m² ","258,682","3,804",0,"262,486",가액변동 
,,,,,,,
본인 ,임야 ,"충청북도 청주시 상당구 문의면 덕유리 626-3번지 1,344.00m² ","1,170",0,0,"1,170",가액변동없음 
,,,,,,,
▶ 건물(소계) ,"2,039,858","38,222","7,000","2,071,080",,,
,,,,,,,
본인 ,연립주택 ,서울특별시 강동구 상일동 대지 169.68m² 건물 152.12m² ,"634,000","14,000",0,"648,000",가액변동 
,,,,,,,
본인 ,오피스텔 ,경기도 성남시 분당구 수내동 로얄팰리스하우스빌 건물 0.00m² (건물 0.00m² 감소) ,0,0,0,0,소재지오기정정 
,,,,,,,
본인 ,오피스텔 ,경기도 성남시 분당구 수내동 로얄팰리스하우스빌 대지 15.05m² 건물 116.87m² ,"267,431","6,187",0,"273,618",가액변동 
,,,,,,,
본인 ,사무실 전세(임차)권 ,충청북도 청주시 서원구 분평동 건물 115.00m² ,"30,000",0,0,"30,000",변동없음 
,,,,,,,
본인 ,단독주택 ,충청북도 청주시 청원구 오창읍 기암리 대지 396.00m² 건물 41.85m² ,"29,500","1,700",0,"31,200",가액변동 
,,,,,,,
본인 ,사무실 ,충청북도 청주시 청원구 우암동 대지 514.00m² 건물 86.17m² ,"463,983","5,249",0,"469,232",가액변동 
,,,,,,,
본인 ,단독주택 ,충청북도 청주시 청원구 우암동 대지 260.80m² 건물 185.82m² ,"118,000","6,000",0,"124,000",가액변동 
,,,,,,,
본인 ,창고 ,충청북도 청주시 청원구 우암동 대지 195.40m² 건물 171.90m² ,"107,561","1,149",0,"108,710",가액변동 
,,,,,,,
본인 ,상가 ,충청북도 청주시 청원구 우암동 대지 304.10m² 건물 136.52m² ,"304,383","3,937",0,"308,320",가액변동 
,,,,,,,
본인 ,아파트 ,충청북도 청주시 서원구 분평동 주공4차아파트 건물 49.77m² ,"85,000",0,"7,000","78,000",가액변동 
,,,,,,,
▶ 부동산에 관한 규정이 준용되는 권리와 자동차.건설기계.선박 및 항공기(소계) ,"64,666",0,"11,756","52,910",,,
,,,,,,,
본인 ,자동차 ,"2016년식 EQ900 배기량(3,778cc) ","20,000",- ,- ,"20,000",가액변동없음 
,,,,,,,
배우자 ,자동차 ,"2017년식 맥스크루즈 배기량(3,300cc) ","44,666",0,"11,756","32,910",가액변동 
,,,,,,,
▶ 예금(소계) ,"196,731","46,322","26,680","216,373",,,
,,,,,,,
본인 ,,"삼성생명보험 23,706, 남부 54, 우리은행 702, 새마을금고 80(2 증가), 신용협동조합중앙회 258(4 증가), 청주남부신협 52, 농협은행 1,984(6,493 감소), 대신증권 150, 신한금융투자(주) 16,364(3,412 감소), 씨티은행 93, 국민은행 42,129(18,219 증가), 농협중앙회 121, (주)KEB하나은행 4,336(3,898 증가), 교보생명보험 0(10,632 감소), 새마을금고중앙회 공제사업부 3,208(458 증가), 스탠다드차타드은행 130 ","91,323","22,581","20,537","93,367",급여저축및생활비지출등 
,,,,,,,
배우자 ,,"미래에셋대우(주) 2, 삼성화재해상보험 52,895(6,180 증가), 메리츠화재해상보험 820(120 증가), 메리츠종금증권 1(1 증가), 삼성생명보험 9,000(9,000 증가), 씨티은행 1,220(6,143 감소), AIA생명보험 7,369(1,027 증가), 우리은행 27, 농협은행 45, 농협생명보험 18,330(4,680 증가), 라이나생명보험 773(309 증가), 신영증권 24(24 증가), 미래에셋생명보험 32,500(2,400 증가) ","105,408","23,741","6,143","123,006",
,,,,,,,
▶ 정치자금법에 따른 정치자금의 수입 및 지출을 위한 예금계좌의 예금(소계) ,"129,537","14,736",0,"144,273",,,
,,,,,,,
본인 ,,"농협중앙회 144,273(14,736 증가) ","129,537","14,736",0,"144,273",후원금 증가 
,,,,,,,
▶ 채권(소계) ,"219,600",0,"14,600","205,000",,,
,,,,,,,
배우자 ,,사인간채권 감소 ,"219,600",0,"14,600","205,000",일부 환수 
,,,,,,,
▶ 채무(소계) ,"460,600","442,000","416,600","486,000",,,
,,,,,,,
본인 ,,사인간채무 감소 ,"14,600",0,"14,600",0,전액 상환 
,,,,,,,
본인 ,건물임대채무 ,경기도 성남시 분당구 수내동 로얄팰리스하우스빌 임대보증금 감소 ,"390,000",0,"390,000",0,소재지오기정정 
,,,,,,,
본인 ,건물임대채무 ,충청북도 청주시 상당구 우암동 임대보증금 ,"30,000",0,0,"30,000",변동없음 
,,,,,,,
본인 ,건물임대채무 ,경기도 성남시 분당구 수내동 로얄팰리스하우스빌 임대보증금 증가 ,0,"430,000",0,"430,000",임대보증금 증가 
,,,,,,,
본인 ,건물임대채무 ,충청북도 청주시 상당구 우암동 임대보증금 감소 ,"24,000",0,"10,000","14,000",계약자변경및보증금감소 
,,,,,,,
본인 ,건물임대채무 ,충청북도 청주시 청원구 우암동 임대보증금 증가 ,"2,000","12,000","2,000","12,000",계약자변경및보증금증가 
,,,,,,,
▶ 고지거부 및 등록제외사항(소계) ,0,0,0,0,,,
,,,,,,,
장남 ,,고지거부 ,- ,- ,- ,- ,독립생계유지 
,,,,,,,
차남 ,,고지거부 ,- ,- ,- ,- ,독립생계유지 
,,,,,,,
손자1 ,,고지거부 ,- ,- ,- ,- ,독립생계유지 
,,,,,,,
손자2 ,,고지거부 ,- ,- ,- ,- ,독립생계유지 
,,,,,,,
손녀1 ,,고지거부 ,- ,- ,- ,- ,독립생계유지 
,,,,,,,
손녀2 ,,고지거부 ,- ,- ,- ,- ,독립생계유지 
,,,,,,,
총계 ,"2,890,439","-335,911","-356,327","2,910,855","증감액:20,416천원 (가액변동: 26,038천원) ",,
,,,,,,,
