소속 ,국회 ,직위 ,국회의원 ,성명 ,우상호 ,,
,,,,,,,
(단위 : 천원) ,,,,,,,
,,,,,,,
본인과의 관계 ,재산의 종류 ,소재지면적등권리의명세 ,종전가액 ,변동액(천원) ,현재가액 ,변동사유 ,
,,,,,,,
증가액 (실거래액) ,감소액 (실거래액) ,,,,,,
,,,,,,,
▶ 토지(소계) ,"36,159",892,"10,465","26,586",,,
,,,,,,,
본인 ,묘지 ,경기도 포천시 일동면 길명리 339-3번지 100.00m² ,"2,030",80,0,"2,110",가액변동 
,,,,,,,
본인 ,전 ,경기도 포천시 일동면 길명리 339-4번지 0.00m² (513.00m² 감소) ,"10,465",0,"10,465",0,건물로 이동 신고 
,,,,,,,
본인 ,전 ,"경기도 포천시 일동면 길명리 339-5번지 1,160.00m² ","23,664",812,0,"24,476",가액변동 
,,,,,,,
▶ 건물(소계) ,"272,322","77,141",0,"349,463",,,
,,,,,,,
본인 ,사무실 전세(임차)권 ,서울특별시 서대문구 홍제동 2층 건물 105.49m² ,"10,000",0,0,"10,000",변동없음 
,,,,,,,
본인 ,단독주택 전세(임차)권 ,서울특별시 서대문구 연희동 건물 75.00m² ,"250,000",0,0,"250,000",변동없음 
,,,,,,,
본인 ,창고 ,경기도 포천시 일동면 길명리 대지 567.00m² 건물 18.00m² ,"12,322",141,0,"12,463",가액변동 
,,,,,,,
본인 ,단독주택 ,"경기도 포천시 일동면 길명리 대지 513.00m² 건물 66.30m² (대지 513.00m² 증가, 건물 66.30m² 증가) ",- ,"77,000",0,"77,000",신축 건물 
,,,,"-77,000",,,
,,,,,,,
▶ 부동산에 관한 규정이 준용되는 권리와 자동차.건설기계.선박 및 항공기(소계) ,0,"13,260",0,"13,260",,,
,,,,,,,
본인 ,자동차 ,"2013년식 카니발 배기량(2,199cc) 증가 ",0,"13,260",0,"13,260",렌터카 인수 
,,,,"-5,960",,,
,,,,,,,
▶ 예금(소계) ,"147,754","72,894","16,675","203,973",,,
,,,,,,,
본인 ,,"농협은행 58,240(40,091 증가) ","18,149","43,699","3,608","58,240",급여저축및생활비지출등 
,,,,,,,
배우자 ,,"국민은행 27(1,267 감소), 현대해상화재보험 5,298(700 증가), 메리츠화재해상보험 4,871(741 증가), 삼성생명보험 12,249(1,719 증가), 한화생명보험 86,058(4,607 증가), 현대라이프생명보험 5,465, 신한생명보험 6,825(1,086 증가), 우리은행 10,076(8 증가) ","123,275","19,661","12,067","130,869",
,,,,,,,
장녀 ,,"국민은행 1,423(3 증가), (주)KEB하나은행 320, 중소기업은행 49 ","1,789",3,0,"1,792",
,,,,,,,
장남 ,,"신한은행 236(1 증가), 중소기업은행 126, 한국투자증권 2,793 (2,152 증가), (주)KEB하나은행 320, 국민은행 1,212(257 감소) ","2,791","2,896","1,000","4,687",
,,,,,,,
차남 ,,"중소기업은행 1,470(1,415 증가), 한국투자증권 1,658(1,390 증가), 국민은행 2,637(2,630 증가), (주)KEB하나은행 2,620(1,200 증가) ","1,750","6,635",0,"8,385",
,,,,,,,
▶ 유가증권(소계) ,"120,480","7,309","31,719","96,070",,,
,,,,,,,
장남 ,상장주식 ,현대차우 625주 ,"58,562",0,"14,687","43,875","평가액 변동, 주식매입및매도등 "
,,,,,,,
차남 ,상장주식 ,"현대글로비스 141주(61주 증가), 현대차우 265주, 삼성물산 146주(62주 감소) ","61,918","7,309","17,032","52,195",
,,,,,,,
총계 ,"576,715","171,496","58,859","689,352","증 감 액 : 112,637천원 (가액변동: -19,881천원) ",,
,,,,,,,
