소속 ,국회 ,직위 ,국회의원 ,성명 ,우원식 ,,
,,,,,,,
(단위 : 천원) ,,,,,,,
,,,,,,,
본인과의 관계 ,재산의 종류 ,소재지면적등권리의명세 ,종전가액 ,변동액(천원) ,현재가액 ,변동사유 ,
,,,,,,,
증가액 (실거래액) ,감소액 (실거래액) ,,,,,,
,,,,,,,
▶ 토지(소계) ,"615,598","25,253",0,"640,851",,,
,,,,,,,
본인 ,임야 ,"경기도 양평군 단월면 봉상리 산 102-1번지 18,471.00m² ","46,731",0,0,"46,731",
,,,,,,,
본인 ,대지 ,충청남도 당진시 읍내동 1456번지 351.30m² ,"309,530","13,841",0,"323,371",가액변동 
,,,,,,,
본인 ,대지 ,충청남도 당진시 읍내동 1457번지 285.30m² ,"259,337","11,412",0,"270,749",가액변동 
,,,,,,,
▶ 건물(소계) ,"1,327,396","45,523",0,"1,372,919",,,
,,,,,,,
본인 ,연립주택 ,서울특별시 노원구 하계1동 건물 146.69m² ,"277,000","7,000",0,"284,000",가액변동 
,,,,,,,
본인 ,사무실 전세(임차)권 ,서울특별시 노원구 중계본동 유경백화점 건물 63.50m² ,"20,000",- ,- ,"20,000",
,,,,,,,
배우자 ,상가 ,서울특별시 노원구 중계동 건영아파트상가 대지 259.32m² 건물 370.60m² ,"1,020,396","38,523",0,"1,058,919",가액변동 
,,,,,,,
배우자 ,사무실 전세(임차)권 ,서울특별시 노원구 중계본동 유경백화점 건물 49.00m² ,"10,000",- ,- ,"10,000",
,,,,,,,
▶ 부동산에 관한 규정이 준용되는 권리와 자동차.건설기계.선박 및 항공기(소계) ,"48,530",0,"2,040","46,490",,,
,,,,,,,
본인 ,자동차 ,"2016년식 올뉴카니발 R2.2 디젤9인승 프레스티지 배기량(2,199cc) ","25,280",0,"1,860","23,420",가액변동 
,,,,,,,
배우자 ,자동차 ,"2016년식 투싼 TL디젤 1.7 Premium 2WD DCT 배기량(1,685cc) ","23,250",0,180,"23,070",가액변동 
,,,,,,,
▶ 예금(소계) ,"231,160","48,354","88,604","190,910",,,
,,,,,,,
본인 ,,"삼성생명보험 6,126, 농협은행 10,237(58,246 감소), AIA생명보험 14,018(874 증가), 국민은행 111,088(30,649 증가), 교보생명보험 7,044, 스탠다드차타드은행 360 ","175,596","40,536","67,259","148,873",생활비지출등 
,,,,,,,
배우자 ,,"(주)KEB하나은행 3, 국민은행 13,669(18,448 감소), (주)KB손해보험 9,900(1,200 증가), AIA생명보험 14,926(1,051 증가), 우리은행 3,539(2,670 증가) ","55,564","7,818","21,345","42,037",
,,,,,,,
▶ 정치자금법에 따른 정치자금의 수입 및 지출을 위한 예금계좌의 예금(소계) ,"224,542","163,157",0,"387,699",,,
,,,,,,,
본인 ,,"농협은행 387,699(163,157 증가) ","224,542","163,157",0,"387,699",후원금 증가 
,,,,,,,
▶ 채권(소계) ,"40,000",0,0,"40,000",,,
,,,,,,,
배우자 ,,사인간채권 ,"40,000",0,0,"40,000",
,,,,,,,
▶ 채무(소계) ,"496,000","100,000","10,000","586,000",,,
,,,,,,,
본인 ,금융기관채무 ,"국민은행 0(10,000 감소) ","10,000",0,"10,000",0,예금으로 상환 
,,,,,,,
배우자 ,금융기관채무 ,"국민은행 486,000 ","486,000",0,0,"486,000",
,,,,,,,
배우자 ,건물임대채무 ,서울특별시 노원구 중계동 건영아파트상가 임대보증금 증가 ,0,"100,000",0,"100,000",임대보증금 
,,,,,,,
▶ 고지거부 및 등록제외사항(소계) ,0,0,0,0,,,
,,,,,,,
모 ,,고지거부 ,- ,- ,- ,- ,독립생계유지 
,,,,,,,
장남 ,,고지거부 ,- ,- ,- ,- ,독립생계유지 
,,,,,,,
총계 ,"1,991,226","182,287","80,644","2,092,869","증 감 액 : 101,643천원 (가액변동: 68,736천원) ",,
,,,,,,,
