소속 ,국회 ,직위 ,국회의원 ,성명 ,원유철 ,,
,,,,,,,
(단위 : 천원) ,,,,,,,
,,,,,,,
본인과의 관계 ,재산의 종류 ,소재지면적등권리의명세 ,종전가액 ,변동액(천원) ,현재가액 ,변동사유 ,
,,,,,,,
증가액 (실거래액) ,감소액 (실거래액) ,,,,,,
,,,,,,,
▶ 토지(소계) ,"88,760","4,340",0,"93,100",,,
,,,,,,,
배우자 ,답 ,"경기도 평택시 고덕면 해창리 1218번지 1,496.80m² ","88,760","4,340",0,"93,100",가액변동 
,,,,,,,
▶ 건물(소계) ,"1,455,020","8,000",0,"1,463,020",,,
,,,,,,,
본인 ,아파트 ,경기도 평택시 독곡동 대림아파트 건물 84.90m² ,"140,000","8,000",0,"148,000",가액변동 
,,,,,,,
본인 ,아파트 전세(임차)권 ,경기도 평택시 독곡동 건물 88.75m² ,"36,500",0,0,"36,500",변동없음 
,,,,,,,
배우자 ,단독주택 ,"경기도 평택시 도일동 대지 1,100.00m² 건물 231.19m² ","515,520",0,0,"515,520",가액변동없음 
,,,,,,,
배우자 ,아파트 ,경기도 평택시 지산동 지산코아루 건물 191.31m² ,"543,000",0,0,"543,000",가액변동없음 
,,,,,,,
장남 ,연립주택 ,경기도 평택시 지산동 건물 84.45m² ,"220,000",0,0,"220,000",가액변동없음 
,,,,,,,
▶ 부동산에 관한 규정이 준용되는 권리와 자동차.건설기계.선박 및 항공기(소계) ,"48,320","27,150","33,960","41,510",,,
,,,,,,,
본인 ,자동차 ,"2016년식 투리스모 배기량(2,157cc) ","7,380",- ,- ,"7,380",가액변동없음 
,,,,,,,
배우자 ,자동차 ,"2016년식 그랜저IG 배기량(2,999cc) 감소 ","30,460",0,"30,460",0,차량번호 변경 
,,,,,"-30,460",,
,,,,,,,
배우자 ,자동차 ,"2017년식 그랜저 HG 배기량(2,999cc) 증가 ",0,"27,150",0,"27,150",차량번호 변경 
,,,,"-27,150",,,
,,,,,,,
장남 ,자동차 ,"2010년식 투싼 배기량(1,995cc) ","10,480",0,"3,500","6,980",가액변동 
,,,,,,,
▶ 예금(소계) ,"347,531","158,256","55,884","449,903",,,
,,,,,,,
본인 ,,"신한은행 299(1 증가), 삼성생명보험 64,483(3,780 증가), 우리은행 8(24 감소), 롯데오토리스 주식회사 7,380(7,380 증가), 농협은행 16,818(12,773 증가), 한화생명보험 20,100 (2,400 증가), (주)KEB하나은행 2,743(2,349 증가), 공평저축 은행 29(24증가),농협중앙회93,067(93,067증가),평택신협 60(60 증가), 오렌지라이프생명보험 17,705(2,714 증가) ","98,168","126,390","1,866","222,692",급여저축 등 
,,,,,,,
배우자 ,,"(주)KEB하나은행 4,383(2,714 증가), DB손해보험(주) 30,148 (1,987 증가), 송탄 51, 삼성화재해상보험 59,551(8,471 증가), 국민은행 629(30,794 감소), 농협중앙회 1,852(1,566 감소), 신한은행 536(4 증가), 삼성생명보험 9,456, (주)KB손해보험 4,600(1,200 증가), 우체국 1, 한화손해보험 48,798(4,446 증가), 씨티은행 1,266, 새마을금고 334(12 증가), 우리은행 2,477(1,561 증가), 현대라이프생명보험 0(19,069 감소), 농협은행 41, 신한생명보험 219(219 증가), 라이나생명보험 13,672(2,005 증가), 평택신협 387(1 증가) ","207,210","24,021","52,830","178,401",급여저축 등 
,,,,,,,
장남 ,,"신한은행 113(190 감소), 한화손해보험 18,549(1,427 증가), 국민은행 7, (주)KEB하나은행 6(1 증가), 미래에셋대우(주) 26(3 증가), 농협은행 14(19 감소) ","17,493","1,431",209,"18,715",
,,,,,,,
차남 ,,"한화손해보험 17,465(1,415 증가), 국민은행 41(979 감소), 농협중앙회 8, 신한은행 2 ","17,080","1,415",979,"17,516",
,,,,,,,
장녀 ,,"국민은행 8, 씨티은행 5,449(3,431 증가), 삼성생명보험 7,122(1,568 증가) ","7,580","4,999",0,"12,579",
,,,,,,,
▶ 정치자금법에 따른 정치자금의 수입 및 지출을 위한 예금계좌의 예금(소계) ,"1,672","12,181",406,"13,447",,,
,,,,,,,
본인 ,,"농협은행 13,447(11,775 증가) ","1,672","12,181",406,"13,447",후원금 증가 
,,,,,,,
▶ 채무(소계) ,"1,158,305","621,271","43,880","1,735,696",,,
,,,,,,,
본인 ,,사인간채무 증가 ,0,"270,000",0,"270,000",소송비용및생활비지출등 
,,,,,,,
본인 ,금융기관채무 ,"상호저축은행중앙회 16,619(9,585 감소), 삼성생명보험 63,500 (3,500 증가), 우리은행 36,139(3,861 감소), 롯데오토리스 주식회사 12,808(8,069 감소), 하나카드 4,083(4,083 증가), 농협은행 210,227(17,622 증가), 한화생명보험 12,000(5,000 증가) ","346,686","32,583","23,893","355,376",일부상환후재대출등 
,,,,,,,
본인 ,건물임대채무 ,경기도 평택시 독곡동 대림아파트 임대보증금 증가 ,0,"170,000",0,"170,000",임대보증금 
,,,,,,,
배우자 ,금융기관채무 ,"국민은행 72,601(5,544 감소), 농협중앙회 144,632(144,632 증가), 현대캐피탈 21,417(6,147 감소), 우리은행 363,563(5,047 감소) ","474,319","144,632","16,738","602,213",생활비지출등 
,,,,,,,
배우자 ,건물임대채무 ,"경기도 평택시 도일동 386-10,11,13번지(토지) 및 386-10-A,B동(건물) 임대보증금 ","170,000",0,0,"170,000",변동없음 
,,,,,,,
장남 ,,사인간채무 ,"25,000",0,0,"25,000",변동없음 
,,,,,,,
장남 ,금융기관채무 ,"신한은행 139,051(3,249 감소), 신한카드 4,056(4,056 증가) ","142,300","4,056","3,249","143,107",일부상환후재대출등 
,,,,,,,
총계 ,"782,998","-411,344","46,370","325,284","증 감 액 : -457,714천원 (가액변동: 8,840천원) ",,
,,,,,,,
